N,P,K,temperature,humidity,ph,rainfall,pesticide,yield
59.91,43.93,87.64,17.33,68.15,6.26,601.64,3.68,12841.28
58.49,43.46,79.59,18.98,64.29,6.67,623.87,3.92,11820.58
63.51,43.07,85.81,17.43,68.51,5.67,694.96,3.82,15197.65
68.03,45.21,75.74,17.08,64.25,5.95,661.91,4.15,12174.71
62.76,42.0,88.62,18.5,67.14,5.85,663.0,4.14,17222.88
60.52,43.96,87.54,18.09,66.26,6.27,654.37,4.33,15693.82
62.68,42.39,81.15,18.79,65.89,5.92,675.38,4.05,18791.76
56.27,42.15,80.68,18.43,63.06,5.97,591.2,3.88,12392.22
66.61,44.59,81.38,16.68,69.76,5.81,651.81,3.83,13410.11
62.75,42.71,81.3,17.1,70.17,5.59,637.26,4.28,16279.47
57.76,42.04,83.05,18.55,65.65,5.87,629.77,3.88,15427.37
66.59,44.26,85.26,18.4,67.21,6.38,637.52,4.41,13596.67
60.15,40.48,86.72,18.71,75.92,6.11,654.98,3.47,12824.39
63.18,41.84,87.78,17.66,69.5,5.77,576.19,4.18,13523.01
64.05,43.68,84.07,16.11,64.19,6.07,748.01,3.97,11694.78
57.89,43.49,83.73,18.54,61.61,6.13,600.24,3.92,12782.57
60.47,42.28,76.79,19.53,69.21,5.94,671.17,4.22,13744.69
57.4,42.59,81.33,18.92,70.76,5.85,607.6,3.6,12374.99
61.89,44.45,78.11,17.89,68.33,6.13,661.8,3.75,17398.03
66.23,43.9,83.43,18.62,70.07,6.06,591.1,3.91,13459.15
69.59,42.85,87.68,18.96,64.53,5.56,697.67,4.22,9908.55
66.59,45.27,82.39,16.83,62.12,5.36,628.9,4.21,10694.14
61.72,43.18,82.66,17.88,67.73,6.28,696.98,4.12,17661.4
61.74,39.15,84.5,18.59,69.12,6.22,660.09,4.1,15431.12
64.76,39.41,85.0,18.81,65.06,6.18,671.06,4.07,14005.88
68.65,41.62,76.87,17.92,73.26,6.16,716.42,4.1,10601.25
62.12,42.42,90.05,18.27,62.58,6.03,647.81,4.29,16642.27
65.16,37.65,78.21,17.49,72.19,6.52,639.58,4.05,11410.79
62.19,45.66,83.02,18.96,69.22,6.08,703.29,4.11,13692.25
61.05,39.56,82.81,16.87,66.95,5.56,663.3,3.98,13872.95
65.83,43.84,85.61,18.3,59.65,5.9,609.02,4.06,13185.66
57.41,47.76,80.76,18.68,65.38,6.05,667.17,3.85,12180.24
59.96,42.68,83.7,19.24,70.84,6.15,690.67,3.93,14515.75
67.68,45.35,88.47,18.04,67.98,6.0,636.57,4.21,14711.64
67.05,47.61,82.59,17.26,66.74,6.14,665.67,4.41,11946.88
63.81,40.35,83.5,17.01,66.24,6.01,633.3,3.92,16732.44
61.44,41.64,89.21,17.02,66.79,5.42,632.58,4.04,13582.08
