N,P,K,temperature,humidity,ph,rainfall,pesticide,yield
229.3,60.38,338.87,28.52,84.38,6.17,2244.08,15.83,23194.84
189.41,61.02,305.04,23.96,75.36,6.51,2077.64,14.19,15669.81
231.79,54.39,307.14,27.77,74.64,6.07,2173.37,16.55,24412.74
202.12,57.7,287.06,30.07,83.29,6.38,2295.83,13.57,22631.5
187.32,52.83,341.01,27.56,75.67,6.45,2317.52,16.65,21884.63
195.29,55.65,325.76,28.76,86.39,6.26,2013.97,14.86,23214.9
201.9,54.93,315.42,28.19,87.26,6.51,2365.36,14.59,28824.09
202.44,48.06,303.61,25.74,84.18,6.62,2132.24,14.21,20297.37
214.64,52.74,305.11,26.25,80.08,5.9,2419.5,14.32,27029.62
212.67,53.51,304.03,29.14,78.59,6.1,2164.25,14.43,30241.13
205.21,54.52,345.44,27.03,79.4,5.98,2267.23,15.13,30987.45
208.04,57.47,299.38,28.33,77.75,6.63,2429.41,15.07,26770.76
203.72,57.6,319.66,27.78,74.76,5.72,2166.02,14.49,27132.23
219.06,52.39,325.07,26.9,78.88,6.1,2099.21,14.34,28096.18
218.06,55.27,301.94,28.41,82.5,6.37,2306.78,13.28,29424.4
233.17,55.24,335.98,28.75,84.69,6.09,2325.7,14.54,23531.18
213.57,51.15,297.99,27.98,76.97,6.3,2393.05,14.89,27537.31
212.48,56.48,314.48,26.12,82.55,6.9,2167.47,16.63,26146.79
209.11,59.27,291.32,27.6,82.02,6.18,2234.72,14.71,32014.11
189.91,55.44,291.22,27.11,75.17,5.97,2278.54,16.93,22596.45
216.88,55.58,314.84,27.34,78.71,6.65,2302.06,14.71,34067.11
218.56,57.14,352.97,27.48,75.8,7.04,2149.02,15.06,21572.74
184.34,58.88,330.67,25.39,78.37,6.37,2388.88,15.55,19362.4
217.28,55.08,323.17,28.55,79.38,6.67,2094.15,14.74,28896.23
210.64,55.48,295.17,26.37,75.5,5.9,2200.36,15.58,29059.94
202.6,53.39,296.79,28.02,84.27,6.22,2302.59,14.76,31351.24
225.64,51.23,319.87,27.78,82.2,6.84,2204.09,15.15,25156.6
224.35,58.01,334.21,29.57,73.77,6.35,2346.39,15.58,22175.63
210.53,60.64,295.91,28.37,84.74,6.63,2367.06,14.62,22906.2
212.25,59.57,312.62,28.62,75.25,5.91,2193.87,14.26,26480.27
204.05,45.88,310.95,24.54,82.35,6.65,2134.97,15.02,19433.01
196.35,60.55,336.35,28.67,84.57,6.02,2196.77,14.27,22694.56
224.51,55.83,312.01,27.36,80.86,6.2,2210.02,14.87,35102.32
224.69,55.86,325.34,28.92,78.35,5.84,2223.31,16.04,25566.9
193.09,52.13,330.1,29.66,79.28,6.29,2159.45,13.39,22097.69
203.81,54.13,332.43,27.46,81.55,5.88,2304.59,15.05,32457.31
202.75,59.2,305.6,29.78,75.14,6.23,2200.77,14.85,25919.36
224.25,50.16,314.93,27.02,80.28,6.28,2425.53,15.77,25400.72
209.73,57.77,323.0,28.56,74.62,5.78,2301.62,14.97,27977.47
208.05,53.69,334.41,25.77,78.42,6.19,2252.06,15.51,32509.7
190.18,55.17,308.8,25.22,81.25,6.2,2135.97,14.71,25202.73
210.62,59.81,283.51,28.22,80.75,6.75,2328.79,15.21,24258.71
228.29,48.97,302.36,28.27,83.06,6.39,2241.92,14.62,24577.02
213.33,53.28,354.3,25.28,79.41,6.3,2132.09,14.94,24790.65
208.02,51.97,310.78,25.89,83.23,6.69,2196.13,14.26,26986.31
217.47,55.53,297.11,25.5,82.64,6.54,2273.94,16.77,25336.13
219.98,54.01,339.65,27.89,79.92,5.99,2204.91,15.47,30042.82
207.55,56.99,286.71,28.78,76.44,5.67,2412.96,15.61,22363.66
221.71,52.87,298.84,27.5,82.64,6.99,2369.46,15.03,24879.95
228.49,56.54,328.1,28.22,75.67,6.32,2339.66,15.64,25769.82
208.27,54.4,299.85,26.8,72.9,6.5,2278.17,14.31,30690.68
209.36,54.05,308.73,27.43,80.99,6.32,2204.93,16.53,38068.54
204.05,56.4,336.61,27.25,79.18,6.05,2280.71,13.95,31133.03
222.84,53.75,319.45,29.82,84.25,6.38,2305.58,16.0,25938.89
216.55,56.89,295.44,26.4,88.07,5.95,2222.59,13.73,25159.07
194.27,59.43,300.24,26.44,78.28,6.11,2052.32,14.82,22393.63
199.79,59.84,266.94,26.08,79.62,5.66,2324.45,13.31,17407.5
206.4,58.56,325.03,27.69,78.69,6.05,2315.38,15.58,31204.12
215.9,57.8,317.06,25.15,82.67,5.98,2231.44,15.19,28285.62
212.04,59.0,312.44,27.34,80.62,5.56,2127.75,14.92,28159.05
199.66,54.59,311.58,26.38,92.27,6.51,2310.42,14.41,26160.17
207.63,53.59,323.49,29.03,81.65,5.99,2199.55,14.47,31109.12
194.71,52.58,332.39,27.67,85.63,5.74,2173.88,15.88,22571.22
218.34,53.35,317.49,23.62,80.44,6.17,2078.72,15.27,23879.91
207.9,55.11,335.95,25.97,80.75,6.39,1869.45,14.49,23141.08
209.04,56.48,308.36,26.7,76.24,6.19,2484.39,15.01,29374.08
219.84,54.48,332.96,28.95,89.05,6.14,2306.11,15.24,26915.73
209.75,53.58,292.21,28.27,77.31,6.66,2376.47,14.4,26885.41
210.5,55.46,320.58,29.21,81.65,6.24,2264.8,14.21,36290.24
