N,P,K,temperature,humidity,ph,rainfall,pesticide,yield
72.68,32.7,61.72,15.67,63.25,6.51,547.64,2.09,2368.64
72.26,33.87,61.62,16.51,60.74,6.64,481.13,2.24,2612.59
77.46,33.66,63.29,15.34,63.08,7.22,443.7,2.21,1773.97
76.51,33.28,59.64,16.18,64.09,6.89,487.2,2.15,2557.34
68.73,33.21,61.62,17.09,63.68,6.87,521.12,1.99,2276.0
72.54,33.9,59.15,15.41,63.18,6.88,451.3,2.29,1925.77
67.11,32.09,65.54,15.46,65.05,7.2,421.81,2.14,1617.37
70.62,32.77,63.33,16.15,56.63,6.97,510.81,2.0,2610.53
71.18,32.29,61.28,15.51,62.45,7.61,511.02,2.18,2408.5
75.75,33.4,58.17,16.46,68.92,7.83,506.47,2.22,1855.7
60.34,28.9,60.39,16.75,64.23,7.35,506.15,2.16,1654.94
68.61,31.06,64.93,16.16,61.75,7.61,503.71,2.26,2127.81
68.16,30.75,64.66,16.25,63.75,7.03,495.11,2.18,2563.28
71.44,34.17,61.79,16.02,64.96,6.78,513.61,2.21,2571.65
75.37,32.75,64.24,15.91,69.63,6.77,470.72,2.16,2139.73
76.03,31.72,61.93,14.21,62.06,6.84,502.78,2.12,2206.45
69.27,29.38,63.27,16.99,62.48,6.94,514.31,2.05,2248.13
68.62,32.21,59.11,15.71,67.61,7.58,503.35,2.22,1977.12
75.49,32.27,63.08,16.65,68.45,6.95,518.4,2.2,2517.81
70.04,32.86,63.14,17.75,55.68,6.49,517.13,2.08,2039.83
77.51,31.56,62.67,16.56,67.99,7.03,486.79,2.09,2368.44
74.14,30.88,63.31,16.86,66.22,7.13,468.81,1.97,2148.69
74.49,30.68,62.95,17.7,61.83,7.33,483.66,2.19,2198.15
74.1,30.75,60.78,17.22,60.71,7.37,510.22,2.14,2371.99
79.02,30.98,60.37,16.04,62.61,7.04,483.56,2.39,2011.35
70.59,31.22,61.27,17.59,65.57,7.04,493.42,2.09,2480.33
74.43,33.31,68.6,17.36,60.13,7.65,479.32,2.2,1876.43
72.7,30.21,63.9,15.74,56.29,6.5,512.18,2.25,1959.45
67.35,33.15,59.44,17.44,58.06,6.93,506.74,2.01,2094.62
82.95,31.03,60.75,17.27,63.48,6.93,495.57,2.18,2031.69
71.89,33.03,62.02,15.12,63.17,7.22,521.08,2.32,2394.95
71.55,34.95,64.96,16.7,65.84,7.3,469.69,2.19,2120.12
74.12,32.56,54.78,16.42,57.52,6.9,483.04,2.35,2038.56
68.02,31.54,65.03,15.7,64.2,7.35,504.24,2.23,2130.42
65.78,31.29,57.77,17.56,66.15,6.93,470.5,2.26,1656.68
72.94,32.24,66.69,16.66,59.09,7.17,539.4,2.12,2366.44
70.74,31.29,49.46,17.99,60.7,7.13,497.16,2.17,1800.49
71.29,32.65,62.95,16.66,60.74,7.23,506.03,2.01,2985.69
61.42,34.64,66.79,16.68,66.02,7.05,491.59,2.17,1827.82
77.27,33.01,65.75,16.65,63.47,7.13,507.11,2.34,2403.86
68.01,29.53,62.77,17.1,67.15,6.62,494.85,2.12,1944.27
75.04,34.42,65.13,16.73,68.57,6.75,476.12,2.01,2015.74
76.7,34.14,65.2,16.92,64.77,7.38,518.4,1.94,1957.03
77.06,30.88,62.52,15.46,60.64,6.58,501.32,2.06,2032.56
75.65,34.64,67.66,16.19,68.73,6.96,493.11,1.94,1950.14
69.13,33.79,63.45,15.29,67.89,7.25,466.13,2.0,1827.8
67.74,33.66,62.05,16.36,63.31,5.96,487.57,2.25,1958.0
70.08,30.87,62.01,15.84,64.19,6.8,492.32,2.05,2464.08
72.04,31.94,65.2,16.64,63.38,6.82,483.47,1.87,2555.4
71.55,32.19,61.04,16.75,60.71,6.74,524.75,2.04,2676.55
74.38,33.44,63.74,16.31,60.19,6.98,478.55,2.1,2682.24
65.39,31.22,62.75,15.22,66.72,6.64,501.44,2.29,1773.91
74.9,32.84,65.97,15.68,63.37,7.28,518.84,2.15,2361.15
75.0,32.44,59.35,15.89,59.47,6.69,490.11,2.21,2411.47
73.03,31.71,59.36,16.21,64.1,7.03,529.51,2.22,2518.39
70.96,31.84,60.15,16.74,62.89,6.88,461.51,2.18,2552.99
76.37,34.6,58.99,16.84,59.94,7.24,506.61,2.03,2159.62
68.54,31.94,62.48,16.45,64.11,7.13,509.06,2.02,2674.47
72.49,30.26,63.86,16.15,63.29,6.63,468.12,2.19,2273.95
71.65,30.46,62.81,16.51,62.82,6.69,491.84,2.12,2762.89
70.49,32.94,64.08,15.71,63.77,6.91,507.77,2.22,2719.57
72.86,34.42,65.22,15.07,64.29,6.83,543.21,2.04,1861.27
69.98,31.11,58.76,15.67,65.21,7.51,513.2,2.24,1967.37
73.55,31.32,65.87,16.32,64.35,7.05,559.72,1.97,2036.35
71.63,32.72,63.28,17.15,69.68,6.99,509.54,2.13,2730.81
71.09,32.32,61.07,15.5,65.95,7.24,505.94,2.0,2480.27
74.3,33.52,59.38,16.74,59.08,6.51,523.19,2.08,2224.95
71.72,32.42,66.19,17.21,63.52,7.19,496.49,1.95,2526.01
71.97,32.82,65.72,17.02,63.2,7.07,528.61,2.1,2570.66
72.88,34.12,65.18,16.36,58.71,7.12,501.19,2.14,2720.47
74.28,31.84,61.71,15.75,58.82,7.16,464.7,2.12,2316.14
70.59,33.17,68.15,14.75,66.66,6.68,489.11,1.94,1729.2
74.93,33.99,63.64,17.22,64.93,6.3,548.61,2.17,1905.97
69.93,34.79,64.95,16.11,66.15,7.66,492.48,2.15,2041.08
74.2,33.99,65.21,15.57,61.1,6.9,501.45,1.93,2343.16
70.42,33.55,62.96,18.08,63.86,6.98,490.22,2.28,2342.21
72.66,32.86,60.64,15.02,62.51,7.28,521.1,2.04,2354.17
69.32,32.26,60.64,16.07,62.23,7.01,508.07,2.13,2808.58
74.94,29.79,63.44,16.97,62.78,7.52,506.18,2.11,2157.2
75.22,28.22,64.41,17.35,59.81,7.2,506.43,2.18,1940.42
74.0,29.62,65.72,16.4,59.81,7.34,496.06,2.2,2210.85
76.6,29.79,62.07,16.74,60.42,7.28,508.78,2.1,2210.43
67.92,32.33,59.44,17.36,60.04,6.94,505.61,2.09,2357.24
71.68,31.71,61.81,15.57,63.9,7.61,504.89,2.33,2287.95
72.4,31.95,58.66,15.41,65.84,7.3,519.09,2.16,2302.8
74.12,31.5,62.92,16.85,58.59,7.12,438.61,2.36,2023.18
71.08,37.16,64.63,15.46,57.88,7.08,492.74,2.09,1926.86
74.27,29.66,64.9,16.25,60.13,7.22,542.49,2.2,1973.68
81.35,30.82,64.8,17.81,65.73,7.72,467.55,2.04,1372.23
71.44,33.5,66.46,16.29,60.22,7.25,480.39,2.25,2374.74
80.58,33.55,63.7,17.54,65.12,6.89,531.24,2.05,1741.3
73.53,29.91,62.15,16.65,63.17,7.29,522.66,2.22,2466.41
68.06,31.96,61.19,16.02,65.31,6.61,491.01,2.26,2242.09
71.7,32.52,65.99,16.65,63.4,7.16,551.24,2.2,2444.39
78.11,34.06,62.87,16.6,64.97,7.32,476.5,2.1,2123.84
72.91,32.25,65.35,17.45,62.19,6.53,497.55,2.16,2571.72
72.77,29.44,56.83,15.61,62.72,7.04,506.81,2.08,2150.18
72.45,32.07,64.05,16.24,57.8,7.24,498.06,2.25,2718.56
74.57,34.24,59.42,17.9,63.65,6.97,511.2,2.22,2218.36
71.34,33.18,64.33,15.66,61.36,7.61,523.91,2.34,2104.44
74.0,31.08,65.96,16.91,60.71,6.4,486.02,2.19,2205.12
72.36,33.55,63.75,16.21,66.42,7.01,469.27,2.28,2478.2
72.92,35.32,65.84,15.69,60.36,7.0,484.35,2.3,2072.91
68.56,32.13,62.41,16.4,63.66,6.7,536.86,2.0,2265.95
74.1,32.65,59.23,16.83,64.47,7.45,516.4,2.26,2347.48
70.74,32.55,61.76,15.87,61.65,7.12,546.16,2.03,2345.98
72.64,29.75,61.97,14.19,64.32,7.17,506.78,2.26,1978.88
75.15,31.81,59.82,16.15,61.15,6.86,524.92,2.07,2402.61
76.52,34.34,63.4,14.82,56.61,7.08,483.35,2.02,1830.29
