N,P,K,temperature,humidity,ph,rainfall,pesticide,yield
46.42,28.84,51.49,19.34,76.04,4.91,977.36,3.38,9634.85
41.42,31.76,49.31,20.24,74.06,4.48,1009.09,3.68,8010.32
42.48,27.92,54.74,20.43,81.95,4.61,1049.88,3.43,6729.77
45.58,29.22,54.29,18.93,71.05,4.94,1068.95,3.53,7566.74
44.51,32.14,50.47,19.8,80.67,4.75,938.82,3.41,8591.63
44.95,29.18,53.18,19.99,77.33,4.68,1010.93,3.64,10059.89
41.74,30.99,51.8,19.33,72.68,4.9,1010.23,3.5,9058.07
44.03,31.65,47.8,20.19,71.83,4.74,1064.46,3.49,8755.83
48.2,28.67,50.41,20.66,70.54,4.86,1015.95,3.56,8754.81
44.82,31.68,50.23,19.62,75.49,5.02,1023.29,3.31,9695.55
40.53,29.75,45.9,21.14,71.8,4.83,902.57,3.44,6248.41
50.11,29.31,47.1,21.12,75.43,4.34,1046.52,3.63,6122.65
41.06,31.76,45.45,18.91,72.21,4.86,903.34,3.42,5973.63
43.63,30.22,46.99,19.39,74.8,5.01,1025.66,3.45,9384.78
43.89,28.42,51.87,19.44,71.63,4.53,976.14,3.49,8610.19
42.88,30.74,44.74,20.35,71.04,4.78,972.44,3.49,8523.63
40.94,32.17,47.84,20.17,77.02,5.05,1011.36,3.9,6973.02
47.12,30.9,50.69,20.16,67.96,4.85,1018.81,3.75,8791.91
45.9,31.14,50.84,19.46,73.9,5.04,951.51,3.55,9421.96
44.34,31.07,51.34,19.75,71.73,4.75,1016.83,3.78,10104.81
49.33,29.57,51.57,21.04,67.21,4.87,1057.77,3.71,6487.65
45.42,29.17,50.5,20.48,76.6,4.73,919.2,3.5,9906.76
42.08,27.86,52.35,19.97,71.19,4.85,995.32,3.58,8845.96
44.1,27.45,46.76,21.07,74.8,4.93,1048.09,3.47,7581.26
43.2,29.96,50.25,18.6,74.63,4.46,937.41,3.59,8140.22
45.93,29.0,46.89,20.85,77.64,4.76,1073.57,3.57,8240.96
44.89,31.03,48.55,21.49,75.41,4.95,1035.23,3.31,8812.26
44.59,30.69,53.33,18.38,71.73,4.53,1001.89,3.73,7857.79
45.39,31.28,51.59,19.16,74.31,4.76,928.45,3.33,8740.98
47.37,30.14,54.82,20.94,74.63,5.04,971.08,3.36,7737.36
45.94,30.88,48.14,19.72,74.23,4.42,1037.61,3.47,9342.03
42.9,30.69,50.91,21.46,75.53,4.75,1012.05,3.41,9378.32
45.4,29.36,47.95,19.75,74.01,4.53,1046.75,3.54,9691.01
48.61,30.36,47.57,21.39,74.44,4.55,963.72,3.44,7334.94
41.59,29.86,48.91,18.62,74.72,4.75,949.62,3.19,7661.27
