N,P,K,temperature,humidity,ph,rainfall,pesticide,yield
35.2,25.41,37.67,17.64,66.57,6.09,546.92,1.25,1420.49
32.43,26.09,40.53,17.8,71.43,6.09,529.15,1.23,1047.1
33.42,25.56,40.07,18.13,60.93,6.06,573.88,1.21,1277.42
33.91,23.68,41.58,18.62,65.51,6.51,597.65,1.16,968.95
36.22,26.8,39.47,16.85,68.14,6.08,545.73,1.19,1152.56
34.92,23.53,39.29,18.62,64.49,5.88,558.45,1.13,1300.28
32.4,25.52,41.25,19.2,68.95,5.96,562.62,1.27,1036.6
34.64,26.36,40.81,18.95,58.9,5.68,570.45,1.22,1074.96
37.79,24.28,39.65,16.58,62.93,5.85,561.71,1.28,1016.87
36.13,22.08,41.36,18.44,68.25,6.23,562.11,1.22,1033.99
34.18,24.14,38.12,17.85,65.21,5.69,474.26,1.16,1023.49
35.22,26.89,38.96,17.32,66.75,6.21,535.08,1.24,1146.18
37.0,23.36,39.46,18.34,69.83,5.88,571.31,1.23,1082.58
38.22,25.59,39.68,18.72,65.83,5.63,559.45,1.14,1036.78
33.49,22.79,39.06,19.25,68.7,5.88,543.25,1.14,996.94
35.75,26.12,42.6,18.91,66.9,6.1,571.19,1.29,1049.57
34.38,23.42,40.61,18.23,70.31,5.84,608.17,1.16,970.94
31.97,24.08,40.29,18.41,65.55,6.52,553.55,1.21,1050.0
34.1,26.52,39.34,19.02,60.85,5.91,530.19,1.13,1064.84
33.83,25.24,44.49,19.19,63.83,5.96,543.68,1.13,1099.92
32.99,24.25,40.8,19.37,63.92,5.81,508.59,1.19,984.9
31.0,24.1,41.32,18.16,59.69,5.87,560.84,1.22,1012.22
34.46,23.89,40.0,17.78,63.43,6.43,528.9,1.25,1220.89
34.03,26.95,42.19,18.7,67.73,6.56,570.27,1.22,921.46
36.74,23.26,39.97,17.71,62.51,5.89,546.66,1.25,1239.18
33.03,24.9,40.21,17.13,65.72,5.72,562.5,1.21,1214.2
33.98,24.1,40.38,17.61,69.02,5.47,505.52,1.15,1029.2
35.9,26.45,42.78,17.71,58.78,5.84,493.65,1.15,875.67
33.05,23.11,42.31,17.53,63.55,5.78,520.27,1.15,993.7
31.39,23.77,41.35,18.18,67.03,5.78,590.54,1.29,880.38
33.77,24.71,41.12,18.39,63.74,6.14,522.23,1.24,1281.83
32.19,25.08,40.3,19.89,65.76,5.98,517.95,1.12,969.76
33.58,24.28,42.85,19.27,65.26,6.24,584.8,1.17,973.09
32.05,25.27,40.31,16.41,72.36,5.47,575.15,1.26,809.62
36.59,23.19,38.54,18.54,64.59,6.08,546.87,1.27,1186.38
34.38,23.61,36.15,18.41,67.0,5.87,542.68,1.18,1158.95
40.76,24.66,39.29,18.29,63.15,6.08,532.81,1.23,1015.09
33.62,24.72,40.43,17.28,65.65,5.65,535.87,1.19,1238.96
34.68,25.11,42.16,16.83,67.31,5.67,564.73,1.07,1071.55
33.83,25.92,38.02,17.86,63.53,5.97,558.05,1.27,1349.36
33.21,25.79,41.24,17.63,63.55,6.53,524.81,1.29,1021.61
34.3,24.76,41.09,18.43,71.75,5.99,562.03,1.24,1289.15
36.34,23.59,36.83,18.13,64.84,6.24,531.39,1.32,1077.14
36.38,26.35,38.65,18.47,66.47,5.51,537.73,1.03,984.73
35.26,25.07,39.34,19.51,69.66,6.02,551.11,1.22,1418.15
32.91,23.4,41.92,18.58,66.87,5.92,559.73,1.33,1057.91
36.33,25.01,41.6,18.03,65.59,5.67,575.82,1.22,1306.0
37.24,25.84,36.18,19.91,66.66,5.28,552.52,1.25,755.97
38.77,22.81,38.2,18.88,62.03,5.69,560.54,1.26,834.36
36.29,23.33,35.32,16.99,67.03,6.1,574.91,1.2,953.61
35.08,25.44,37.07,17.36,65.94,5.84,559.12,1.11,1226.33
35.81,25.8,40.99,18.48,58.43,6.33,566.05,1.36,1032.22
33.11,23.89,42.19,17.62,64.1,6.22,553.51,1.18,1199.52
36.79,25.91,37.98,17.46,63.66,5.83,522.63,1.2,1132.34
33.18,25.53,39.69,15.76,63.24,5.9,589.05,1.18,957.92
34.99,23.06,40.48,15.85,62.48,5.86,557.15,1.16,1060.74
38.05,24.55,39.61,18.62,66.89,5.58,551.08,1.21,1090.16
34.25,24.63,35.17,18.07,66.91,6.27,561.24,1.19,1171.59
35.82,24.59,42.03,17.38,65.43,6.32,564.82,1.17,1240.7
34.67,23.8,36.05,18.6,67.07,6.07,544.22,1.27,1157.48
33.44,24.05,38.24,16.76,66.89,6.3,552.09,1.21,1103.4
35.5,24.25,40.21,17.47,65.03,5.84,542.79,1.2,1495.84
36.46,24.42,38.42,18.87,62.31,6.14,485.26,1.2,975.54
34.19,24.78,39.04,17.02,62.71,6.16,566.61,1.28,1247.53
36.45,23.53,41.92,17.31,60.35,6.22,537.58,1.2,1086.48
35.3,24.82,45.83,17.09,66.51,5.97,497.23,1.15,921.24
35.26,25.83,37.92,18.77,60.22,5.9,584.65,1.16,1070.91
34.94,24.77,41.64,18.57,64.22,6.09,535.63,1.32,1322.61
36.33,24.72,40.49,17.67,63.7,5.81,533.07,1.24,1329.38
34.87,24.93,43.26,17.71,66.96,5.95,566.8,1.28,1287.28
33.14,24.88,40.13,18.5,64.58,5.9,510.33,1.25,1203.62
33.87,25.71,41.05,17.4,64.97,5.93,537.06,1.22,1354.45
35.32,25.68,39.49,17.82,65.21,6.22,506.97,1.19,1324.9
36.7,26.97,40.27,17.82,66.74,6.09,555.7,1.27,1204.05
36.22,23.53,42.86,18.6,69.3,6.06,560.83,1.18,1131.87
35.34,24.69,41.21,16.89,64.53,6.23,542.02,1.08,1231.58
36.63,24.36,38.93,16.52,64.0,5.86,569.1,1.17,1097.08
34.83,28.41,38.83,17.44,61.25,6.34,561.04,1.23,978.97
