N,P,K,temperature,humidity,ph,rainfall,pesticide,yield
124.1,47.98,146.69,18.17,62.94,6.47,575.3,3.07,27120.87
123.25,47.68,149.96,17.37,68.8,6.69,643.13,2.59,26874.31
126.68,50.38,149.45,17.59,66.71,6.92,596.79,3.04,30323.62
128.79,53.91,157.68,17.75,66.4,6.52,639.29,2.95,22690.6
129.58,46.51,146.58,16.91,66.02,6.32,590.63,3.13,26678.07
103.25,50.96,154.77,16.25,71.83,6.88,588.29,2.99,22791.75
118.32,51.22,162.62,16.8,67.33,6.07,613.42,3.04,28671.04
133.71,49.12,152.68,17.2,70.1,6.43,668.02,3.05,24630.79
121.82,50.97,151.97,17.23,65.82,6.82,581.68,3.22,32061.8
121.66,49.61,146.09,17.03,69.73,6.91,555.27,3.14,31838.25
126.0,50.08,167.49,18.12,64.25,6.75,598.3,3.23,22655.29
126.91,49.81,148.99,15.62,71.08,6.87,608.66,2.8,26793.38
117.26,52.33,154.98,15.65,67.59,6.7,568.48,3.29,24647.88
122.26,52.43,149.87,16.56,69.35,6.38,582.46,3.02,34134.89
119.99,52.23,147.82,16.58,69.33,6.89,622.61,2.89,31490.37
129.35,46.0,155.99,17.05,71.43,6.58,605.3,3.11,29033.6
112.71,48.77,151.05,16.81,71.34,6.34,584.16,3.13,31872.88
116.99,50.24,146.06,15.91,74.71,6.49,628.75,2.95,30420.91
119.3,49.93,168.38,17.04,69.99,6.38,620.21,2.82,31991.72
116.46,50.24,162.07,16.11,67.24,6.27,613.04,3.11,27783.58
115.51,52.47,158.53,18.4,72.21,6.88,588.02,3.1,24801.23
130.21,52.79,153.6,17.21,67.46,6.61,635.64,2.68,23971.0
111.0,53.1,166.97,16.77,73.24,6.58,634.66,3.19,21725.88
128.84,44.97,159.34,16.82,67.41,6.49,593.34,2.92,27283.39
132.44,51.92,153.46,17.14,69.06,6.92,642.09,3.07,24204.87
108.56,50.17,147.02,16.22,69.02,6.39,598.91,2.93,29326.57
120.04,48.58,161.12,16.69,69.01,6.42,600.2,2.87,34456.54
121.89,50.03,157.38,17.56,74.1,6.23,628.82,3.11,29833.73
119.19,50.23,149.3,16.27,69.93,6.63,617.51,2.93,38204.89
117.3,49.29,144.9,17.22,70.38,6.73,609.33,2.81,34176.3
115.77,48.47,150.09,16.39,66.22,6.31,580.54,2.91,31295.48
131.52,51.46,150.85,17.95,73.42,6.37,558.26,2.91,23160.09
118.89,48.77,143.55,16.25,73.04,6.44,600.75,2.95,34662.93
108.24,51.8,151.21,17.03,70.26,6.83,631.49,3.02,27351.04
112.06,50.16,152.9,16.5,74.01,7.14,628.68,3.01,25150.13
116.7,52.16,148.04,17.42,71.43,6.7,594.96,3.13,32498.17
120.29,47.71,153.88,17.06,69.84,5.93,584.4,3.03,32404.13
124.27,51.67,134.31,17.17,73.51,6.39,591.08,2.96,29250.93
132.19,48.48,152.06,18.37,75.44,7.02,607.11,2.93,21308.95
114.84,53.76,148.18,16.81,69.3,6.82,597.42,2.74,28455.43
118.27,50.11,155.97,16.41,71.48,6.07,571.8,3.31,28586.57
113.97,49.61,153.8,17.52,66.32,5.84,646.6,2.83,23384.21
128.22,52.53,146.09,16.51,68.43,6.14,582.35,2.94,26901.06
117.61,49.76,140.88,17.06,69.25,5.89,604.22,2.94,31578.38
120.0,48.94,149.53,16.65,61.16,6.54,612.36,3.12,33544.51
120.31,44.75,153.27,18.09,71.36,7.24,673.76,3.08,19255.12
123.55,53.32,156.0,16.15,67.43,6.7,580.6,2.88,26587.0
118.94,51.99,150.51,18.09,74.9,6.42,602.14,3.39,30015.68
111.25,50.18,154.93,16.03,69.57,6.17,615.58,3.03,27471.39
125.74,50.25,162.25,17.65,75.75,6.88,597.43,3.0,25740.15
