N,P,K,temperature,humidity,ph,rainfall,pesticide,yield
83.0,45.19,122.8,16.16,65.06,6.45,527.12,2.34,29594.91
86.95,43.82,115.77,15.74,62.44,6.64,516.25,2.53,24937.68
76.28,46.22,121.1,17.56,61.94,6.56,452.54,2.38,20524.3
78.13,42.85,114.35,16.1,59.7,6.06,516.98,2.64,23092.26
80.03,47.67,120.75,16.3,62.88,6.81,521.76,2.54,28414.61
84.36,45.75,115.99,14.91,62.92,6.28,519.5,2.31,22647.41
79.96,42.41,120.17,15.88,63.16,7.04,457.35,2.67,24745.7
75.52,39.54,118.33,15.04,58.74,6.28,516.89,2.56,19274.72
76.49,47.83,131.87,14.88,64.71,6.84,496.52,2.5,21687.38
82.99,46.48,133.37,14.71,66.28,6.08,446.56,2.7,16831.16
76.39,43.81,124.4,14.38,61.83,6.59,517.89,2.27,21759.03
79.78,44.69,130.72,16.03,59.15,6.35,524.4,2.44,25973.99
77.71,44.14,115.39,15.13,63.59,6.25,507.92,2.34,26309.35
79.62,46.96,125.47,17.17,69.48,6.72,512.97,2.31,23578.76
72.66,46.25,125.68,16.73,71.0,6.44,504.69,2.48,23668.59
85.16,45.45,117.31,16.37,65.49,6.7,462.47,2.48,25615.66
79.66,48.62,119.92,15.61,64.68,6.16,492.3,2.37,27821.54
78.68,41.68,118.27,15.04,62.42,6.21,490.8,2.5,25188.25
84.06,45.95,123.51,14.98,62.55,6.71,517.98,2.55,24814.67
82.3,42.98,126.11,16.2,64.42,7.2,504.5,2.53,25517.26
77.23,44.49,115.2,16.49,63.62,6.64,521.69,2.63,27732.14
78.2,44.85,115.33,16.23,60.77,7.23,530.34,2.36,22945.72
77.8,45.25,120.12,15.54,68.68,6.92,473.25,2.51,27538.39
78.49,43.83,125.18,15.36,65.72,6.35,518.31,2.44,28286.23
83.81,40.17,118.34,16.44,59.6,6.41,538.13,2.44,19831.56
82.49,45.51,121.34,16.95,67.13,6.28,467.51,2.68,24418.82
77.15,42.98,126.37,14.39,62.81,6.57,536.68,2.52,21704.11
80.81,45.83,115.55,15.29,59.92,6.46,525.58,2.24,25207.83
81.41,47.8,113.11,14.91,59.51,6.08,498.32,2.4,21176.64
80.87,45.51,129.03,17.16,68.75,6.82,517.74,2.49,24331.39
74.46,41.74,117.87,16.81,63.6,6.62,501.02,2.51,25294.91
78.37,42.46,120.86,15.63,61.65,6.58,523.22,2.59,27178.94
73.03,43.92,111.84,15.77,68.69,6.11,506.43,2.45,22399.61
76.89,42.89,116.81,14.94,72.82,6.3,533.02,2.53,20848.56
79.85,45.69,105.1,15.24,59.45,6.29,487.64,2.36,22608.34
76.32,46.28,126.35,15.56,66.72,6.32,493.52,2.45,27591.82
