N,P,K,temperature,humidity,ph,rainfall,pesticide,yield
71.94,39.07,83.43,15.92,60.14,6.05,663.07,4.58,6604.44
69.28,40.71,94.72,16.08,63.11,6.52,668.31,4.62,6493.27
65.67,37.98,86.62,14.28,58.7,6.36,656.48,4.73,5886.08
70.83,37.38,86.17,14.07,55.16,6.73,654.61,4.66,5190.27
73.57,40.03,82.21,16.68,54.2,6.38,730.87,4.78,4903.52
62.93,37.89,95.13,16.22,59.25,6.37,770.0,4.11,4278.25
72.39,38.9,94.56,14.65,60.21,6.27,577.37,4.37,5757.5
67.64,40.13,93.42,15.6,62.63,6.47,752.92,4.5,6620.98
66.89,43.72,86.52,14.27,62.43,5.89,633.94,4.36,4953.63
70.84,41.35,92.79,14.85,65.56,5.84,679.3,4.63,6922.3
69.28,37.43,80.75,14.75,63.06,6.21,709.41,5.03,6331.0
65.86,38.52,79.12,14.63,56.28,6.34,647.58,4.49,5408.84
67.27,41.51,93.05,15.54,58.39,5.84,700.58,4.46,7191.15
62.64,39.65,91.96,15.28,58.62,6.45,682.45,4.56,6629.33
69.38,37.44,92.12,15.88,56.62,6.66,732.78,4.78,5712.38
71.42,37.76,94.32,16.04,61.91,6.4,711.8,4.23,6479.75
70.62,40.17,84.41,14.95,59.82,6.01,741.26,4.83,7518.35
65.69,42.92,90.06,14.97,58.85,6.21,660.72,4.62,6840.39
71.27,40.42,83.5,15.33,62.06,6.73,693.52,4.37,6780.46
68.57,37.35,88.72,15.06,59.53,6.59,679.87,4.37,7445.2
67.49,40.0,80.93,16.27,59.0,5.82,710.87,4.5,6062.43
67.73,39.5,86.68,14.98,59.15,6.74,625.26,4.87,6169.09
67.95,39.23,88.19,14.17,62.55,6.57,728.39,4.32,6775.63
69.93,41.1,92.43,15.59,52.83,6.64,742.44,4.32,6129.04
68.28,41.01,89.18,15.45,61.6,6.63,715.8,4.66,7388.53
67.69,36.52,93.34,16.3,55.82,5.82,663.21,4.87,4775.88
73.9,38.72,93.38,14.87,55.87,6.19,712.85,4.33,7242.55
70.6,41.52,98.51,15.65,55.77,5.96,698.65,4.7,6426.15
76.03,42.63,96.1,15.61,57.5,6.7,667.27,4.73,4911.63
79.21,37.66,91.92,14.8,61.32,6.21,683.15,4.74,6121.42
67.25,42.55,87.4,15.99,63.82,6.65,676.66,4.44,5672.59
70.29,38.86,84.87,14.57,59.78,6.49,722.88,4.59,7527.42
68.06,41.98,87.77,14.72,58.68,5.57,706.81,4.43,6920.96
69.27,40.29,94.21,15.4,62.32,5.9,695.19,4.64,7930.44
71.51,37.76,83.87,16.0,58.7,6.47,718.18,4.81,6000.98
71.46,41.72,96.79,15.03,60.06,6.19,623.12,4.52,6823.48
71.72,41.5,88.75,14.6,58.36,6.06,690.1,4.18,7863.0
67.7,41.34,92.12,15.0,64.98,6.94,683.05,5.09,5625.63
67.07,43.93,90.91,14.58,63.08,6.8,657.46,4.55,5439.43
73.99,36.36,90.12,14.3,58.47,6.58,723.94,4.62,5853.52
68.2,42.05,92.96,14.72,57.21,5.86,641.92,4.44,6411.75
66.58,38.35,92.72,14.12,60.87,6.31,715.61,4.54,7100.61
73.37,39.69,85.55,14.75,60.87,6.15,661.76,4.99,6820.95
69.59,39.55,90.65,14.38,57.51,6.09,688.49,4.2,8641.71
67.43,38.87,92.15,13.85,57.68,6.36,655.76,4.64,6205.31
68.52,38.2,91.79,15.4,61.14,6.1,683.3,4.52,8272.28
72.84,43.84,91.11,16.35,61.85,6.48,647.51,4.91,4742.11
65.24,39.52,92.12,14.15,58.7,5.93,758.92,4.71,5690.86
72.45,41.78,91.39,14.36,63.56,6.0,667.42,4.35,6713.36
62.48,36.36,89.64,16.05,66.05,6.15,635.3,4.33,4296.08
64.21,42.83,95.39,14.8,58.45,5.89,748.99,4.02,5085.44
72.02,38.67,90.47,14.63,62.42,5.87,732.09,4.81,7034.8
68.28,39.22,81.18,14.81,56.46,6.28,709.1,4.04,6823.22
66.43,38.58,86.96,15.15,58.98,6.25,687.93,4.39,8088.49
67.32,39.69,85.46,14.08,64.02,5.96,658.65,4.53,6143.44
69.77,36.59,96.91,14.87,58.65,6.34,674.5,4.16,6486.71
67.32,41.83,85.59,15.86,57.34,6.1,701.82,4.54,7123.2
73.96,36.99,82.63,14.38,57.18,6.21,719.26,4.45,6115.04
69.79,41.37,92.37,13.4,57.4,5.81,705.9,4.4,6463.89
69.35,43.43,90.97,14.89,61.32,6.26,692.76,4.47,8443.13
65.39,42.36,81.83,14.64,66.45,5.96,747.6,3.98,4561.61
75.15,41.6,90.92,14.85,67.48,6.34,698.82,4.58,6504.4
69.87,39.65,89.44,16.1,61.01,6.24,673.28,4.12,7984.0
64.37,41.8,88.71,15.71,61.54,5.87,695.39,4.42,6244.46
68.57,40.68,87.07,15.54,59.07,5.75,700.67,4.3,7503.28
71.15,42.42,95.3,15.01,59.04,5.87,735.91,4.26,6781.8
64.55,42.25,92.6,14.12,64.9,6.44,668.37,4.49,5582.66
63.26,38.75,84.4,16.11,58.05,6.24,672.44,4.35,5505.09
63.85,39.24,87.95,14.84,62.45,6.16,733.91,4.31,6578.56
66.18,39.32,91.54,14.85,60.56,6.14,722.03,4.15,7701.75
67.97,37.24,94.21,14.87,58.75,6.16,703.01,4.44,8104.01
73.41,40.5,94.28,14.57,61.09,6.54,662.68,4.32,6609.85
69.82,37.61,87.27,15.2,56.0,6.41,614.59,4.45,5895.84
70.33,39.14,86.8,15.28,58.88,6.23,702.21,4.73,9156.34
67.12,39.16,93.78,14.85,57.94,6.0,758.65,5.1,6001.1
69.74,40.38,93.69,14.45,57.41,5.81,709.04,4.57,7575.79
77.18,41.95,96.89,15.58,59.95,6.48,736.48,4.27,5297.83
69.89,41.27,90.4,15.14,57.24,5.6,735.42,4.54,7224.19
70.84,40.74,93.04,14.65,61.25,6.3,639.5,4.69,7370.48
71.3,40.86,93.48,14.23,57.83,6.07,670.12,4.29,7189.1
71.2,41.56,83.88,12.62,62.09,6.02,686.09,4.4,5657.9
69.51,40.92,86.47,14.83,61.16,6.47,682.56,4.77,7987.34
72.58,38.02,91.12,13.44,64.01,6.19,694.63,4.51,6752.73
