N,P,K,temperature,humidity,ph,rainfall,pesticide,yield
104.57,44.47,126.17,27.72,56.17,6.21,599.36,5.19,9167.26
100.39,39.96,128.86,24.03,60.92,5.83,601.67,5.09,9664.7
102.0,44.47,112.39,25.32,59.28,6.06,602.91,4.78,12825.29
96.55,45.18,125.42,25.54,61.18,6.26,611.94,4.7,11377.6
106.57,46.23,117.74,22.0,60.36,6.2,565.6,4.95,8362.59
89.41,41.97,115.5,27.92,57.61,5.48,622.27,5.1,6405.89
100.72,45.21,119.27,25.5,56.54,6.22,601.01,4.32,12090.91
101.08,44.24,121.84,25.02,53.93,6.24,599.31,4.99,12587.53
95.8,48.34,128.01,26.31,57.82,6.31,603.0,5.14,9032.61
104.9,43.89,132.1,25.83,60.11,5.75,546.11,4.65,8168.94
101.52,44.56,121.64,23.85,58.66,5.97,584.95,5.4,12290.52
108.13,44.52,116.85,27.59,61.14,6.51,605.61,4.54,7541.43
99.64,43.82,121.63,25.51,58.72,5.89,639.46,4.98,12130.82
96.39,41.08,112.32,25.61,58.47,6.13,605.03,4.98,10269.21
104.6,45.81,129.23,27.08,58.02,5.77,606.97,4.96,9376.68
102.33,47.88,131.92,27.14,60.42,6.23,560.5,5.16,7731.82
105.52,44.3,114.17,26.45,58.44,5.93,533.88,5.05,8676.31
94.04,41.83,120.09,25.18,56.89,5.92,568.03,5.04,10078.88
97.97,46.75,129.21,24.39,57.28,5.68,642.38,5.29,8870.36
98.31,45.63,110.39,23.41,53.37,5.78,524.05,4.99,7679.29
97.8,40.71,125.23,22.98,59.64,5.79,587.62,4.76,8833.83
93.69,44.78,120.37,24.85,63.73,5.16,635.51,4.97,8682.7
101.22,42.58,118.94,28.73,58.53,6.07,617.56,4.99,9593.02
99.79,43.76,126.06,23.06,60.99,5.56,574.52,4.76,9155.08
109.1,45.57,113.97,25.34,56.89,6.65,638.68,5.02,7830.01
104.5,47.98,131.62,26.51,58.39,6.37,601.77,5.06,8601.87
99.79,42.77,125.41,23.15,56.42,6.41,593.35,5.09,9446.95
108.74,48.72,119.32,27.14,58.31,6.29,599.71,5.33,7973.79
111.05,44.77,113.65,25.86,52.21,6.48,566.31,4.87,6817.11
96.82,45.5,115.77,24.99,60.01,5.25,574.65,5.06,10651.31
100.06,44.28,115.84,25.33,59.0,6.29,606.35,5.01,13297.57
107.58,43.97,118.56,23.75,62.96,6.39,620.99,4.93,8925.25
102.87,45.77,112.93,25.25,64.79,6.03,540.67,4.93,9394.41
109.68,45.14,120.09,25.14,66.15,5.54,541.13,5.02,7868.82
105.41,42.68,115.73,26.81,64.08,6.35,623.29,4.83,8400.87
102.94,44.69,128.59,27.08,51.28,5.77,564.43,4.97,7993.5
98.54,48.86,117.86,25.23,64.11,6.56,588.54,4.83,9208.39
101.14,44.72,119.32,26.46,57.56,6.02,608.13,4.07,11346.11
103.02,43.84,121.34,23.5,59.96,6.11,628.72,4.98,11317.68
100.9,46.19,121.44,25.8,60.45,5.7,588.92,5.16,12371.83
102.78,46.81,118.24,22.81,56.61,5.65,606.07,5.14,9646.17
105.03,44.15,124.97,24.27,58.92,6.28,566.47,5.2,9964.06
102.04,45.33,122.15,25.95,59.17,5.78,603.48,4.88,12689.25
101.94,44.49,123.04,25.91,62.27,5.92,570.36,5.14,11751.64
103.72,49.41,119.87,23.48,55.89,6.1,547.48,5.37,7469.02
106.63,44.24,119.28,23.54,58.81,5.86,576.54,4.95,10366.54
100.49,48.2,123.91,24.69,57.38,6.16,585.52,5.24,10809.59
101.31,46.11,131.72,25.2,58.24,6.19,619.21,4.9,10768.46
98.8,40.79,116.47,24.49,61.87,5.92,578.47,4.71,10209.17
91.0,45.94,120.2,25.75,63.86,5.59,616.88,4.59,8578.31
101.26,46.3,129.07,23.7,61.85,6.21,619.5,4.92,10289.02
99.64,44.61,119.05,26.47,65.75,6.16,616.72,5.04,12092.58
95.65,47.78,121.42,26.51,58.32,6.23,583.7,4.98,10037.7
97.98,43.5,133.81,24.37,60.83,6.32,602.43,5.27,9752.42
104.36,45.35,117.38,27.17,57.68,5.88,552.75,5.01,9400.79
93.65,44.71,122.82,25.08,65.69,6.06,602.31,5.08,11471.87
102.91,45.13,116.14,25.86,60.9,6.32,654.41,4.94,10066.61
102.35,44.41,122.87,25.26,63.06,5.97,605.45,4.61,12770.27
94.24,48.9,129.0,24.4,57.97,5.59,638.42,4.79,7965.66
100.95,47.09,113.32,25.27,59.57,6.04,579.65,5.06,11992.41
100.7,41.59,116.48,23.26,62.2,5.83,608.84,4.67,9588.76
95.47,47.28,124.67,26.03,59.73,6.17,636.41,4.78,9494.3
