N,P,K,temperature,humidity,ph,rainfall,pesticide,yield
89.3,48.82,105.76,24.04,73.85,6.2,724.12,3.98,23172.52
86.58,52.96,107.88,26.68,73.9,5.96,736.06,3.97,18920.47
87.63,49.66,117.22,23.79,71.27,6.53,705.83,4.08,18810.76
94.6,50.07,112.96,24.82,73.66,6.37,725.06,4.4,19982.89
89.98,47.23,110.0,23.6,72.91,5.63,648.32,3.87,19075.77
93.17,50.82,109.79,25.63,75.2,5.84,705.99,4.29,24240.86
90.44,51.32,114.8,25.19,77.01,5.72,705.42,3.86,23637.76
89.16,48.34,108.86,25.68,74.61,5.11,708.59,4.33,18970.79
86.01,48.75,112.33,22.74,77.05,5.82,716.47,4.49,17947.75
93.41,47.91,111.26,25.08,75.83,6.06,754.13,4.14,21274.93
88.28,49.81,117.21,24.6,73.82,6.17,669.09,3.76,21893.34
89.15,43.35,109.66,22.44,78.65,6.18,739.27,4.08,15013.38
90.9,50.39,112.76,25.22,76.09,6.27,665.01,4.03,25167.8
96.64,51.07,110.94,24.21,72.22,6.13,720.66,3.84,20400.08
83.76,49.54,114.45,25.93,72.59,5.53,738.2,3.95,17118.9
88.89,47.47,106.48,25.59,75.08,5.69,706.84,4.27,21666.09
96.86,49.71,115.63,22.46,71.66,5.4,702.78,4.09,14810.31
84.18,51.87,109.48,24.89,73.97,5.99,709.51,3.68,22385.92
92.46,48.47,114.85,25.94,80.12,5.96,728.7,3.68,19407.4
91.23,49.79,119.98,24.22,65.01,5.34,667.83,3.72,14583.79
86.54,46.71,109.79,23.6,78.32,5.96,691.24,3.94,21084.73
89.3,52.83,108.47,25.01,79.73,6.09,714.03,3.8,23106.02
95.33,55.38,110.55,24.68,78.35,5.58,695.75,3.71,16447.53
90.4,53.57,106.86,23.46,73.73,6.25,614.38,3.84,15940.72
86.26,50.63,112.65,25.4,78.49,5.78,728.64,4.08,21713.57
91.46,50.17,107.45,25.74,72.45,5.38,707.16,4.29,20647.21
89.17,49.14,112.35,25.27,72.86,5.33,703.49,4.28,21444.14
89.38,50.03,113.41,25.37,77.72,6.41,703.57,3.79,23767.11
89.06,52.6,111.47,24.56,74.47,5.68,711.83,4.34,21903.11
85.06,48.46,111.39,24.94,72.2,6.1,674.58,3.72,20982.05
85.57,49.45,115.2,26.68,81.22,5.78,693.56,4.25,17893.27
93.31,48.35,108.81,24.23,80.05,6.04,640.28,3.8,18669.76
89.78,47.94,103.38,26.36,75.38,6.28,682.79,3.8,20035.18
85.94,48.28,106.29,25.23,78.12,6.85,743.64,3.91,16832.82
86.26,50.89,103.25,25.33,76.87,6.25,699.96,4.03,22585.39
87.01,48.86,106.03,26.21,69.12,6.45,662.39,4.0,18210.97
93.17,52.77,109.93,23.71,73.07,6.11,683.5,4.14,20834.58
86.16,51.18,116.67,25.75,74.43,6.02,729.87,4.05,21038.7
87.45,46.34,99.41,23.72,78.2,6.5,726.85,3.69,14350.61
87.28,51.44,117.97,25.66,71.68,5.66,657.84,4.26,17892.37
84.87,47.94,96.52,24.31,70.18,6.29,733.93,4.2,15064.05
93.34,47.97,112.81,25.52,77.41,5.92,703.94,3.76,22882.9
95.86,55.7,112.42,24.8,66.44,5.79,677.2,3.84,15499.7
90.23,46.94,107.62,23.96,83.56,5.95,717.65,4.15,19521.48
85.09,48.9,111.26,24.16,79.78,5.27,735.71,4.49,15355.62
87.72,46.23,103.34,26.65,70.29,6.84,696.86,4.17,14083.01
81.62,48.56,107.89,24.26,77.61,5.5,690.61,4.06,17209.23
88.12,51.02,106.81,25.59,71.78,6.15,742.37,3.57,20409.14
89.64,55.18,100.19,25.18,64.96,5.75,746.24,3.98,14491.57
84.62,48.59,110.89,23.83,79.88,5.78,676.93,3.78,18461.67
93.57,49.64,114.42,25.06,75.35,5.64,665.04,4.0,22507.48
90.21,53.23,108.78,23.69,69.82,5.94,718.93,4.27,20343.06
85.42,49.24,114.31,25.9,77.57,5.96,736.43,4.41,18708.05
88.67,51.57,109.23,26.16,75.3,6.01,730.4,3.88,23508.4
93.09,48.11,112.8,23.77,81.04,5.66,666.55,3.73,17688.33
89.24,54.57,117.68,25.28,77.46,5.97,714.55,4.35,19457.52
88.63,45.66,95.34,24.85,77.33,5.61,679.84,3.78,15766.48
87.21,48.33,106.21,25.42,66.23,6.21,748.91,4.09,17847.44
82.84,50.23,107.59,24.02,73.22,5.96,715.31,4.09,21163.4
96.99,52.54,111.04,25.3,72.37,6.11,687.07,3.89,20721.81
95.72,50.89,108.37,25.25,67.47,5.78,668.26,4.09,18907.23
96.48,51.4,107.53,24.48,81.68,5.77,748.49,4.18,16655.83
88.69,44.75,118.83,26.84,73.93,6.04,712.74,4.13,17034.6
91.68,46.55,108.14,26.65,74.65,5.84,737.22,3.81,18452.98
83.9,48.29,113.56,26.71,69.63,6.39,682.27,4.05,16590.39
92.0,47.71,112.02,22.73,80.43,5.91,659.91,3.95,18163.92
90.51,51.19,110.27,23.26,69.43,6.04,748.78,4.01,20833.0
91.14,51.13,116.89,24.63,72.42,6.27,730.57,4.38,19755.6
89.09,46.44,103.99,25.11,71.84,6.25,696.58,3.61,19331.11
85.01,47.68,109.2,26.85,75.41,6.23,757.04,3.83,16708.07
90.01,46.97,109.67,25.98,76.89,5.73,732.62,4.42,19577.06
80.57,49.51,102.29,25.6,68.02,6.14,679.4,4.06,16690.01
85.01,48.38,112.78,26.53,74.02,5.47,724.88,3.6,16027.36
92.27,48.86,102.99,23.97,74.67,6.27,734.15,4.25,19502.32
79.36,50.35,109.6,24.76,77.47,6.18,708.77,4.0,20620.27
88.57,48.23,107.0,21.11,71.27,6.12,688.57,4.06,18545.8
84.19,49.92,105.17,22.64,74.41,6.26,701.82,4.03,18746.3
90.79,45.81,105.87,26.61,75.73,5.9,739.9,3.98,18385.67
90.72,52.74,107.42,27.03,78.91,6.19,770.18,3.83,16064.89
88.17,51.84,106.35,26.37,81.81,5.8,695.72,3.91,20603.58
88.32,51.8,108.55,25.09,73.99,6.2,706.3,4.52,23563.83
85.28,52.26,109.3,24.79,70.25,5.85,756.92,3.83,17834.77
89.33,49.87,107.86,23.16,69.92,5.86,669.49,4.36,20589.23
81.5,53.09,117.2,24.75,77.15,6.52,722.38,3.94,16135.27
88.85,46.86,102.18,26.73,73.64,6.01,678.69,4.1,19084.46
87.9,50.93,116.79,26.29,79.49,6.0,678.2,4.22,20347.45
91.84,53.21,107.59,26.85,73.57,6.08,749.32,3.91,18229.76
95.84,52.42,106.11,22.9,77.04,5.65,701.5,4.06,17131.76
93.52,51.7,104.26,23.77,77.15,5.23,681.28,3.71,15974.17
87.28,46.91,112.94,26.6,80.18,6.3,687.76,3.56,16678.39
85.93,54.53,111.22,24.74,76.43,5.62,671.01,4.03,18784.42
88.31,51.89,120.0,23.52,76.95,6.37,639.48,3.82,15249.48
91.26,48.1,111.92,25.39,72.38,6.11,738.71,4.25,21698.31
87.93,50.52,118.32,26.3,65.7,6.44,672.39,3.94,16258.13
84.2,53.67,114.35,22.69,80.88,6.1,715.71,4.37,15306.78
92.56,49.32,106.29,25.76,68.83,5.94,654.67,4.09,19863.7
87.41,47.48,108.58,24.22,74.9,6.39,713.21,3.94,21098.61
86.87,48.23,115.85,26.68,74.81,6.04,705.31,4.35,20772.15
89.08,51.66,113.04,26.77,68.97,5.56,757.66,3.84,16642.27
90.06,49.55,105.82,24.47,74.0,5.69,639.1,4.25,20666.71
88.16,49.2,110.45,22.99,75.07,6.48,669.68,3.98,20451.8
87.85,51.12,105.46,24.24,74.8,5.76,672.97,4.11,21919.97
89.87,50.89,118.25,22.7,77.55,6.09,697.39,3.99,21053.94
91.38,53.02,111.72,24.99,79.34,6.57,669.79,3.94,19305.45
86.59,53.51,108.66,26.42,79.75,5.92,649.87,3.99,17552.65
84.07,53.9,115.93,27.35,80.82,6.08,736.11,3.84,14563.87
89.96,48.9,103.39,25.5,73.18,6.48,727.39,3.74,20025.16
89.53,49.43,99.95,25.14,79.25,5.41,673.14,3.86,18032.37
95.95,48.09,100.42,24.25,75.41,6.22,682.66,3.66,17518.07
85.9,48.12,111.36,26.31,75.51,5.73,673.43,3.99,20124.84
94.46,48.35,110.41,21.64,73.43,6.02,680.85,4.27,17377.41
82.71,52.64,115.02,25.95,69.99,6.14,717.32,4.09,17707.78
96.66,49.8,112.88,23.94,73.54,5.33,686.95,3.87,16890.43
95.23,52.01,112.49,22.53,77.28,6.52,721.36,3.92,15597.56
91.1,49.64,111.66,25.13,78.5,5.95,705.44,3.8,27290.14
88.21,47.67,111.15,24.71,78.65,5.85,682.46,4.29,22221.03
99.54,48.46,119.52,24.01,80.23,5.76,718.94,4.01,15454.98
87.04,47.52,118.86,23.98,76.81,5.94,765.98,4.21,16641.96
91.14,50.73,101.04,26.62,73.45,6.03,699.99,4.28,21467.74
90.37,50.38,117.7,23.12,74.71,5.89,627.14,4.04,18169.55
95.79,53.91,112.1,25.73,79.84,5.79,700.21,4.09,18770.02
88.38,48.37,106.09,26.67,70.3,5.54,665.75,4.06,18093.69
86.36,47.77,100.84,23.95,79.33,5.39,706.39,4.08,16371.45
84.06,44.58,102.84,22.75,76.65,6.04,687.51,3.79,15373.0
84.89,47.51,105.18,27.65,72.55,6.03,712.8,3.94,17979.7
95.35,49.26,97.28,25.35,73.34,6.08,712.35,4.01,20348.11
90.37,52.68,109.43,23.23,77.06,6.03,778.29,4.25,17265.74
92.93,51.17,111.83,25.39,73.96,6.24,685.34,3.96,24255.56
86.16,52.02,125.5,24.82,67.74,5.67,740.1,4.24,14586.9
100.44,46.76,112.54,24.92,74.0,6.05,699.11,4.33,19209.27
86.36,49.71,104.77,25.97,71.79,6.33,657.67,3.88,18522.75
94.02,50.89,95.92,25.03,68.33,5.24,669.05,3.98,14285.3
92.25,48.43,110.54,22.62,70.88,6.31,709.46,4.2,18891.77
86.91,52.76,112.33,23.85,75.61,6.37,722.68,4.0,19930.81
88.63,43.45,110.5,25.44,74.71,5.48,742.91,4.08,16994.99
90.14,52.91,102.23,26.25,72.66,6.28,746.91,4.02,17707.68
89.79,51.02,113.53,27.57,77.54,6.13,692.55,3.98,22171.76
92.38,49.91,105.94,23.71,73.43,6.09,725.64,4.25,21160.33
89.07,47.74,111.37,27.75,77.0,5.67,698.86,3.89,19286.85
89.52,48.97,109.39,24.38,73.15,5.76,706.22,3.9,25685.56
104.35,49.2,107.42,28.16,71.36,6.14,762.16,4.02,12014.09
89.0,45.15,110.96,25.2,72.03,6.39,763.7,4.13,17193.8
90.8,50.5,121.31,24.54,76.17,5.82,690.05,4.19,21713.52
90.5,47.47,108.08,24.14,68.79,6.57,704.44,4.09,18696.27
92.51,51.39,109.11,24.85,82.11,6.28,676.43,4.39,19905.21
84.05,51.27,113.57,24.22,68.71,6.09,674.02,4.07,18582.33
97.94,54.98,112.1,24.92,77.1,6.07,710.82,3.78,18594.37
97.68,43.96,109.14,26.24,73.54,5.59,769.9,3.75,12542.19
83.78,52.46,105.81,24.21,74.9,6.17,704.41,3.91,20695.15
89.95,47.5,109.07,25.69,77.01,6.05,706.37,4.02,25750.84
