N,P,K,temperature,humidity,ph,rainfall,pesticide,yield
102.41,54.72,127.87,24.58,65.29,5.22,622.87,4.59,14037.0
102.32,55.84,134.52,24.94,69.74,5.42,626.35,4.57,15044.46
112.13,52.75,132.66,24.18,69.59,6.24,637.53,4.19,18465.68
109.11,57.27,126.4,24.6,70.36,5.87,614.76,4.58,20903.55
107.57,54.58,131.12,22.68,72.23,6.31,623.28,4.75,18142.75
119.13,57.65,127.82,23.78,71.68,5.87,584.94,4.29,16818.04
106.65,52.68,122.97,25.74,69.56,6.54,592.08,4.69,14919.27
104.6,54.54,139.98,24.44,64.94,5.79,575.98,4.08,14996.01
114.07,52.17,136.78,24.21,74.08,5.31,580.41,4.18,14018.53
107.23,46.16,129.51,26.15,69.6,5.46,602.8,4.82,12091.72
102.35,51.59,131.68,24.98,68.39,6.04,600.75,4.62,17849.35
108.62,51.42,128.34,23.25,71.56,6.18,576.94,4.31,17957.65
119.46,54.05,132.16,23.19,67.24,6.08,599.08,4.05,16813.64
108.72,52.99,123.59,22.24,73.01,5.98,551.94,4.18,14980.09
116.43,56.12,130.75,25.56,65.31,6.75,606.61,4.64,13791.74
107.72,51.72,122.12,24.87,67.76,5.97,635.95,4.69,15903.37
108.37,58.02,125.87,22.65,66.16,5.97,616.25,4.5,18135.89
115.93,57.96,130.98,23.57,63.82,6.08,580.28,4.54,16966.97
111.3,51.67,140.02,24.42,63.16,5.67,634.62,4.37,14103.37
107.69,56.24,135.1,23.53,67.89,5.95,601.31,4.92,20843.59
115.61,55.25,131.61,25.38,63.61,5.31,596.91,4.54,14833.33
116.74,54.15,131.8,26.08,70.94,5.87,614.65,4.43,16830.12
106.07,55.42,132.91,23.25,63.95,5.81,550.7,4.25,15505.01
107.62,50.15,117.27,22.88,71.1,6.16,584.89,4.95,14052.74
111.21,50.98,132.65,24.08,75.18,5.67,559.86,4.62,15900.84
114.58,51.0,135.06,24.16,64.98,6.14,582.05,4.46,16669.71
114.99,52.61,133.72,23.56,69.04,6.43,625.93,4.45,17153.22
118.63,55.4,134.26,22.92,62.85,6.13,632.7,4.4,14520.78
112.51,55.82,130.64,23.54,71.78,6.46,544.56,4.59,17579.46
111.74,59.25,128.48,23.1,69.51,6.34,630.24,4.63,16313.74
111.43,58.15,141.15,25.93,76.15,6.22,614.99,4.23,13418.57
108.18,54.39,134.11,23.62,70.37,6.51,597.67,4.51,20318.86
111.58,54.73,137.23,23.14,70.02,5.9,534.25,4.96,15862.75
105.44,56.61,137.9,23.22,70.42,5.92,584.59,4.17,17727.89
