N,P,K,temperature,humidity,ph,rainfall,pesticide,yield
84.98,38.95,97.6,22.91,79.86,6.81,1484.29,3.05,11107.83
85.24,43.79,99.46,26.06,82.63,5.96,1580.67,3.0,8555.54
84.7,39.33,96.06,25.75,85.61,5.7,1506.37,3.19,10088.57
86.54,37.43,98.27,24.2,80.6,6.14,1562.04,3.0,10455.02
85.44,38.68,96.54,25.63,82.14,6.03,1411.4,2.84,10562.02
80.5,42.93,89.08,25.54,78.2,6.58,1609.98,3.04,9167.52
87.58,43.33,95.15,23.09,84.09,6.63,1490.38,2.89,9683.15
80.95,42.54,92.66,24.73,86.57,6.24,1528.13,3.15,9673.92
85.28,36.93,96.2,22.12,87.49,6.88,1422.88,3.28,7489.61
84.25,41.29,100.65,23.48,72.15,6.01,1634.73,2.98,8201.35
87.83,37.99,88.26,23.31,87.55,6.5,1399.39,2.74,7821.81
88.26,36.83,100.76,25.78,75.47,6.37,1464.39,3.11,9349.76
81.72,42.6,95.53,23.94,85.2,6.49,1687.37,3.03,8477.76
78.19,38.92,91.2,27.06,83.52,6.11,1417.24,3.2,7489.91
89.8,41.19,98.98,25.93,74.49,6.68,1390.08,3.07,8776.52
86.68,41.4,92.38,22.98,81.08,6.49,1551.04,3.14,10749.23
92.55,40.11,99.91,23.92,80.08,6.43,1564.71,2.98,9665.18
82.38,40.91,91.52,25.76,82.68,6.73,1512.68,2.91,11623.34
86.04,38.48,105.21,24.98,78.4,6.91,1498.46,3.08,10409.36
86.56,38.58,97.76,26.36,76.3,6.78,1594.17,2.67,9139.84
91.89,41.01,102.64,25.51,85.33,6.47,1492.86,2.81,9627.49
88.29,40.26,97.33,26.02,80.21,6.35,1523.82,2.91,12007.66
89.08,41.14,91.99,25.61,81.1,6.46,1617.12,2.99,10508.68
85.66,35.41,96.73,24.53,81.45,6.27,1406.49,2.87,9395.35
83.0,41.43,84.52,24.01,76.7,6.83,1561.72,3.1,9003.95
88.1,40.32,88.66,26.11,79.42,6.65,1575.48,2.92,10200.02
85.53,40.8,96.17,25.85,74.0,5.59,1459.04,2.73,9061.76
88.15,38.08,97.66,24.89,84.94,6.66,1417.73,2.95,10462.97
84.04,41.87,86.43,26.21,76.73,7.15,1591.52,2.89,7993.13
82.21,41.45,97.75,25.84,77.43,6.5,1548.91,3.12,11279.18
