N,P,K,temperature,humidity,ph,rainfall,pesticide,yield
57.8,35.59,77.66,20.08,63.24,6.23,638.53,4.06,12330.81
62.26,34.08,70.93,20.86,67.4,5.92,644.97,3.79,9224.87
64.89,34.79,76.84,19.62,61.61,5.57,637.87,4.33,9101.14
55.19,36.8,76.2,20.02,66.4,6.45,600.26,3.94,10589.61
60.99,36.42,83.6,20.46,73.02,5.48,569.17,3.6,8806.5
60.36,34.14,81.58,21.54,65.63,6.02,556.52,3.87,11669.99
61.36,37.03,73.95,18.81,64.16,5.75,621.89,3.98,10369.9
59.67,35.65,81.98,20.24,59.52,5.58,617.47,4.11,12261.98
57.33,35.54,80.91,20.29,66.48,5.95,628.6,3.92,12994.44
59.83,34.09,77.86,20.34,62.93,6.39,636.16,4.21,12054.02
57.9,33.81,75.7,19.21,63.9,6.1,604.76,3.88,12740.34
65.27,36.28,75.14,19.0,66.46,5.79,583.36,3.8,9496.04
62.43,32.03,71.58,18.53,69.48,6.42,592.47,4.21,7949.15
58.05,37.42,85.73,18.65,67.97,6.04,644.47,3.81,8971.56
62.69,33.73,78.91,18.48,66.0,5.7,602.75,3.75,10891.16
54.85,35.18,82.0,20.26,65.03,6.24,577.4,3.75,11263.32
58.89,33.96,82.45,18.57,61.37,5.86,546.82,3.96,10350.72
60.69,36.08,82.93,18.7,57.14,5.99,628.91,4.3,10291.63
63.13,33.21,83.05,20.71,66.11,5.81,594.23,3.9,11613.11
62.19,36.81,80.52,20.95,68.27,6.25,616.52,4.03,11353.41
62.07,35.02,78.25,21.39,65.09,5.85,641.94,3.85,11323.53
59.15,31.68,81.9,19.47,66.66,6.37,553.18,3.9,9906.36
57.81,35.73,80.08,19.7,71.74,6.01,572.05,4.05,12005.9
54.72,35.06,83.58,21.52,64.74,6.32,594.13,3.59,9200.45
66.89,37.5,79.2,18.41,65.07,6.12,620.54,3.7,8574.19
56.75,34.34,86.74,20.92,64.22,5.51,544.99,4.17,8731.43
56.58,34.55,77.9,20.08,63.7,6.47,552.17,4.06,10777.74
61.92,32.7,79.29,19.12,68.41,6.09,617.69,3.67,10931.0
56.47,35.1,78.16,19.6,68.35,6.14,620.01,4.1,12076.57
60.09,34.83,81.36,18.59,60.34,5.52,584.13,3.91,11570.82
59.91,35.73,75.0,20.25,62.26,5.44,533.6,4.13,9936.7
61.57,34.17,81.42,21.82,68.15,5.94,601.07,3.82,12343.03
59.39,34.33,80.54,21.27,70.27,6.15,611.67,4.11,13074.62
57.35,34.95,73.08,19.1,72.45,5.86,612.18,3.87,10234.91
63.12,34.9,78.51,18.65,67.59,6.67,632.12,4.33,8968.31
60.33,34.84,83.14,19.39,63.59,6.2,607.74,3.74,13861.84
61.11,34.24,74.84,18.36,67.71,6.05,641.21,3.96,10329.21
65.27,34.23,81.43,20.08,65.14,5.71,564.9,3.6,10400.98
60.62,36.18,77.53,19.73,68.74,5.72,611.93,3.99,13117.65
60.02,34.92,75.39,19.62,69.05,5.75,638.55,3.83,11745.58
66.03,33.49,78.76,20.77,71.79,5.94,667.85,3.72,7575.4
59.48,34.57,82.64,19.56,63.25,5.74,619.85,4.17,13338.1
62.7,31.79,84.97,18.74,59.23,6.32,635.17,3.71,7742.36
63.42,37.28,81.41,20.85,64.22,5.84,588.65,4.08,11577.03
62.26,32.15,76.79,19.22,58.35,5.92,587.64,4.26,9790.57
53.18,36.06,77.33,18.89,66.66,6.38,567.89,4.01,8964.08
53.88,40.26,81.25,20.42,70.08,5.93,632.85,3.94,7967.8
58.77,34.11,82.03,19.62,67.34,6.14,543.86,4.33,11336.79
58.99,31.01,76.9,20.24,67.85,5.79,590.96,4.44,10151.22
59.34,35.36,73.39,18.8,68.72,5.65,585.68,4.2,10312.02
62.3,35.11,83.06,18.94,64.36,5.97,588.49,3.8,12947.29
56.48,34.83,84.17,19.11,63.15,5.33,560.06,4.12,9158.56
65.84,32.47,77.19,22.02,67.8,5.65,625.54,4.16,7559.46
62.92,36.83,81.76,21.65,65.84,5.93,628.01,4.06,10395.84
55.8,34.78,76.7,18.57,63.14,5.87,627.05,3.81,9946.42
58.7,35.05,80.95,19.39,68.24,6.32,615.71,4.21,12926.21
60.08,40.29,72.88,20.86,62.92,5.81,567.93,3.88,8568.14
61.78,33.08,87.11,18.67,58.52,6.07,609.44,4.07,9859.17
55.7,37.25,76.45,20.81,63.18,5.46,602.83,3.87,9213.84
66.19,33.85,88.39,20.07,60.53,6.34,607.86,3.88,8863.03
61.38,37.0,76.97,18.72,69.04,6.01,597.12,3.63,11255.95
58.88,32.96,81.22,19.65,63.9,6.09,590.06,3.96,13860.74
61.95,32.65,78.7,20.38,62.74,6.48,581.48,4.28,10305.64
56.8,35.6,82.55,20.11,63.96,5.72,566.08,3.8,11638.43
61.09,32.68,82.6,21.5,67.55,6.3,609.79,3.65,9731.05
57.24,35.06,78.29,20.34,65.61,6.16,555.8,3.71,11488.54
60.21,34.63,83.78,19.5,62.08,6.02,612.27,3.8,13917.98
61.15,32.27,79.89,22.8,60.43,6.25,588.67,3.92,9150.78
63.45,32.89,88.91,20.87,67.98,6.43,618.64,4.14,8463.31
61.73,35.86,85.98,19.62,65.25,5.6,612.08,3.83,11552.91
61.89,37.77,78.67,23.55,65.24,5.87,656.25,3.6,7325.46
56.38,35.67,84.25,18.85,65.9,5.51,643.24,4.11,9288.37
58.94,34.11,84.46,19.95,63.57,6.48,588.59,3.86,12117.24
57.66,33.9,87.22,19.66,60.36,5.9,571.68,4.33,9987.61
58.12,37.43,72.89,19.35,58.9,6.39,648.38,4.21,8022.43
55.57,31.97,77.82,20.19,63.88,6.37,621.37,4.23,9821.55
62.59,32.21,83.99,19.33,67.92,6.04,572.17,4.13,10344.8
60.85,33.51,80.32,19.92,65.13,5.8,633.68,3.62,12611.22
59.19,34.23,72.65,19.83,68.48,5.73,578.14,3.79,11183.15
60.38,35.26,78.68,19.75,65.84,6.05,587.94,4.07,16140.83
58.34,34.9,82.74,20.13,63.59,5.96,622.36,3.65,13391.54
56.46,31.85,82.35,21.99,60.39,5.84,590.3,4.22,8697.55
64.09,35.93,77.53,19.51,67.36,6.25,556.49,3.7,9864.11
59.01,35.75,78.91,20.74,64.72,6.36,594.84,3.84,13223.74
55.34,34.64,77.74,20.63,67.34,6.19,624.09,4.33,10559.97
61.42,35.84,79.09,18.42,68.23,5.69,619.54,3.93,11244.05
58.35,34.12,83.29,17.34,69.18,5.92,591.15,3.91,10590.01
64.55,35.65,80.38,19.24,67.03,5.71,604.12,4.16,11377.76
59.02,34.87,81.33,19.16,56.4,6.01,548.89,4.01,11358.05
59.05,35.41,81.72,19.62,65.0,6.5,561.98,3.78,12246.18
60.71,34.22,81.28,19.98,64.55,6.04,563.19,4.17,14209.13
58.32,35.82,79.54,18.27,62.49,6.12,578.13,4.03,11743.01
60.3,32.12,83.8,19.51,63.69,5.98,576.11,3.75,11174.78
59.95,38.46,83.4,20.7,72.61,6.08,608.57,3.81,10303.15
61.2,35.58,82.31,21.68,61.69,6.39,563.76,4.15,10345.06
62.25,35.12,80.87,18.55,67.2,5.75,596.03,4.16,12196.41
56.64,38.5,82.43,20.23,65.19,5.92,612.72,4.25,11169.49
56.57,35.68,72.86,20.43,59.43,5.93,579.66,3.74,9940.34
58.89,33.31,78.71,18.87,68.48,6.24,610.19,4.01,11882.92
61.95,35.66,80.6,21.96,67.24,6.37,632.43,3.99,10575.84
62.97,31.13,81.08,19.45,59.72,6.18,575.5,4.19,9273.0
62.9,32.66,84.84,20.62,67.34,6.11,601.58,4.13,11523.85
