N,P,K,temperature,humidity,ph,rainfall,pesticide,yield
152.45,61.99,121.36,22.0,69.52,6.2,695.48,3.45,11354.65
138.49,59.77,119.68,21.68,68.64,6.12,635.68,3.52,8490.18
152.13,59.46,111.61,21.36,67.91,6.33,666.35,3.84,8122.03
147.77,61.05,115.74,21.99,69.3,5.74,684.2,3.45,11026.94
142.33,61.29,119.64,21.21,70.19,6.36,717.27,3.33,8681.35
144.52,57.6,116.03,22.42,67.39,6.39,671.23,3.46,8696.68
147.16,62.01,128.29,21.33,66.89,5.95,760.47,3.36,7828.0
136.17,58.91,110.34,22.87,66.4,5.79,682.88,3.38,7272.28
146.9,65.54,111.06,21.68,67.29,5.59,693.88,3.85,7116.54
130.44,60.63,117.06,22.32,75.73,5.64,693.87,3.78,6742.52
153.27,59.19,120.06,20.6,75.13,5.97,743.37,3.44,8960.18
152.88,59.3,114.48,21.8,73.0,5.75,606.39,3.52,8005.71
149.31,59.33,116.42,22.48,68.49,5.95,725.39,3.4,10773.14
143.65,65.38,117.56,21.75,65.1,6.15,733.55,3.54,7682.83
155.01,59.61,119.46,24.29,70.33,6.1,675.23,3.66,8813.97
156.08,58.86,121.06,21.38,68.5,5.84,719.67,3.51,10020.76
150.7,57.24,123.09,22.83,67.44,6.24,752.72,3.11,7655.32
150.61,60.24,121.39,22.13,65.2,5.99,637.07,3.34,9725.28
139.41,59.46,128.02,22.74,67.19,6.33,695.17,3.51,8044.64
145.77,59.11,122.44,21.62,64.8,5.9,688.72,3.68,10009.76
152.55,63.73,119.79,21.24,74.64,5.97,696.05,3.5,10091.61
142.26,63.88,116.47,22.11,70.38,5.6,711.62,3.27,8326.65
148.31,57.58,112.18,22.05,64.22,6.29,724.0,3.35,8166.07
164.54,57.5,122.35,20.43,77.69,6.3,734.91,3.54,6214.75
151.33,62.62,112.34,24.02,67.03,6.21,708.11,3.57,8023.44
157.8,57.52,121.85,23.47,66.97,6.14,731.85,3.24,7482.14
146.02,58.34,114.58,21.22,70.53,5.96,679.33,3.32,9454.1
148.92,60.91,130.99,22.16,73.78,5.82,714.73,3.41,9163.1
141.22,65.68,128.68,22.45,69.06,6.17,743.76,3.4,7083.1
144.73,63.3,116.86,21.88,68.29,5.87,695.51,3.42,10121.83
144.34,56.02,115.27,22.83,64.77,5.48,675.37,3.56,7070.71
146.72,53.63,107.67,23.43,70.07,6.07,737.28,3.41,6765.2
131.33,57.54,107.4,21.56,71.64,6.03,721.03,3.46,7073.79
149.97,62.5,123.72,23.19,75.58,6.54,737.16,3.25,7092.06
139.37,57.09,105.54,22.97,80.56,5.98,746.17,3.23,5390.06
151.98,56.78,123.19,23.13,68.55,6.15,698.38,3.61,9386.89
132.84,57.95,113.43,22.61,59.94,5.82,707.99,3.41,6451.29
141.32,58.45,129.8,23.14,71.42,5.86,716.25,3.66,7904.31
140.68,56.73,112.77,23.72,69.38,5.75,746.21,3.4,6640.84
151.62,62.33,110.76,22.69,70.88,5.82,694.7,3.58,9278.52
144.03,62.8,127.31,23.74,65.52,5.62,723.4,3.49,7148.44
137.47,59.72,125.33,22.9,70.34,5.77,690.34,3.75,8083.92
157.5,60.54,117.39,23.11,74.73,5.7,710.11,3.59,8353.32
151.84,62.72,119.36,20.9,66.82,5.71,687.02,3.52,9214.88
137.79,58.52,120.39,21.01,65.25,5.96,732.43,3.6,7748.3
156.7,54.92,123.25,23.83,70.15,6.22,704.01,3.51,7743.42
142.4,57.57,115.13,22.7,67.49,6.02,729.17,3.33,8489.5
163.75,58.54,117.8,21.73,75.56,6.15,644.89,3.49,7242.26
164.99,60.13,116.9,22.99,68.12,5.8,736.92,3.33,7358.86
153.1,61.94,118.99,24.0,68.0,6.42,729.37,3.55,8101.72
146.81,60.15,116.24,21.82,70.19,6.69,683.35,3.19,8958.97
161.6,61.41,127.58,20.83,64.58,6.14,774.04,3.76,5965.26
140.6,60.3,115.81,21.6,64.31,6.26,731.48,3.27,7717.93
160.7,64.69,132.83,21.67,68.7,6.31,714.18,3.24,7014.25
143.12,62.93,124.95,22.84,66.33,6.42,743.29,3.45,7400.48
142.79,56.62,116.61,20.64,66.07,6.06,671.55,3.45,7890.13
150.63,59.98,122.11,22.22,66.45,6.0,687.51,3.29,11462.91
141.56,61.32,120.42,22.15,70.9,6.28,666.88,3.61,9241.94
150.89,57.33,113.55,23.01,69.22,5.99,684.04,3.59,9623.56
152.71,63.52,124.0,21.9,71.02,5.87,732.62,3.43,9612.36
164.38,58.17,117.58,22.48,69.12,5.7,718.78,3.51,8316.19
140.64,63.57,120.78,21.74,66.51,6.24,634.91,3.97,6604.78
143.59,57.67,131.18,22.37,71.31,5.85,694.71,3.45,8893.54
136.24,58.31,118.72,20.34,69.47,5.91,669.81,3.8,7174.14
152.32,59.15,126.32,24.41,67.32,6.24,695.85,3.64,8181.71
144.01,57.98,122.06,23.59,70.55,5.65,694.63,3.51,8556.02
136.89,56.77,117.2,23.79,63.58,5.85,727.64,3.5,6694.69
161.63,56.73,127.32,23.94,72.19,6.27,680.29,3.42,6747.93
163.68,54.28,121.13,21.68,69.93,6.14,703.27,3.6,8230.33
161.0,63.28,129.36,22.4,65.2,5.17,666.8,3.48,5971.46
144.55,61.46,123.53,23.3,68.43,6.06,721.07,3.68,8955.67
146.41,60.12,126.13,21.63,71.75,5.36,690.04,3.61,8826.92
141.39,65.39,113.37,22.13,74.77,6.49,669.96,3.36,6550.28
144.64,65.04,122.62,20.31,72.19,5.45,652.54,3.58,6316.51
148.09,64.41,129.64,21.58,67.11,6.01,723.61,3.01,7675.13
160.94,58.86,119.87,21.89,72.21,5.44,643.04,3.66,7390.14
136.18,59.99,119.22,21.21,63.16,6.16,692.53,3.55,8267.89
158.84,59.54,119.58,21.34,71.86,5.93,678.02,3.49,9709.64
135.67,61.13,124.75,21.67,65.74,5.99,742.89,3.45,7576.96
152.96,55.14,114.05,22.01,71.44,6.08,700.54,3.56,9817.85
142.91,62.26,115.99,19.46,66.93,6.72,729.67,3.51,6234.32
167.16,62.21,127.39,22.1,65.56,6.26,723.36,3.72,6662.74
149.34,60.79,122.16,19.72,69.97,6.48,734.16,3.32,8037.76
152.38,62.56,126.05,21.82,61.04,6.03,676.08,3.31,8296.08
140.28,61.17,118.12,22.98,70.02,6.32,732.22,3.48,8368.96
149.47,52.02,116.85,21.49,75.24,6.36,671.24,3.54,7136.76
155.56,59.0,114.87,20.9,78.61,6.42,664.29,3.46,7137.38
150.77,64.8,109.74,22.29,66.7,6.03,699.98,3.31,8765.43
156.54,64.29,117.24,21.76,69.51,5.77,667.69,3.1,7937.69
148.77,61.67,113.62,23.31,72.0,6.13,751.08,3.16,7526.88
