N,P,K,temperature,humidity,ph,rainfall,pesticide,yield
107.01,52.9,102.06,18.21,58.9,7.1,430.61,2.46,6929.45
124.26,49.19,98.53,17.36,63.31,6.06,509.51,2.38,11885.02
120.48,49.35,105.51,19.33,67.59,5.92,487.45,2.32,10130.4
123.68,48.57,102.25,18.63,67.11,6.52,503.05,2.44,14199.61
128.82,51.58,107.3,18.28,63.37,6.67,513.42,2.6,10851.45
115.79,52.05,98.24,16.78,61.56,6.58,455.26,2.56,9893.72
117.13,48.73,101.28,18.04,60.58,6.78,524.08,2.62,12042.91
122.97,53.58,101.84,19.4,58.09,6.19,516.35,2.62,9219.67
127.25,51.59,105.13,17.73,68.23,6.09,541.56,2.5,9642.27
127.77,49.17,104.11,18.65,66.65,6.59,521.13,2.49,11415.56
129.37,55.37,92.6,19.5,64.34,6.15,483.95,2.6,7941.37
119.92,54.34,108.91,16.31,62.34,6.51,548.7,2.48,8205.76
110.58,52.04,101.05,18.15,65.53,6.6,482.96,2.56,12094.4
125.67,48.42,108.58,17.54,65.69,6.72,531.07,2.48,10616.46
113.54,50.37,97.5,18.51,59.64,6.51,491.03,2.48,12531.06
115.09,47.57,95.01,18.33,65.54,6.07,486.68,2.34,11210.66
124.48,52.31,95.08,16.7,67.88,6.53,468.08,2.47,10309.68
118.78,44.86,98.04,17.46,65.22,6.85,503.24,2.66,11007.45
119.42,51.15,89.25,16.35,56.71,6.22,502.14,2.39,9061.33
107.91,49.89,100.6,18.81,62.26,6.2,514.53,2.5,10692.22
124.73,50.02,94.1,18.16,66.8,6.38,526.68,2.5,12610.51
113.31,45.84,101.61,19.48,69.7,6.06,467.1,2.59,8101.36
125.65,53.58,96.3,19.66,63.34,6.54,475.59,2.72,9058.29
112.6,51.43,102.3,18.31,65.61,6.26,492.99,2.52,12699.13
125.67,45.2,100.24,17.61,67.29,6.78,503.33,2.34,10727.61
120.14,50.95,109.55,17.97,63.17,6.07,512.92,2.51,11909.47
126.54,55.35,93.77,16.33,63.68,6.69,490.34,2.38,8622.89
114.77,55.49,100.95,19.63,62.75,6.08,500.71,2.52,8920.53
112.69,47.31,108.11,18.92,64.02,6.91,459.29,2.62,8403.62
112.74,47.76,95.85,18.3,70.0,6.82,506.29,2.59,10477.0
128.88,45.91,100.52,19.06,65.73,6.85,483.22,2.62,9316.42
126.01,50.36,88.34,16.83,62.11,6.67,523.8,2.22,8598.49
114.31,48.66,100.13,17.64,65.05,6.58,553.41,2.37,11008.32
126.31,49.57,99.75,18.03,61.75,6.89,474.27,2.61,11565.24
120.45,53.86,101.12,19.0,68.31,7.12,508.28,2.53,10294.45
125.8,49.33,96.74,18.43,65.64,6.78,537.15,2.59,11108.11
108.78,46.57,102.6,18.88,67.73,6.55,501.19,2.5,10895.54
110.52,51.68,94.82,17.89,63.57,6.78,484.64,2.4,10781.91
124.51,50.73,102.48,16.48,70.95,6.22,474.74,2.7,9560.18
118.36,49.1,101.69,18.32,66.77,6.64,473.47,2.28,12869.29
118.21,46.24,99.56,17.41,65.54,6.83,499.98,2.4,12301.77
114.3,47.88,97.59,19.2,63.48,6.75,508.08,2.47,11320.3
114.86,50.6,98.56,17.66,59.58,6.51,456.35,2.3,10429.2
131.64,54.13,101.92,19.11,66.91,6.72,550.49,2.69,7331.19
109.83,48.24,105.89,19.22,66.16,6.38,516.9,2.37,9508.75
129.75,48.0,105.25,18.96,72.3,6.72,518.35,2.64,8568.52
124.63,50.88,101.17,18.37,65.97,6.84,500.58,2.72,12714.46
127.41,46.35,93.59,16.76,61.99,6.57,502.92,2.57,10270.1
113.44,48.31,98.01,17.41,62.95,6.14,483.98,2.47,11314.44
116.58,58.12,98.16,17.84,62.5,6.37,490.12,2.57,10368.33
128.5,49.4,102.65,17.62,69.93,6.3,457.83,2.68,9259.03
119.44,45.87,90.94,16.84,70.64,6.47,482.06,2.57,9342.51
125.36,54.08,99.62,18.96,65.84,6.21,560.49,2.57,8758.95
122.68,53.88,102.65,18.31,65.59,6.2,508.49,2.6,12030.2
109.14,50.23,98.22,18.12,66.04,6.5,510.97,2.76,12079.25
114.09,46.86,98.31,17.45,64.12,6.54,511.41,2.23,11199.39
136.29,50.33,103.64,17.44,65.58,6.48,524.33,2.56,10000.46
119.68,49.82,97.53,17.51,65.44,6.35,525.91,2.46,14478.95
112.98,50.94,112.05,18.45,68.37,6.53,496.27,2.53,11042.69
