N,P,K,temperature,humidity,ph,rainfall,pesticide,yield
23.54,19.05,32.13,28.23,70.46,6.15,504.16,2.03,1846.27
25.42,18.1,29.97,27.38,70.28,5.94,519.92,2.08,1804.78
25.08,20.0,29.97,30.26,65.51,6.12,499.23,2.14,2027.55
25.91,21.48,32.93,27.88,74.7,5.73,499.26,1.99,1553.32
24.05,19.51,31.61,25.74,67.62,5.98,499.73,1.88,1730.56
26.23,20.61,31.37,29.1,74.46,5.46,501.57,1.94,1537.13
23.91,19.96,28.11,28.62,70.03,6.41,482.46,1.93,1689.61
24.16,21.38,30.96,25.09,73.33,6.49,480.63,2.0,1311.33
25.7,18.12,32.3,27.52,73.77,5.88,527.87,1.91,1402.57
24.85,20.65,29.91,26.86,72.4,6.49,500.46,1.94,1885.13
25.44,20.53,29.06,25.64,75.93,6.18,481.08,2.03,1637.11
24.84,18.76,31.89,25.81,65.16,6.44,510.79,2.23,1297.08
25.69,20.51,30.21,25.87,65.24,6.58,514.87,2.04,1523.75
26.26,18.24,28.94,28.74,67.71,5.71,478.35,2.08,1508.94
25.06,21.42,30.49,30.99,66.33,6.55,531.36,1.9,1281.56
27.12,18.43,30.36,30.16,70.05,5.65,512.31,1.83,1267.27
26.17,20.4,30.6,29.11,74.54,5.78,509.44,2.17,1666.94
23.17,20.43,30.47,28.8,70.64,6.23,517.83,1.97,1758.38
23.66,20.23,28.44,28.39,69.78,6.07,478.3,2.09,1846.12
23.27,19.81,30.46,26.96,67.73,5.85,479.62,1.96,1743.31
26.19,20.19,30.04,28.8,71.32,6.39,493.21,1.88,1825.1
23.66,18.94,30.04,28.07,65.52,5.61,524.71,2.0,1636.34
24.39,18.91,27.24,28.18,66.29,5.83,518.96,2.06,1580.8
23.78,20.54,32.95,27.68,73.68,5.87,457.07,2.0,1476.45
25.07,19.21,27.76,25.55,75.66,5.96,514.51,1.86,1498.92
25.69,19.72,30.94,28.32,69.22,6.28,504.34,2.25,1933.04
26.56,20.34,29.12,29.3,68.76,5.41,514.51,1.9,1459.97
24.23,20.31,32.17,27.99,74.58,5.71,467.79,2.27,1442.28
25.15,20.67,30.73,27.89,73.1,5.99,480.88,2.04,2078.9
27.09,19.82,29.22,26.91,62.77,6.71,471.39,1.76,1106.58
26.74,20.97,30.5,28.07,76.22,6.24,478.26,1.92,1534.27
25.88,21.49,30.34,26.79,77.15,5.81,545.38,2.08,1313.41
26.24,19.68,31.11,28.32,70.78,5.68,532.67,2.02,1765.54
24.62,20.79,31.26,29.33,75.32,5.87,537.68,1.88,1501.04
25.21,20.97,32.54,30.89,69.25,6.2,454.46,2.09,1263.38
23.31,21.11,30.92,28.13,73.2,5.86,465.88,1.96,1560.14
27.46,18.02,29.37,27.89,70.29,6.2,471.31,1.98,1466.92
25.3,20.48,29.24,25.87,72.24,5.81,499.61,1.89,1864.48
24.75,18.65,30.78,24.9,61.69,5.78,470.67,1.94,1292.21
25.83,22.57,28.11,28.15,75.57,5.52,519.66,1.94,1239.75
25.15,18.47,29.11,29.66,68.94,5.55,484.59,2.04,1546.98
23.33,20.39,28.5,25.89,68.61,5.97,542.76,1.95,1389.93
26.27,20.4,30.27,26.08,71.18,5.94,566.97,2.12,1361.41
24.51,20.71,30.96,27.0,72.65,6.14,495.79,1.99,2032.88
25.38,20.33,31.19,26.76,70.5,6.15,547.92,1.89,1650.09
26.1,21.15,30.21,26.49,71.45,6.8,519.63,1.98,1411.1
