N,P,K,temperature,humidity,ph,rainfall,pesticide,yield
72.48,40.5,87.55,13.33,71.61,5.94,1127.47,2.99,13184.18
64.38,36.63,94.04,15.04,77.27,5.78,1068.98,3.09,10859.75
67.21,39.23,96.97,16.21,76.73,6.19,1258.89,2.9,12068.4
72.71,39.08,83.78,13.9,71.03,6.61,1223.56,3.11,11378.99
66.57,40.29,99.65,15.43,72.04,6.01,1270.42,2.84,12630.93
76.76,39.68,78.84,14.58,74.84,5.79,1189.91,2.84,12287.99
70.37,36.98,82.25,13.45,68.14,6.49,1184.49,2.91,9991.67
71.18,42.28,95.08,16.32,77.65,6.39,1139.99,2.87,11253.35
77.92,43.59,87.41,15.98,70.21,5.77,1186.44,2.94,10534.39
72.2,42.1,84.64,14.33,73.13,6.51,1223.09,2.98,12915.94
75.87,42.61,97.21,13.36,73.83,6.22,1207.81,2.99,11045.07
67.79,43.29,95.2,15.06,82.74,6.12,1142.03,3.12,12258.13
69.71,39.92,83.77,13.19,75.39,5.78,1284.09,3.37,11311.9
75.18,40.95,97.44,14.14,72.31,5.74,1262.99,2.92,11385.54
73.77,40.63,77.39,14.93,73.82,5.89,1170.24,2.68,12717.72
67.42,37.53,94.68,16.09,75.86,5.82,1319.88,3.04,11379.15
74.73,41.66,97.21,15.1,74.73,6.17,1263.07,3.09,13594.02
73.9,39.33,82.29,15.63,76.19,6.15,1261.6,2.92,12699.85
67.57,42.78,85.36,14.92,75.89,5.79,1255.47,3.1,14422.42
69.58,40.96,103.37,15.74,82.46,5.59,1142.38,3.05,10610.06
75.78,41.51,93.88,13.85,69.35,5.91,1161.29,2.97,11722.48
69.27,43.39,88.39,15.06,76.9,5.72,1127.46,3.05,14065.74
68.77,41.84,83.89,15.92,76.17,6.3,1308.82,2.86,11351.59
68.5,39.39,90.66,15.13,73.52,5.9,1216.4,2.73,18574.21
72.72,41.65,87.77,13.97,73.63,5.82,1164.09,3.03,14295.86
75.75,41.6,90.26,15.47,74.51,6.22,1119.08,3.13,12684.15
63.9,38.36,83.65,15.38,75.77,6.33,1172.18,2.76,11795.39
69.97,41.33,90.04,15.07,79.09,6.52,1264.22,2.95,15454.55
75.46,41.1,91.68,14.83,78.25,6.0,1287.44,2.88,13185.89
71.81,41.47,90.42,14.91,71.16,5.94,1256.13,2.99,16753.51
67.89,40.78,92.06,16.44,74.55,6.15,1203.1,3.22,14607.53
61.58,45.52,91.78,15.82,75.14,5.95,1145.32,2.97,10387.17
73.58,42.13,92.0,14.97,77.28,5.78,1139.69,3.18,13795.98
73.01,39.76,86.45,15.22,71.91,5.78,1153.92,2.95,15422.26
74.92,38.16,92.08,14.44,73.14,5.63,1218.15,3.01,13541.14
70.87,44.03,92.2,14.81,81.32,6.19,1270.68,3.16,12034.0
67.98,41.07,102.49,14.87,76.93,5.77,1191.17,2.83,13449.48
66.86,38.3,91.46,15.73,74.67,6.03,1283.28,2.86,13786.29
71.53,39.63,89.19,14.4,73.85,6.07,1230.33,2.88,17752.51
70.14,39.2,89.88,16.65,73.48,5.87,1158.57,3.23,14950.79
65.32,36.84,88.71,15.57,74.28,6.45,1244.01,2.84,11746.8
73.12,41.24,99.91,14.98,80.86,6.14,1168.47,2.98,13189.09
64.33,41.31,93.21,14.55,81.55,6.18,1139.3,2.92,11849.41
75.82,40.04,87.18,14.85,80.05,6.61,1195.38,2.91,12254.41
68.77,38.69,86.46,15.06,76.04,6.02,1192.48,2.71,17950.19
76.94,39.93,97.22,15.68,77.28,5.6,1222.01,2.82,11197.58
70.73,37.96,89.44,15.56,69.03,6.22,1277.78,2.69,12693.8
67.0,41.14,86.03,13.25,75.0,5.69,1246.23,3.04,12444.82
71.67,35.24,100.6,15.42,74.75,6.43,1254.39,2.73,9929.62
65.72,36.21,94.64,16.0,73.11,5.72,1164.27,3.06,11475.23
67.18,37.7,82.51,16.34,72.55,5.92,1203.89,3.17,12476.14
72.9,39.67,86.04,15.68,74.57,5.95,1288.21,2.91,14167.08
74.37,39.24,84.94,15.1,74.91,5.91,1132.83,2.81,14204.9
71.24,43.27,80.17,14.92,80.66,6.74,1177.7,3.15,10170.83
74.63,44.96,90.87,14.74,68.67,5.94,1121.17,3.06,10978.05
68.3,39.69,94.8,15.6,72.5,6.22,1145.61,2.89,14392.77
