N,P,K,temperature,humidity,ph,rainfall,pesticide,yield
115.54,47.15,127.91,17.6,70.3,6.59,615.57,2.76,21253.32
112.87,50.89,109.65,17.25,65.1,6.68,614.26,3.07,18451.61
113.19,52.64,120.34,17.76,67.91,6.92,590.76,3.1,20075.44
106.99,52.8,112.99,16.85,73.03,6.81,598.3,2.76,18802.38
111.15,50.34,119.44,19.84,69.31,6.48,669.7,2.53,17951.19
105.88,48.0,118.36,18.7,68.05,7.06,660.05,3.09,15711.7
113.53,52.64,120.44,15.32,70.77,5.97,601.16,2.72,16038.08
102.0,46.02,118.07,17.9,65.89,6.45,621.24,2.88,18512.86
102.67,49.43,128.56,17.62,69.24,6.8,588.66,2.83,19774.44
105.76,53.75,120.73,17.65,71.87,6.77,603.38,3.05,19626.35
114.15,42.34,118.59,19.27,73.6,6.55,597.88,2.66,16589.36
113.13,49.32,121.54,18.83,64.41,6.54,616.54,2.64,21385.24
108.2,51.4,109.38,17.15,69.87,6.93,572.25,2.9,17883.93
107.16,48.98,124.95,18.81,71.03,6.78,605.51,2.6,21288.74
108.9,46.69,105.72,18.22,69.97,6.83,599.91,2.73,19627.92
108.76,49.48,119.68,19.44,69.96,7.03,601.81,3.02,20784.19
104.63,51.6,124.44,20.18,74.65,6.92,553.2,2.57,13496.75
118.14,50.92,119.23,17.02,59.42,6.95,581.49,2.75,15639.08
117.93,50.22,120.82,17.73,66.43,6.27,563.5,2.99,18590.35
105.84,52.91,116.92,17.08,71.94,7.04,585.72,2.91,17756.96
116.29,47.16,124.35,18.33,71.57,6.73,594.51,2.79,21215.82
113.95,48.78,114.94,18.56,63.14,6.4,626.66,2.83,19422.64
117.16,54.23,133.09,18.03,75.56,5.84,657.42,2.68,12472.08
107.6,49.15,120.69,17.73,72.9,6.62,552.47,2.9,21564.88
106.07,49.46,116.7,17.06,81.21,6.07,593.02,2.73,17211.88
98.08,47.3,122.85,18.99,69.34,6.45,585.24,2.87,17761.72
107.45,53.15,122.45,18.41,71.37,6.63,634.36,3.1,18965.27
118.46,48.83,121.2,17.16,71.76,6.05,598.01,2.94,18316.99
106.51,48.19,126.28,18.49,65.38,6.98,651.37,2.63,16310.98
106.74,48.15,126.6,17.67,63.86,6.21,594.76,2.69,19485.83
108.5,52.15,116.55,17.59,66.73,6.98,637.17,2.92,18995.27
106.82,52.41,128.87,18.59,69.99,6.88,625.42,2.94,18355.3
102.12,47.02,117.38,18.0,67.46,6.36,629.79,3.06,17918.39
113.25,52.75,113.84,19.75,66.16,6.56,557.89,2.86,15994.2
115.12,54.49,122.59,17.53,72.56,6.48,614.26,2.75,19736.22
117.26,51.22,118.2,18.13,71.67,6.73,625.53,2.74,21110.83
115.54,48.0,127.99,17.06,74.64,6.16,597.33,2.89,17684.1
106.41,51.69,117.65,17.81,71.87,6.69,615.05,2.84,23470.8
103.23,48.38,121.44,18.19,60.99,6.0,591.84,2.49,15984.86
112.12,46.45,114.31,17.45,72.4,5.89,607.16,2.78,18284.6
110.83,53.57,122.59,19.06,72.52,6.09,590.34,2.66,18605.32
101.14,50.6,122.83,17.19,62.95,6.35,574.81,2.91,17228.88
109.22,48.99,112.63,18.52,68.02,6.43,609.94,2.56,22189.65
102.13,49.21,126.74,18.5,74.12,6.67,614.24,2.89,19009.83
112.22,52.62,118.26,19.32,70.51,6.22,584.07,2.84,20071.69
110.53,46.08,112.64,17.51,69.53,6.74,550.47,2.81,18085.68
103.54,52.21,125.93,19.17,72.15,6.51,601.65,2.71,20040.89
110.88,49.2,122.87,17.93,72.9,6.88,634.96,2.65,21745.09
110.92,47.48,123.35,19.05,66.5,6.39,615.11,2.95,20565.96
113.41,51.34,114.97,17.55,74.18,6.66,531.73,2.82,18031.88
124.14,48.73,116.41,17.69,71.13,6.14,595.12,2.84,18036.76
108.01,46.54,120.25,18.88,63.89,6.6,577.96,2.79,19602.67
105.94,52.03,116.9,19.9,69.32,6.39,593.51,2.94,19751.58
105.56,49.39,126.88,17.33,68.23,6.93,554.15,2.65,17313.25
111.36,47.66,121.18,17.33,65.84,7.18,535.02,2.57,15934.34
109.99,48.5,120.3,18.52,70.56,5.95,643.16,2.72,21540.35
110.34,48.06,122.68,18.5,76.99,6.22,635.93,2.61,18646.76
115.02,47.31,119.42,17.91,63.64,6.53,614.61,2.64,20353.14
109.03,49.83,120.35,19.1,69.12,6.67,672.46,2.78,20962.4
106.47,47.54,112.77,17.3,65.27,6.32,612.42,2.85,19873.24
101.74,50.76,124.87,16.69,65.64,6.29,527.63,2.84,14327.4
115.06,55.72,112.85,19.88,67.33,6.64,587.98,2.9,15030.02
109.76,45.77,114.71,18.58,70.78,7.05,645.32,2.64,16265.5
109.22,50.29,119.41,18.35,70.34,6.61,675.35,2.84,22717.49
113.86,50.2,111.63,17.27,66.74,6.59,651.43,2.71,18106.84
111.76,49.26,114.69,17.86,75.47,6.89,539.8,2.89,18384.66
112.25,54.27,122.58,19.28,69.18,6.83,630.09,2.9,17279.74
110.97,46.05,117.53,15.52,70.94,6.67,595.79,3.03,17229.58
114.48,50.18,125.35,18.86,66.5,6.04,608.18,2.74,19089.81
107.71,50.72,117.76,17.97,73.6,6.66,563.63,2.88,22912.91
110.19,52.87,124.6,16.87,74.82,6.99,608.29,2.61,17193.07
108.69,48.85,122.62,17.32,67.94,6.33,555.86,2.85,21317.51
107.91,52.41,120.59,16.7,67.65,6.34,629.74,2.76,19799.02
111.04,55.73,120.34,19.92,70.59,6.74,515.29,2.94,13370.29
113.76,49.78,118.96,19.72,67.01,6.47,545.6,2.53,17062.49
119.86,51.03,123.4,17.94,70.66,6.29,605.67,2.47,19991.11
113.72,52.96,126.44,19.39,62.65,6.0,645.11,2.78,14196.96
110.83,53.31,129.72,18.47,64.79,5.84,549.64,2.73,14510.54
126.81,49.89,119.85,19.09,71.28,6.65,635.04,2.97,15177.61
108.15,47.19,124.56,16.19,75.24,6.14,585.87,2.8,16927.56
108.01,47.86,113.53,16.95,67.69,6.56,601.67,2.94,21081.02
109.65,48.66,118.98,17.98,71.68,6.61,577.2,2.78,26294.13
108.56,54.41,120.27,17.34,72.48,6.66,607.55,2.41,18961.08
108.25,51.43,124.47,17.02,72.88,6.17,600.0,3.01,20062.82
102.92,48.29,114.78,18.73,71.94,6.38,526.95,2.62,15560.25
107.3,46.55,108.32,18.07,71.48,6.54,600.76,2.81,21814.59
106.74,49.73,113.97,19.07,68.42,6.05,661.22,2.77,17285.27
116.89,51.42,120.72,18.82,70.85,7.01,652.9,2.84,17033.5
119.73,50.94,128.38,17.98,69.86,6.09,603.67,3.01,18669.11
112.3,51.44,120.85,17.81,72.19,6.23,577.55,2.89,23619.57
107.63,51.6,129.88,17.41,74.44,6.79,610.41,2.87,19350.6
118.36,47.83,117.69,19.26,70.85,6.44,630.42,2.72,17342.58
110.85,51.01,119.32,17.39,66.97,6.67,611.75,2.36,22365.29
106.26,48.21,112.95,17.0,69.68,5.76,602.32,2.72,17811.46
104.79,50.32,121.94,18.53,68.77,6.28,615.22,2.89,22410.47
113.7,51.01,120.28,20.22,74.17,6.13,603.1,2.7,18100.06
113.64,53.63,124.76,17.22,68.71,6.53,647.68,2.77,18334.9
106.46,50.5,122.28,16.44,72.83,6.52,605.69,2.89,21816.97
114.66,48.58,116.27,18.98,70.07,6.75,558.49,2.92,18755.13
113.97,50.01,121.67,18.36,75.04,6.4,647.08,2.91,20355.48
112.74,56.08,126.01,18.8,70.81,6.54,654.34,2.86,15730.44
108.6,50.0,114.77,18.92,69.97,6.29,565.96,2.63,20901.11
105.71,51.19,122.72,17.74,71.45,6.43,584.58,2.92,23871.07
105.99,48.06,115.6,17.24,70.2,5.84,637.5,2.91,17418.06
114.64,50.89,121.04,18.22,67.82,6.33,630.18,2.89,22283.42
116.11,51.62,120.22,19.42,67.67,6.87,624.71,2.84,18017.42
109.26,47.23,103.44,17.34,75.15,6.37,613.29,2.68,16818.79
120.18,52.81,116.2,15.3,67.64,7.04,596.85,2.77,13337.03
110.81,54.89,123.09,18.64,67.52,6.97,585.18,2.96,17438.08
110.54,46.62,121.05,17.09,67.05,6.85,596.29,2.82,20756.66
106.69,47.66,126.1,18.89,69.83,6.61,621.19,2.52,19315.23
110.62,49.71,115.9,18.26,71.89,6.45,624.44,2.71,24957.32
