N,P,K,temperature,humidity,ph,rainfall,pesticide,yield
83.19,40.17,97.93,15.38,80.31,5.58,508.73,1.94,17500.55
81.4,40.9,91.77,14.6,73.15,6.14,512.84,2.12,18042.48
76.87,38.08,99.14,14.89,79.58,5.41,473.74,1.87,14949.86
81.23,40.54,104.09,15.37,77.04,6.23,505.6,2.06,20325.19
79.06,36.3,100.45,13.48,77.95,5.9,522.45,1.89,14280.23
80.55,42.05,110.84,14.47,76.17,6.1,464.38,2.0,15124.62
83.03,40.75,100.41,13.75,69.32,5.81,519.0,1.99,16751.41
77.17,42.47,103.44,13.66,75.78,6.22,491.67,1.8,14808.65
76.96,42.45,109.12,14.47,80.0,5.82,481.16,1.86,14086.39
83.01,39.85,96.16,15.0,78.17,5.5,530.68,1.96,16696.44
79.82,41.4,104.58,13.51,74.1,5.83,493.54,1.93,17307.49
85.1,41.42,110.68,14.5,75.29,6.01,494.62,2.19,15678.18
78.22,41.18,104.07,15.23,77.38,6.09,484.76,1.93,19617.94
80.46,40.23,96.77,15.22,74.29,6.47,481.4,1.89,19526.63
82.58,39.77,101.76,15.37,78.92,5.69,517.79,1.92,18148.55
78.12,42.07,105.96,15.72,68.57,6.23,492.42,2.12,15508.34
76.54,42.92,90.94,15.6,79.44,5.82,466.18,2.12,12974.15
84.75,40.59,96.62,15.46,74.37,6.42,494.03,1.97,17263.36
83.04,40.99,99.91,15.48,74.56,5.92,546.21,2.07,17465.63
83.19,42.82,95.54,15.94,79.81,6.0,495.01,2.1,16190.02
72.18,39.84,99.32,13.69,80.35,5.98,486.24,2.1,14697.7
75.39,38.85,90.4,15.14,79.61,6.15,484.49,2.13,14936.32
74.25,38.57,99.18,14.29,73.51,6.0,489.5,2.02,17964.32
84.29,40.45,97.29,15.79,67.57,5.44,488.26,2.21,13208.7
74.63,39.04,97.65,14.34,72.56,5.98,452.44,2.02,15150.67
80.77,39.6,104.52,16.25,70.73,6.06,517.75,2.08,17155.77
71.24,41.04,112.1,14.66,80.35,6.06,497.13,2.01,14674.25
72.36,40.46,93.32,15.0,77.54,6.12,541.93,2.1,13882.66
78.11,44.5,109.8,15.17,70.31,5.87,514.69,2.19,13413.68
80.17,42.77,103.74,15.85,72.15,5.92,514.01,1.87,16664.26
77.02,39.65,106.45,15.7,76.01,5.99,511.73,2.15,17569.35
81.97,41.17,96.52,14.09,77.94,5.78,485.12,2.02,17690.7
79.08,42.84,98.54,14.29,68.86,6.28,478.87,1.94,15921.54
82.37,42.56,105.38,14.23,77.53,5.37,478.37,1.78,12702.42
78.93,42.81,105.14,15.24,79.52,6.11,517.68,1.96,16911.51
78.97,39.31,102.8,15.83,80.48,6.13,495.92,2.06,19285.02
84.69,39.93,102.14,15.59,76.66,5.82,532.65,1.76,15240.27
82.47,41.68,97.3,16.58,78.82,5.87,509.13,2.08,15879.88
80.54,38.56,102.61,15.27,79.04,6.14,457.47,1.93,17098.22
90.6,37.24,96.96,15.96,71.12,5.75,481.98,1.97,12353.58
81.95,39.5,100.91,14.88,78.16,6.37,484.46,1.97,20046.69
76.51,38.55,97.97,14.88,76.85,6.41,521.12,2.03,17519.74
81.42,42.32,96.48,14.92,75.27,5.93,475.55,1.91,18713.39
76.89,39.47,89.91,14.98,67.98,5.92,532.11,2.13,14580.03
82.85,39.9,103.16,16.1,77.26,5.48,522.09,1.99,15466.62
88.14,42.91,100.53,13.83,73.93,6.21,499.8,1.99,14391.39
87.0,39.27,105.36,14.86,74.49,5.93,440.16,2.02,14754.23
77.27,40.98,101.43,14.43,79.07,5.49,485.22,1.86,15772.53
85.06,40.37,91.96,14.57,75.8,6.17,524.18,2.19,15158.63
77.31,39.4,101.06,13.92,77.09,5.55,505.1,2.13,16221.63
81.1,40.62,97.34,15.36,69.86,5.86,525.62,1.86,18329.99
75.81,39.74,111.08,15.64,74.9,5.77,541.65,1.97,14052.89
81.06,39.82,91.09,16.23,72.08,5.56,456.6,2.13,12760.39
74.21,42.52,93.34,14.59,73.69,6.2,502.56,1.97,16195.74
88.97,39.65,107.03,15.34,79.64,6.07,517.5,2.29,12856.39
79.51,39.14,97.65,15.24,77.46,5.66,540.86,2.0,18473.88
85.28,39.74,96.56,15.9,73.62,6.48,474.51,1.9,14095.69
78.06,43.38,101.14,15.09,79.72,6.04,492.39,1.99,19028.98
