N,P,K,temperature,humidity,ph,rainfall,pesticide,yield
156.29,58.66,140.29,25.3,65.62,5.83,573.39,3.02,4581.11
153.62,59.55,139.9,24.73,59.93,5.88,560.18,3.02,4130.87
168.13,59.51,146.1,25.99,63.15,5.8,608.46,3.34,3511.71
149.68,64.13,135.2,22.08,63.63,6.01,608.72,2.84,3626.74
160.11,56.34,135.32,26.32,70.14,6.31,589.63,3.14,3417.08
151.11,58.94,144.11,26.21,67.25,5.38,631.8,3.08,3010.25
154.66,54.48,138.04,23.61,66.95,5.89,600.34,2.88,4227.81
168.38,58.03,138.34,24.08,67.27,5.99,590.72,2.85,4690.27
164.48,65.47,139.64,24.01,66.83,6.03,609.62,3.01,4565.59
170.01,61.21,149.3,22.78,63.58,5.8,580.7,3.19,3529.73
169.79,56.97,118.38,26.54,65.81,6.19,633.35,3.09,2636.23
140.52,62.66,128.24,22.95,64.02,5.79,582.54,3.02,3149.47
164.54,63.92,129.4,24.13,69.63,5.52,664.24,2.89,2911.28
157.4,58.37,134.22,24.95,66.37,6.01,564.61,2.83,4153.8
152.92,60.74,141.27,23.22,63.25,5.77,592.41,2.95,4570.42
160.69,58.89,132.01,23.95,71.33,6.24,593.56,2.97,4364.81
161.69,59.03,147.56,25.68,65.62,6.44,547.58,3.27,3300.5
166.29,64.02,150.24,24.23,64.31,5.55,622.69,3.17,3592.5
155.48,61.76,144.78,24.76,66.77,6.25,572.36,2.89,4214.75
151.55,57.66,148.08,25.11,60.96,5.45,605.14,2.65,3121.92
140.73,57.21,142.52,23.43,68.92,5.9,548.47,2.82,2941.59
157.22,64.56,150.08,24.49,70.38,6.15,594.51,3.0,3832.69
165.14,59.65,144.28,24.36,64.88,5.67,563.11,2.95,4344.25
145.06,60.79,139.92,25.72,60.56,5.81,564.0,3.0,3323.79
170.37,58.86,128.38,27.0,63.18,6.26,571.08,2.74,2784.58
155.76,60.2,135.95,25.22,65.29,6.13,632.02,2.82,4179.93
161.78,62.53,141.78,25.54,66.38,5.86,624.89,2.84,4160.77
161.85,58.02,133.45,25.46,63.08,6.1,663.98,3.2,3442.57
159.1,57.62,138.74,23.75,60.79,6.23,643.34,2.55,3716.58
156.42,62.53,140.73,24.68,66.03,5.78,616.57,3.11,4537.53
160.22,67.9,142.37,23.92,62.42,5.82,662.06,2.96,3317.01
159.98,64.04,138.19,26.65,61.91,6.0,651.33,2.79,3218.2
158.55,56.23,132.09,24.46,65.77,6.08,639.68,2.87,3900.93
167.4,57.49,133.36,22.78,66.35,6.22,605.44,3.29,3743.44
141.86,63.88,143.68,24.11,67.12,6.28,609.58,3.02,3581.8
165.48,60.6,132.3,24.67,64.09,5.83,505.66,3.08,3357.81
175.26,64.02,136.58,24.89,65.8,5.84,614.2,2.79,3441.42
164.69,63.36,146.9,25.05,63.67,5.83,615.51,3.05,4019.39
177.17,60.46,146.7,23.6,63.65,5.73,649.57,2.98,3358.69
149.93,55.08,138.87,23.14,64.6,5.96,570.63,2.91,3683.34
150.1,63.18,140.26,23.38,67.43,6.54,644.77,3.15,3226.19
155.21,59.52,148.31,24.07,65.77,6.26,557.86,2.86,4145.17
166.66,55.83,134.08,24.74,69.14,5.84,652.37,2.99,3369.7
154.73,61.08,147.9,22.65,61.14,5.94,589.73,2.64,3860.03
148.96,61.91,143.07,23.96,67.86,6.47,561.28,3.08,3537.54
150.96,51.98,143.54,25.79,65.58,5.55,592.68,2.99,2969.19
146.78,64.17,127.02,23.24,66.74,6.65,580.36,3.03,2860.42
151.53,58.57,122.39,22.21,71.58,6.11,600.78,2.89,3217.56
170.13,55.93,142.09,23.13,63.33,6.42,584.99,2.91,3541.68
148.67,65.06,132.68,24.36,68.34,5.89,557.69,3.05,3221.22
167.85,61.87,129.95,25.59,62.42,5.97,681.15,3.1,2951.05
149.48,58.93,144.94,25.33,62.82,5.79,622.51,3.03,3796.16
145.79,60.58,147.2,24.99,65.76,6.07,596.05,3.41,3668.74
157.36,58.73,150.02,22.97,61.38,5.85,624.48,3.12,3970.23
159.44,61.23,149.35,24.23,64.92,5.94,596.57,3.06,5161.74
177.24,53.34,142.06,23.13,70.93,6.29,548.98,2.98,2541.64
155.23,59.31,137.53,23.95,68.46,6.17,587.06,3.02,4854.99
155.45,59.92,151.18,23.74,62.94,5.98,586.27,3.2,4376.68
153.45,62.53,136.76,25.0,68.24,6.14,601.84,2.74,4050.01
158.85,61.34,149.89,23.32,66.51,6.08,588.78,2.98,4731.53
176.81,58.93,125.79,24.59,67.68,6.21,625.53,2.95,3181.34
160.02,55.89,136.62,23.35,64.73,5.76,596.08,2.92,4531.2
162.4,62.6,147.98,23.78,66.23,6.28,604.58,3.05,4429.25
172.83,58.17,137.99,22.89,66.44,6.09,619.67,2.89,3855.08
151.28,59.76,142.83,22.85,62.24,6.31,583.24,3.16,3802.1
155.59,56.77,136.25,21.44,70.95,6.05,623.17,3.02,3536.41
159.0,63.39,145.51,25.06,66.21,6.03,642.98,2.96,3910.1
147.7,58.96,136.98,23.42,59.8,5.83,602.85,3.12,3942.41
155.15,59.27,139.01,22.51,61.04,6.56,561.92,3.11,3577.67
161.01,50.06,135.49,25.59,64.49,5.33,542.86,3.19,2456.05
170.69,59.15,139.94,21.74,67.75,6.37,595.76,2.76,3378.89
156.74,55.92,128.77,25.36,62.17,6.22,611.01,2.91,3575.51
152.58,57.61,139.37,23.39,61.94,6.14,605.78,3.12,4324.34
156.75,59.41,138.99,25.56,67.23,6.05,605.67,3.18,4819.04
155.89,57.78,141.39,24.68,66.56,6.16,587.66,3.27,4393.19
161.98,62.04,143.6,23.6,62.51,5.95,640.44,2.98,4406.63
158.72,62.72,138.29,22.14,68.5,5.93,650.91,3.07,3628.89
168.76,57.35,143.8,24.81,68.28,6.31,658.1,2.78,3171.58
172.17,58.63,135.18,23.29,64.55,5.68,599.46,2.96,4047.49
164.49,61.59,139.55,23.83,69.0,5.61,599.85,2.94,4436.26
154.16,62.04,146.57,24.94,66.95,5.66,630.08,2.95,3836.07
158.99,59.92,138.32,26.38,63.65,5.6,594.29,3.22,4073.59
179.12,65.58,127.32,22.43,65.9,5.48,586.32,2.96,2552.62
164.18,63.59,142.34,23.65,67.53,6.13,589.33,3.13,4368.53
153.7,56.17,134.16,22.75,63.74,6.43,550.68,3.03,3283.06
157.59,61.29,141.56,23.85,63.41,6.4,587.86,3.01,4887.7
166.32,54.39,157.35,25.33,65.19,7.05,622.72,3.18,2330.45
167.7,62.41,146.83,24.67,69.58,5.64,630.58,3.13,3463.93
164.1,58.44,140.79,24.04,64.16,6.14,621.45,2.9,5001.89
161.7,62.56,137.82,23.75,70.18,6.05,614.47,2.99,4690.84
167.88,54.59,150.96,24.05,62.51,6.46,634.84,3.39,2928.45
164.41,63.66,137.76,23.35,60.91,6.01,597.03,2.83,4375.35
153.47,62.45,126.58,25.15,67.83,6.1,609.89,3.03,3827.25
159.65,60.04,135.39,24.36,61.83,6.02,579.13,3.22,4915.41
149.89,62.12,136.06,23.64,61.68,6.01,637.55,3.05,3912.9
158.62,57.32,146.91,25.26,68.09,6.36,593.78,3.09,3818.38
172.64,59.83,141.56,25.44,62.57,5.62,606.73,2.92,3700.92
167.33,64.28,140.9,24.24,64.73,5.91,617.66,2.97,4490.9
163.73,60.43,144.34,22.34,70.84,6.19,593.05,2.97,4173.31
152.89,61.71,135.22,24.27,65.6,6.13,601.49,2.88,4818.69
159.94,60.18,133.1,24.03,60.93,5.95,609.47,3.11,5033.13
140.62,51.85,138.13,25.43,68.84,5.89,577.43,2.76,2599.4
152.56,57.08,136.74,24.73,58.96,6.06,582.16,3.0,3980.22
157.22,62.29,141.97,25.26,65.99,5.96,554.65,3.3,3840.47
162.17,54.09,144.07,23.99,62.2,5.64,645.99,3.02,3536.02
160.4,62.32,157.25,24.13,71.9,6.24,619.76,2.94,3497.51
150.49,61.71,135.91,23.28,62.63,6.22,627.88,3.05,3885.27
160.55,56.22,151.97,27.4,67.72,5.91,645.66,3.13,2782.65
152.39,57.92,136.72,24.84,64.51,5.67,639.28,3.27,3551.28
151.75,55.42,141.41,24.26,64.78,6.36,586.68,2.86,3878.7
168.29,62.91,145.47,23.04,63.91,6.09,634.05,2.84,3715.46
157.26,57.74,127.44,24.7,69.72,5.8,636.54,2.88,3397.58
157.45,58.51,133.16,24.43,68.5,6.28,608.81,3.09,4333.16
156.87,59.56,136.37,25.06,65.07,6.72,613.14,3.23,3816.25
166.17,62.69,145.72,24.12,65.48,6.48,560.12,2.88,3879.99
155.45,57.03,136.85,24.23,64.54,5.72,626.75,3.36,4023.21
140.04,59.88,135.62,25.77,65.05,5.88,583.77,3.11,3375.55
147.89,57.98,141.71,24.71,64.2,6.41,565.26,2.83,3438.94
153.4,58.61,138.53,24.21,65.04,6.49,586.66,3.06,4404.55
160.01,57.04,147.83,24.95,60.06,5.77,583.62,2.9,3875.44
162.6,59.21,124.14,25.16,68.13,5.47,589.7,3.09,3362.84
160.8,58.93,134.87,21.57,66.06,6.96,640.5,2.74,2921.69
168.23,57.32,143.66,24.81,67.78,6.18,675.76,3.16,3125.77
154.19,61.13,139.06,23.33,65.71,6.6,602.3,3.05,4236.28
167.68,53.46,116.88,23.56,65.24,5.9,553.25,2.98,2856.25
161.7,64.38,127.03,25.39,68.89,5.85,563.14,2.84,3097.83
162.88,61.93,126.13,24.02,60.62,6.49,670.22,3.32,2790.73
164.55,62.08,140.07,23.25,66.71,5.72,601.66,2.93,4563.81
156.24,61.52,150.27,26.53,67.94,5.78,603.54,3.06,3604.87
164.27,56.52,148.46,24.66,63.18,6.24,604.34,3.28,3827.73
168.44,59.59,131.84,22.21,68.94,6.08,614.95,2.73,3513.97
162.94,64.12,129.03,23.26,67.42,5.89,566.66,3.03,3627.23
158.25,63.07,143.96,24.23,64.52,6.21,574.51,3.11,4446.82
163.03,61.32,136.8,23.85,67.01,6.12,613.22,2.99,5166.83
164.93,62.08,146.22,25.28,66.85,5.91,555.87,2.94,3798.53
149.26,67.02,138.41,24.11,69.27,6.25,643.97,3.1,3009.5
158.56,57.58,141.33,23.61,62.4,6.14,663.39,3.02,4061.19
150.85,60.66,146.66,25.33,68.07,6.15,632.4,3.12,3586.98
164.27,63.54,133.59,25.56,63.58,5.82,616.33,3.08,3789.08
154.14,57.61,134.46,21.85,65.96,5.87,579.69,3.16,3729.74
172.85,62.92,144.41,23.43,67.5,5.56,625.14,2.86,3309.82
165.61,60.55,146.52,23.02,64.79,5.71,627.69,3.25,3909.33
162.7,65.16,138.97,24.71,63.56,6.83,641.1,3.06,3172.51
168.25,56.89,135.85,23.15,68.29,6.14,546.57,3.01,3528.59
