N,P,K,temperature,humidity,ph,rainfall,pesticide,yield
82.42,43.14,96.67,25.85,72.43,6.79,994.95,4.84,11033.85
86.52,43.82,95.41,24.66,73.76,6.41,1033.93,4.72,10834.64
87.55,41.79,96.55,22.86,79.96,6.6,846.03,4.57,6464.68
87.48,41.63,104.85,25.81,75.57,6.07,1005.94,4.61,10537.83
78.82,46.39,101.47,26.71,70.59,6.33,985.85,4.38,10198.8
88.88,52.17,94.11,24.27,75.26,6.47,1077.91,4.63,7206.98
85.75,47.02,104.25,27.63,76.35,6.29,989.39,4.59,10929.43
90.72,41.79,96.22,26.45,79.96,6.39,967.19,4.27,9163.86
85.7,41.47,101.29,24.99,76.66,6.43,937.01,4.45,10282.93
84.86,44.75,99.66,26.37,74.59,6.43,981.53,4.65,15214.01
82.25,43.03,96.25,26.2,75.42,6.16,1020.95,4.36,11411.34
94.81,44.66,93.67,25.74,75.99,6.43,1033.39,4.9,9091.82
76.25,45.72,104.8,26.28,74.37,6.17,960.35,4.33,9377.68
84.45,45.15,101.85,26.19,72.33,6.47,977.19,4.57,14238.69
79.13,43.65,96.23,25.94,76.0,6.14,931.43,4.25,9345.09
83.53,45.7,104.29,27.17,79.54,6.62,1034.13,4.24,10920.64
84.97,44.5,102.5,27.16,76.61,6.2,1042.26,4.76,11625.44
90.45,46.25,104.65,25.47,79.18,6.29,1006.4,4.59,10331.21
85.34,43.13,108.54,24.68,74.74,7.21,1016.71,4.57,8898.45
84.29,40.58,100.31,24.64,68.46,6.39,956.4,4.6,9226.57
86.77,44.01,101.82,25.28,73.85,6.69,1028.78,4.51,12591.83
76.39,45.16,95.98,26.04,75.24,6.18,1037.48,4.39,10022.15
80.56,47.23,92.31,27.62,78.04,6.23,934.59,4.17,7676.38
80.45,47.1,91.74,27.03,76.24,6.33,1007.82,4.63,9844.08
82.66,43.56,96.88,25.55,77.23,6.0,977.04,4.44,10996.94
84.93,47.23,105.35,25.73,74.09,6.7,997.15,4.47,12489.28
90.18,51.18,107.67,24.36,70.67,6.6,1016.93,4.19,7498.52
85.63,41.01,101.83,23.86,74.9,6.97,1003.09,4.5,9517.71
82.84,42.03,103.14,28.63,73.56,6.78,1016.23,4.24,8991.65
80.54,44.92,102.52,26.52,76.94,6.5,1066.87,4.74,10510.37
78.7,42.92,96.29,25.8,69.39,6.42,1037.77,4.68,9508.79
80.41,43.08,98.67,27.08,77.7,7.01,1164.87,4.91,6919.32
82.39,48.54,110.76,27.17,74.27,6.31,1002.75,4.8,8870.64
86.82,48.76,92.09,24.74,73.91,6.61,972.28,4.41,9364.28
86.72,44.15,93.41,25.64,70.31,6.71,1062.92,4.86,9661.63
88.75,46.31,98.67,25.56,75.59,6.26,1105.17,4.1,9407.62
78.8,45.72,88.81,24.52,76.55,6.46,1002.08,4.66,9342.92
80.11,45.7,99.57,26.22,74.34,6.52,1064.82,4.54,11486.24
82.08,46.4,106.85,27.86,75.42,6.21,995.89,4.31,9727.21
83.02,48.64,89.67,25.87,77.71,6.63,1014.33,4.26,9821.76
75.89,46.44,95.39,25.88,80.57,6.39,1022.51,4.93,8646.53
86.77,40.48,98.78,24.77,80.34,6.4,1022.27,4.37,9778.02
83.34,47.53,94.12,25.62,72.8,6.84,1014.03,4.48,10805.29
81.78,41.67,93.69,27.77,76.89,6.65,1000.98,4.53,9752.24
84.83,44.02,96.06,26.07,71.46,6.15,961.26,4.28,11291.05
87.05,44.69,104.01,26.74,76.33,6.6,1075.0,4.41,11002.97
80.53,45.37,103.05,26.17,77.62,6.76,1048.2,4.54,10973.9
79.16,43.61,101.71,24.65,73.0,6.15,1019.34,4.27,9452.49
85.18,45.61,97.56,28.94,70.64,6.23,968.41,4.42,10350.39
82.12,42.42,97.46,25.69,82.86,6.14,1011.66,4.64,9687.07
76.83,45.63,97.23,27.31,78.48,6.43,1030.44,4.44,9632.28
90.38,47.07,101.98,26.94,76.83,6.76,950.71,4.33,9429.56
86.46,46.24,106.84,27.07,73.29,6.72,967.78,4.58,10555.04
82.37,48.07,103.99,24.17,74.33,6.04,1057.99,4.45,8505.38
92.68,48.93,98.43,24.32,66.44,6.33,1077.3,4.78,6553.55
91.53,42.64,99.03,26.54,79.8,7.15,1079.97,4.85,7391.05
83.71,43.06,104.16,24.3,72.08,6.17,1060.19,5.12,8506.9
91.65,47.83,103.22,25.66,65.74,6.53,1036.99,4.5,8766.43
82.96,44.25,102.01,27.51,81.08,6.64,1072.85,4.7,9643.25
