N,P,K,temperature,humidity,ph,rainfall,pesticide,yield
42.83,17.04,32.44,28.17,61.03,7.5,402.11,1.67,602.09
39.45,20.91,30.22,27.04,58.73,7.29,423.06,1.56,876.42
37.58,21.39,26.7,29.48,67.91,7.21,408.76,1.58,617.21
39.81,22.48,29.31,28.49,58.18,7.05,394.3,1.53,914.85
38.51,19.92,30.79,26.84,55.91,6.65,414.68,1.57,849.16
41.58,20.72,34.17,28.46,60.52,7.21,379.59,1.41,742.47
37.17,22.75,29.28,28.95,59.41,7.75,392.91,1.42,592.0
41.63,20.11,33.28,28.16,55.95,6.49,382.42,1.42,700.09
38.94,20.0,28.4,28.29,63.9,6.83,378.03,1.49,899.58
39.49,19.62,30.01,28.85,60.85,6.9,438.5,1.52,960.0
40.27,18.23,31.39,26.93,58.35,7.26,398.06,1.47,849.07
39.64,19.26,31.66,27.74,65.79,7.38,383.94,1.51,821.35
39.9,20.75,27.15,28.55,59.91,6.54,405.74,1.52,859.42
44.02,19.92,30.11,30.19,66.56,7.03,377.67,1.56,674.38
37.9,19.3,29.71,30.03,60.53,6.75,387.71,1.55,834.06
38.35,19.14,27.63,28.03,59.16,7.07,394.96,1.53,981.09
40.98,17.52,30.09,27.1,58.73,7.04,404.01,1.34,808.53
33.48,20.16,31.47,27.73,59.31,7.04,369.28,1.46,689.4
41.83,21.19,29.78,28.81,59.68,7.18,388.53,1.47,905.52
38.33,18.68,32.92,27.21,63.96,6.72,402.35,1.49,760.32
41.12,19.75,29.55,29.4,53.3,6.92,417.1,1.43,856.12
42.62,19.82,32.97,29.59,59.66,7.2,413.09,1.48,762.04
39.23,20.2,29.69,28.14,54.71,7.04,391.23,1.4,1036.37
41.55,18.66,30.2,29.13,57.64,6.97,394.67,1.43,895.34
37.59,20.36,30.31,26.03,63.29,6.36,360.69,1.43,630.34
42.7,16.84,29.77,25.8,65.28,6.58,393.36,1.55,552.98
41.43,22.33,27.94,29.05,59.41,6.68,430.22,1.54,653.37
43.67,20.49,33.4,28.15,62.72,6.74,382.25,1.52,701.96
40.16,19.71,28.87,26.87,68.78,7.05,422.97,1.43,807.55
38.17,20.78,28.88,26.5,57.7,6.3,417.83,1.55,705.85
40.19,21.24,28.04,28.83,59.21,7.06,400.76,1.51,990.76
40.61,21.35,32.57,26.34,61.36,6.75,369.05,1.48,693.38
38.59,19.83,29.21,27.01,61.85,6.84,404.53,1.48,1023.36
40.45,19.32,30.72,29.94,57.21,7.76,391.8,1.56,772.82
41.3,19.57,27.98,28.6,56.31,7.26,400.57,1.61,853.53
45.27,20.85,32.15,28.82,61.64,7.51,392.41,1.48,641.27
40.45,19.19,27.97,30.47,62.85,6.38,383.23,1.66,626.44
43.2,21.47,29.06,27.76,63.59,7.2,379.64,1.46,729.41
36.88,19.48,29.2,27.92,61.01,6.7,368.25,1.58,772.9
40.96,20.81,30.85,30.29,64.53,6.66,393.65,1.56,789.93
37.3,18.72,29.83,27.45,53.91,7.55,423.98,1.59,635.17
40.55,20.96,29.8,29.7,58.16,7.31,381.52,1.46,863.29
38.41,21.24,31.74,31.09,60.41,7.94,383.1,1.41,561.85
39.41,20.66,30.58,29.74,57.06,6.53,344.46,1.51,703.01
36.8,21.74,26.74,26.41,52.62,6.75,400.3,1.54,607.22
41.89,20.11,30.29,27.74,60.0,6.75,384.22,1.44,994.48
37.49,22.22,32.69,28.06,62.88,7.28,419.39,1.57,660.73
40.35,21.5,27.75,27.13,66.98,6.94,388.6,1.55,756.27
41.88,19.94,29.21,28.32,56.75,6.99,433.11,1.49,864.5
42.11,19.37,31.25,25.15,61.16,6.46,377.26,1.52,678.56
45.11,19.11,28.88,29.53,57.22,6.84,398.9,1.4,686.81
37.87,19.3,32.0,29.21,61.78,7.19,358.13,1.52,696.57
40.68,18.22,31.02,28.85,60.25,6.26,401.07,1.53,765.35
39.26,18.8,28.27,29.0,64.49,7.28,385.42,1.44,766.84
41.98,19.69,27.87,26.31,63.1,7.15,410.26,1.51,825.75
37.7,19.35,28.18,28.29,56.66,7.69,428.43,1.44,672.33
42.55,21.02,30.31,25.44,61.2,6.35,425.26,1.57,620.77
40.64,19.61,30.88,29.52,64.83,6.55,367.93,1.56,774.25
40.07,20.69,33.63,27.49,58.58,7.45,387.41,1.43,788.87
39.82,21.16,30.86,30.72,63.9,7.14,393.49,1.59,792.49
40.58,20.79,32.68,26.31,58.95,7.08,408.24,1.39,818.96
40.22,21.46,30.6,27.7,64.62,7.0,364.62,1.38,748.32
39.18,20.26,30.45,28.76,61.2,6.61,402.57,1.54,1039.72
37.15,20.49,28.52,27.29,61.43,7.32,386.84,1.59,792.74
40.19,20.79,28.48,24.85,59.63,7.5,421.8,1.54,706.42
39.78,20.59,31.82,26.31,59.44,6.87,414.62,1.47,892.43
34.97,20.62,31.04,29.18,58.49,6.72,399.2,1.5,745.56
38.78,21.11,31.48,27.79,58.1,7.11,409.57,1.41,915.07
41.79,20.07,29.06,27.87,58.85,6.47,396.76,1.54,940.03
37.86,20.26,29.91,28.52,59.88,7.23,411.58,1.45,981.06
40.35,19.37,28.28,29.1,62.32,7.07,393.02,1.56,957.71
42.69,19.89,31.2,31.92,61.57,7.42,415.84,1.33,605.44
40.91,22.55,30.44,28.19,61.22,7.17,441.88,1.48,715.18
37.57,19.98,26.61,28.2,57.45,6.98,422.19,1.45,785.03
41.71,19.92,29.59,27.9,59.08,6.87,403.15,1.36,1043.55
42.28,20.75,27.13,27.43,56.5,7.3,383.17,1.45,728.71
42.01,19.74,28.95,29.23,57.34,7.09,427.26,1.59,778.29
36.61,19.25,32.56,26.0,55.57,7.23,415.39,1.52,641.62
40.73,19.71,31.97,28.17,54.3,6.71,410.2,1.54,859.56
38.52,20.08,28.86,27.66,57.96,6.83,382.79,1.36,897.54
38.46,18.4,28.76,28.31,58.62,7.31,427.55,1.51,778.04
38.99,20.77,28.75,26.77,59.26,6.82,405.05,1.35,889.87
38.14,21.43,28.82,26.54,61.55,6.86,382.32,1.66,710.01
40.14,20.0,28.75,29.06,61.38,7.01,391.5,1.49,1104.29
42.35,19.29,28.64,26.23,61.71,7.36,392.95,1.42,762.68
35.41,18.52,30.44,29.94,61.91,7.71,384.56,1.37,539.29
36.61,18.27,28.83,28.98,62.91,7.11,373.1,1.52,666.01
40.67,19.67,30.58,27.84,57.77,7.06,413.41,1.51,1113.18
41.71,21.15,30.21,28.29,58.99,6.58,388.19,1.35,838.3
37.0,21.6,29.46,27.6,56.09,7.12,398.77,1.67,770.03
42.18,20.19,28.96,27.33,54.8,6.87,419.87,1.45,811.49
36.22,20.62,30.87,27.77,60.84,7.61,381.62,1.59,713.19
38.74,18.93,28.18,28.6,59.91,7.5,368.22,1.52,765.2
42.62,19.67,30.5,29.83,55.46,6.35,397.96,1.54,712.41
41.84,18.26,29.3,27.99,60.97,7.05,417.1,1.57,863.53
39.0,20.59,30.0,27.43,61.83,6.94,375.76,1.61,924.73
39.78,21.46,32.6,27.68,59.61,7.7,385.04,1.45,744.08
39.73,20.58,29.27,27.53,59.35,6.78,425.27,1.46,990.62
39.17,20.38,28.03,26.68,61.26,6.94,380.32,1.42,850.5
41.63,18.93,29.69,28.89,58.57,7.04,414.12,1.46,918.37
40.22,19.13,29.6,29.81,58.41,6.57,377.83,1.51,857.9
39.62,20.65,29.25,29.7,60.83,6.94,425.32,1.58,873.98
39.69,19.88,29.82,26.75,56.18,7.17,406.72,1.61,1026.62
39.4,19.56,28.96,28.92,62.79,6.83,415.2,1.58,923.57
38.89,19.1,29.02,28.01,62.26,7.98,403.71,1.55,790.51
39.76,17.83,31.71,25.62,59.49,7.13,386.98,1.55,726.34
39.2,21.25,28.27,27.42,63.13,6.64,393.16,1.51,846.18
39.02,20.58,27.88,29.08,58.29,7.21,408.46,1.46,891.39
