N,P,K,temperature,humidity,ph,rainfall,pesticide,yield
62.96,30.75,57.34,15.77,62.73,6.23,629.5,2.0,1779.48
72.46,30.37,56.04,16.18,66.3,6.71,542.95,2.02,2058.28
65.17,27.97,53.51,15.07,70.01,5.98,564.52,2.04,1754.5
61.95,31.59,55.79,16.25,66.07,6.77,475.26,1.86,1648.33
69.29,29.23,54.32,16.03,62.61,6.43,578.28,2.01,2092.42
65.68,30.58,56.2,17.84,62.64,6.29,527.44,1.82,1836.21
67.34,30.05,53.89,15.58,68.44,6.59,534.74,1.96,2301.86
68.94,30.98,49.56,16.64,67.94,6.26,486.91,1.83,1356.96
63.89,28.78,57.59,14.29,68.21,6.19,538.77,1.96,1763.53
68.96,30.33,56.8,16.77,64.47,7.33,547.95,1.98,1789.66
69.45,30.56,56.56,15.56,72.12,6.8,552.85,1.89,1761.17
72.81,30.52,54.96,16.81,64.6,6.38,524.22,2.05,1773.46
60.41,30.15,53.91,16.56,62.01,6.59,608.92,1.89,1700.75
61.41,31.2,54.55,16.49,62.46,6.75,545.82,1.88,1994.85
66.29,32.18,56.21,15.84,66.45,6.73,590.11,1.94,1963.88
63.63,27.41,53.35,15.64,61.77,6.35,524.77,2.12,1853.91
66.54,31.97,54.89,13.96,69.08,6.53,568.3,1.95,1757.79
66.26,31.35,57.13,15.37,64.41,6.7,519.81,2.08,2014.07
70.59,33.35,56.73,16.36,68.79,6.89,543.18,2.1,1536.6
59.88,31.97,55.79,16.68,61.25,6.5,509.52,1.97,1671.67
69.15,31.05,60.42,15.57,67.43,6.45,563.14,1.77,1758.11
64.25,30.85,54.44,16.27,69.4,7.07,552.49,2.09,2102.24
62.59,30.76,55.64,16.61,65.06,6.58,552.18,2.07,2480.76
53.74,29.78,52.66,15.24,60.74,6.5,520.11,1.82,1373.57
61.6,28.25,62.67,15.94,67.44,6.53,534.03,1.88,1749.84
60.7,30.36,54.55,15.07,63.89,6.69,570.5,2.03,1986.1
64.65,27.93,58.57,15.17,61.32,7.02,560.75,2.03,1684.29
61.27,29.97,55.9,17.68,64.09,6.47,568.5,1.93,1897.0
60.72,30.76,56.18,16.28,66.84,6.46,546.98,1.89,2254.62
67.96,29.12,56.61,16.21,66.22,6.61,535.88,2.06,2281.62
