N,P,K,temperature,humidity,ph,rainfall,pesticide,yield
101.68,43.27,121.49,21.08,67.57,5.6,504.09,2.73,14086.62
99.93,44.65,111.49,19.95,57.95,6.0,495.1,2.95,22935.89
106.12,43.27,108.5,20.47,65.46,5.84,476.67,2.96,17602.61
94.67,46.12,108.89,19.36,65.98,5.93,549.42,2.99,16519.24
96.8,45.65,104.44,20.15,64.38,6.06,490.57,2.88,20802.43
95.49,45.1,113.14,20.23,63.43,5.88,490.9,3.03,21258.02
102.54,43.99,108.14,20.64,71.19,5.97,505.94,2.86,19276.78
101.81,48.65,126.35,18.78,66.32,6.36,469.28,3.18,11408.91
97.36,41.98,117.05,21.82,68.72,5.89,508.98,2.91,14874.48
96.36,45.94,115.96,20.45,60.17,5.94,472.81,3.0,17065.76
106.52,44.2,102.79,19.49,63.65,5.81,481.89,2.81,15964.94
95.58,42.37,107.26,20.67,68.3,6.05,469.53,2.99,16538.78
92.17,40.96,105.72,20.13,67.75,6.67,521.91,2.78,12140.73
103.79,43.07,107.79,19.89,68.42,5.5,513.99,2.98,16839.59
108.75,42.97,105.54,19.47,64.37,6.07,513.74,3.13,16205.89
98.69,42.79,115.61,18.81,64.7,5.51,460.65,3.27,13668.68
106.67,44.42,104.84,19.75,63.45,5.3,533.31,2.96,14356.11
95.01,42.99,110.18,19.88,61.7,5.74,538.75,3.3,15143.78
98.71,45.78,121.39,21.39,66.65,5.86,521.65,2.7,14740.14
101.64,43.33,111.24,20.56,70.98,6.24,528.76,2.94,16914.12
111.28,46.24,111.49,20.59,66.58,5.82,482.82,2.89,15386.77
97.42,40.97,114.5,20.51,65.53,5.88,485.57,3.39,15611.09
106.15,45.93,106.79,18.55,73.1,6.47,488.94,2.92,13166.67
90.55,46.86,108.74,17.27,63.65,5.91,473.38,2.87,12465.61
97.0,48.59,109.59,20.01,66.98,6.18,516.37,3.02,18712.02
97.92,46.55,114.1,20.14,63.02,6.08,459.25,2.98,18140.45
101.49,47.49,109.7,20.08,64.39,6.36,473.79,2.64,17585.32
93.23,47.06,107.51,19.63,65.77,5.97,485.47,2.75,17314.68
95.98,42.47,101.4,17.73,64.83,6.15,527.78,3.07,13400.51
95.17,42.62,108.35,19.6,65.54,5.75,518.55,2.84,17304.48
100.72,45.29,106.49,20.48,67.08,5.8,531.0,2.82,18826.91
94.8,43.33,116.66,20.5,64.61,6.14,462.74,2.94,15778.61
103.54,44.84,121.91,20.6,61.35,6.45,462.2,3.0,14059.86
107.33,42.27,112.73,20.46,66.09,6.04,479.59,2.84,16312.88
98.75,41.2,108.16,19.49,63.02,6.16,471.59,2.85,16426.21
102.35,42.37,111.98,19.59,66.74,6.05,510.23,3.16,19559.51
105.95,47.58,105.79,21.87,55.26,6.19,479.01,3.12,12330.08
96.24,41.55,101.44,18.73,70.45,5.8,515.79,2.91,13591.44
97.84,43.21,113.26,21.67,59.29,5.65,493.58,2.95,15752.43
97.12,41.0,108.81,21.28,68.81,5.79,508.94,2.68,14368.38
105.19,44.06,112.49,20.21,66.91,6.04,468.21,2.98,18298.5
102.55,47.15,105.3,20.5,69.34,5.75,527.9,3.27,14967.79
97.56,47.44,110.37,20.3,64.26,5.75,495.95,2.81,19570.27
95.16,45.48,107.02,19.08,68.23,6.14,511.29,3.11,17960.02
103.66,39.88,118.73,18.62,61.41,5.94,499.74,2.86,13930.42
110.69,45.53,105.59,19.24,61.24,6.1,485.17,2.83,14629.67
103.05,45.49,98.51,20.93,64.44,6.28,495.21,3.05,16485.4
98.27,47.21,107.56,20.17,64.66,5.83,507.31,2.88,20561.8
102.88,46.35,105.18,20.37,61.34,6.56,490.14,3.07,16715.1
103.36,50.05,106.0,21.3,65.65,5.82,500.47,3.16,15061.68
102.31,47.57,114.71,20.04,66.4,6.22,484.95,2.96,18682.93
110.44,45.8,111.04,20.09,59.32,5.77,523.62,2.82,14457.23
