N,P,K,temperature,humidity,ph,rainfall,pesticide,yield
70.16,38.79,87.21,22.65,68.98,6.0,1009.21,4.07,24330.57
79.18,39.83,80.86,22.62,61.95,6.16,976.42,3.89,23841.13
77.41,39.89,85.2,21.49,62.64,6.28,986.52,4.03,27642.5
67.92,42.89,85.92,21.68,68.73,6.13,1007.82,4.23,20826.3
76.61,39.29,83.21,21.92,64.95,5.88,982.42,3.99,32364.19
72.05,39.39,87.36,21.78,62.74,6.09,1081.17,3.52,21483.08
73.74,39.47,85.6,23.14,63.49,6.26,1007.66,3.78,26677.67
81.65,41.06,80.69,22.08,64.36,5.9,985.67,4.3,23094.06
75.38,41.31,83.39,23.21,62.25,5.83,891.98,3.72,20315.15
73.14,38.52,87.49,22.91,72.39,5.92,979.0,3.92,23507.02
74.97,40.64,85.27,22.78,58.25,6.33,989.2,3.84,24991.0
72.28,36.07,86.56,21.45,62.73,6.1,1012.16,3.61,21935.31
70.94,36.12,85.2,20.88,68.45,5.94,934.68,3.8,18258.91
77.99,38.59,81.08,20.83,63.85,5.86,1059.16,3.68,20900.17
72.76,42.19,85.3,20.91,57.39,5.58,1083.7,3.94,18076.49
77.94,42.9,91.16,22.94,67.25,5.88,974.35,3.91,21199.41
69.46,37.64,85.12,22.36,63.45,6.09,1002.22,3.97,24938.03
81.6,39.28,82.12,21.72,70.34,5.83,1076.94,3.98,19213.72
76.03,40.44,79.77,23.22,66.3,5.4,1031.24,3.77,20488.28
72.78,41.3,85.68,21.29,63.78,5.77,942.44,4.32,23028.49
76.1,37.2,81.07,22.47,63.88,6.13,934.81,3.78,21229.59
79.29,44.54,88.91,20.64,63.48,6.49,918.46,3.97,15419.03
69.01,36.39,88.79,21.39,64.81,5.95,956.84,4.08,20206.5
71.67,40.95,84.77,22.48,69.72,5.64,1021.09,4.2,22384.03
78.15,38.45,86.54,22.09,66.54,6.22,1042.87,3.72,24254.59
75.06,40.74,84.76,21.63,63.06,5.92,1031.31,4.49,27647.14
73.63,36.1,87.82,23.33,63.8,5.43,963.48,3.98,18192.63
76.67,41.23,90.3,24.79,66.39,5.9,948.77,4.04,19823.55
73.96,44.25,85.54,21.64,63.96,5.78,1057.97,3.61,20845.59
78.11,38.37,84.57,24.66,61.42,5.96,991.28,4.06,22412.41
78.48,40.39,82.51,19.34,68.51,5.82,1015.47,4.09,21005.1
74.7,40.8,83.67,22.23,68.33,5.9,947.89,4.11,27069.93
78.6,38.93,83.94,20.97,67.6,6.02,1123.78,3.74,19107.34
74.63,42.2,83.11,21.02,64.16,5.87,1054.03,3.89,23708.38
72.13,45.14,93.96,22.0,69.88,5.96,1088.5,4.01,16276.52
65.68,41.99,88.06,23.77,63.17,5.73,1003.29,4.04,17546.28
75.82,42.2,85.24,19.92,65.26,5.72,1006.21,3.92,23473.52
73.15,39.95,88.79,20.54,69.93,6.12,1059.12,3.88,21505.07
70.48,40.18,84.86,21.89,63.31,5.32,1054.53,4.38,20619.65
72.86,38.98,77.37,20.65,64.47,6.23,1055.45,3.77,19713.1
76.34,41.47,83.01,23.68,69.66,6.2,967.41,3.67,21449.89
75.2,38.17,90.61,20.58,66.38,5.35,1037.61,4.01,19362.36
72.42,42.79,94.08,22.29,62.26,5.67,1044.45,4.27,18603.63
80.9,41.15,84.61,22.74,63.4,6.45,1069.74,4.22,19084.15
73.87,41.32,85.69,21.73,64.53,6.35,1075.68,3.63,23253.24
71.85,38.5,85.91,22.0,66.78,5.61,1022.25,3.96,25087.31
72.06,40.53,85.26,23.69,65.93,5.85,982.69,3.9,24797.97
73.75,40.26,82.58,22.71,68.45,6.38,946.64,3.96,24131.94
76.46,39.39,79.53,20.47,65.36,5.75,1071.2,4.31,20016.57
77.13,44.7,89.44,22.19,66.37,6.39,1054.02,3.94,19309.38
70.97,39.96,89.2,21.93,59.48,6.01,1113.81,4.0,20158.19
78.13,41.41,80.34,22.06,66.84,6.37,958.61,3.91,23222.1
71.94,38.03,89.61,19.58,63.81,6.01,959.01,3.94,19998.69
78.0,39.18,82.95,22.46,63.02,6.77,997.98,3.82,21935.7
76.16,40.19,85.86,22.44,67.1,5.82,978.04,3.98,30442.17
74.27,42.06,87.47,22.24,66.11,6.33,940.6,3.81,23350.15
81.99,37.54,83.97,21.12,69.12,5.81,901.13,3.88,16375.35
80.46,40.36,78.24,20.8,62.64,5.66,934.48,4.03,18355.07
79.31,38.12,81.34,21.22,67.42,6.0,1008.77,4.08,24793.94
74.31,41.15,83.41,20.83,66.12,6.31,963.25,4.2,24306.52
78.47,41.66,88.59,22.6,63.21,5.76,962.01,4.31,21948.32
71.34,35.47,81.94,24.56,60.1,5.83,1100.01,3.74,13094.89
73.5,35.59,83.78,20.36,67.91,5.85,966.19,4.21,19353.05
76.41,34.93,87.75,22.63,65.56,6.05,963.72,3.84,21575.41
73.75,41.15,75.64,20.84,63.87,6.13,984.85,4.23,21963.05
77.05,42.39,88.63,22.61,62.31,6.08,954.73,3.74,22093.55
71.36,40.57,86.99,21.4,67.03,5.85,973.67,3.92,25381.33
72.45,38.97,78.45,20.38,68.0,5.92,1058.79,3.83,19507.45
78.72,43.46,83.88,23.3,60.56,6.14,1045.89,4.0,19214.23
78.05,37.52,80.93,22.48,64.91,5.59,1000.46,3.99,23649.54
73.21,39.09,83.51,22.35,64.85,5.98,1012.6,4.2,29899.99
80.18,38.1,87.3,21.91,70.82,5.79,1044.72,3.89,20386.17
73.9,45.37,85.56,21.77,69.35,5.76,1088.59,3.62,16999.89
73.47,40.56,79.6,23.62,62.04,6.02,975.07,4.4,21951.12
77.39,40.51,88.78,19.2,68.27,6.44,1034.65,4.19,17843.26
77.13,39.58,81.34,22.18,64.02,6.15,1029.81,3.96,27883.99
74.04,38.51,78.22,22.48,63.27,5.95,939.39,3.75,22250.24
76.16,40.63,79.01,21.28,62.24,6.53,1004.19,3.96,22890.42
69.93,38.16,77.08,22.65,57.79,6.19,1064.72,4.04,17015.86
73.81,37.04,82.34,22.75,64.74,5.87,976.42,3.88,24650.42
74.41,40.75,83.26,21.36,68.58,6.09,937.19,4.26,24494.1
80.51,39.04,78.68,21.0,65.04,6.14,981.54,3.88,21828.09
80.69,40.12,86.19,23.97,61.23,5.79,987.19,4.33,19557.98
80.42,40.42,88.03,20.89,69.48,6.06,1012.25,4.03,22651.17
82.76,38.42,87.22,22.04,68.21,5.59,1035.37,4.17,18853.49
81.02,39.75,79.04,22.85,63.08,6.03,1073.25,3.78,19105.18
70.85,40.23,89.08,23.58,63.87,6.16,962.14,4.05,21874.28
77.1,38.88,82.72,20.1,67.26,5.8,974.6,3.87,23046.06
69.42,38.99,86.37,22.39,67.61,6.43,1003.95,4.28,21200.4
73.07,43.83,92.9,22.81,69.17,6.12,973.03,4.5,17717.69
76.49,40.67,80.31,22.1,66.39,6.07,974.29,3.86,27948.54
66.17,40.33,84.69,22.81,65.2,5.88,1102.67,4.24,18180.53
72.5,38.68,84.57,20.51,68.14,5.88,965.12,4.34,22282.84
69.96,38.79,81.13,22.42,63.16,5.99,1084.86,4.18,20650.92
72.36,40.58,85.05,22.07,67.09,5.6,1008.78,4.11,26906.39
71.41,38.6,87.25,22.02,68.53,5.9,1059.88,4.02,23387.57
69.59,39.5,84.23,20.21,69.89,6.18,983.66,4.13,20718.09
76.61,40.31,87.07,22.31,62.49,6.02,1009.47,3.83,29756.91
76.54,38.18,83.47,21.39,72.48,5.58,932.69,3.95,19984.06
77.16,39.9,89.31,21.7,62.87,5.98,1025.96,3.94,27399.71
80.01,39.73,87.21,19.71,62.95,5.61,916.33,3.89,16821.97
73.13,37.86,84.77,22.44,66.11,6.15,940.28,4.11,23963.27
75.48,41.66,84.13,21.83,62.67,5.6,896.22,4.09,22306.3
78.94,38.06,85.56,20.37,69.34,5.68,1062.34,3.91,18568.04
67.89,38.31,84.31,22.34,66.58,6.45,923.03,4.32,17787.0
74.66,41.43,80.27,23.52,61.34,6.41,1039.29,4.05,20743.44
75.58,44.15,82.48,21.99,65.13,6.34,1029.44,3.83,22584.91
72.92,42.77,91.73,22.09,73.75,6.18,1029.61,3.79,19048.89
77.73,38.73,76.9,22.85,64.26,5.56,963.04,4.09,19855.37
82.01,43.84,82.71,23.8,65.7,5.76,936.06,4.05,15912.49
75.27,37.36,82.02,21.48,64.49,6.07,913.25,3.79,22156.16
79.02,37.75,88.71,22.18,65.73,6.72,992.34,3.95,21327.27
70.5,41.34,86.11,20.32,67.61,5.98,969.76,4.24,21310.03
78.84,39.23,83.73,20.46,65.97,5.85,1011.76,4.16,24025.73
72.68,42.54,80.45,21.55,62.24,5.35,1087.29,3.87,17959.76
77.39,40.47,89.97,21.95,65.45,6.41,1025.89,4.03,24975.93
72.85,40.02,79.86,22.89,64.17,5.96,942.14,4.08,23797.13
73.34,40.17,82.56,21.21,61.69,6.11,987.77,4.4,25975.43
74.66,36.35,86.97,22.66,59.67,6.01,912.06,3.87,19483.71
76.51,40.85,84.75,21.41,68.03,6.05,1076.13,4.12,24890.27
81.42,38.64,78.67,21.14,65.43,6.0,1048.18,3.79,19479.27
75.81,40.12,83.42,22.99,67.59,6.04,940.91,4.18,25520.53
75.3,41.13,83.29,22.55,63.32,6.03,1020.03,4.17,29181.42
75.13,40.34,85.22,22.84,65.34,6.48,992.76,3.95,28436.67
78.52,39.92,83.35,21.47,63.28,6.4,959.6,4.09,23797.56
73.87,38.24,80.65,21.46,60.46,6.26,1059.25,3.67,20007.68
66.14,38.51,83.19,21.25,61.95,5.95,932.14,3.97,18588.49
69.49,42.53,75.7,21.28,67.61,6.59,982.68,3.62,15629.7
73.28,39.82,87.14,21.92,69.57,5.94,913.08,4.06,24186.8
74.26,36.27,80.55,21.92,65.32,5.52,1049.02,4.2,20196.42
72.43,42.35,90.32,23.38,58.08,5.61,998.76,3.78,18246.13
73.46,36.67,82.42,21.98,71.68,6.5,1063.3,3.83,18095.23
76.14,38.29,83.85,20.2,66.33,6.31,1075.58,3.99,20676.6
70.34,40.48,81.78,23.05,69.04,6.08,1073.18,4.03,20316.73
74.61,42.28,84.9,23.01,62.05,6.36,1018.08,4.03,24116.2
77.65,39.96,87.93,22.36,63.82,5.96,965.33,3.79,27027.11
75.43,41.8,85.48,21.84,67.46,6.18,1027.83,4.01,28532.06
76.04,42.72,88.28,22.52,63.53,5.57,988.58,3.74,22060.35
73.01,41.57,81.98,22.02,71.54,5.93,979.04,3.78,24017.36
77.56,40.8,81.78,21.74,67.35,6.08,907.23,4.07,23310.44
75.31,37.73,77.14,23.13,64.86,6.23,940.19,3.84,19628.07
74.09,40.37,85.47,20.9,59.21,6.31,919.56,4.12,22413.2
78.73,35.03,86.7,23.85,64.54,5.81,1038.66,3.93,17936.95
76.48,39.95,82.86,21.25,71.87,6.53,958.7,4.0,22019.0
72.52,40.87,88.55,22.2,66.1,6.31,1029.59,3.87,25067.54
