N,P,K,temperature,humidity,ph,rainfall,pesticide,yield
54.54,30.83,73.44,15.98,68.62,6.22,702.69,3.91,11237.75
58.24,36.08,73.8,14.86,74.01,6.11,688.09,3.96,14064.19
64.77,38.12,70.71,16.2,67.68,5.73,736.38,3.86,10623.34
56.62,35.85,81.72,15.63,64.89,5.89,762.37,3.98,10428.94
60.45,36.87,77.65,16.47,65.26,6.49,654.84,3.87,12402.73
62.99,36.8,74.82,16.35,74.89,5.63,716.93,3.96,13305.49
58.31,34.31,78.39,15.79,66.37,5.51,637.95,3.95,11509.33
57.55,37.41,74.35,16.16,76.29,5.77,698.23,3.84,13059.64
59.71,32.33,73.83,16.46,68.15,5.92,718.4,3.75,15253.45
58.48,32.66,75.44,15.57,68.83,6.21,685.9,3.98,13853.48
64.11,33.1,73.54,15.8,69.64,5.85,742.77,4.22,11711.11
56.07,32.53,73.03,17.85,73.87,6.43,729.78,3.68,10885.48
62.24,34.0,77.91,17.09,72.34,5.86,636.17,4.1,13944.97
58.76,34.24,80.83,16.16,66.25,6.29,647.84,4.33,11815.01
62.46,36.85,74.95,15.98,72.94,6.15,700.28,4.36,14151.57
60.05,34.15,76.22,16.46,72.05,6.24,679.06,3.84,16713.34
60.99,34.15,72.11,16.35,74.64,5.67,748.73,4.31,13059.38
58.54,37.5,78.27,17.68,71.47,6.5,766.06,4.12,11217.8
62.32,35.7,72.09,15.29,69.36,5.86,717.27,3.65,13365.87
60.7,35.63,80.15,18.14,70.96,5.5,693.82,4.06,13514.26
60.06,34.97,77.85,16.49,66.73,6.53,792.68,4.05,13109.46
62.21,37.27,75.26,15.9,68.28,6.67,669.89,3.66,10831.3
62.49,35.75,77.59,17.47,67.58,5.64,736.09,4.08,14061.08
65.6,34.84,75.1,16.21,66.01,6.1,663.51,4.01,13421.12
60.45,36.81,73.53,17.18,72.62,6.69,688.24,4.01,14304.93
58.88,34.75,77.2,17.99,70.55,6.27,697.57,4.07,16663.41
65.28,35.01,73.08,17.35,66.73,6.0,677.89,3.85,14229.54
57.58,33.5,78.63,18.29,68.61,6.15,579.84,4.03,10312.73
65.02,35.54,81.53,16.64,73.99,5.79,704.38,3.99,12958.39
58.71,35.88,80.41,16.05,62.19,5.86,742.43,3.89,12104.72
59.85,36.3,81.11,17.6,70.39,6.12,686.38,3.94,15868.46
57.62,34.86,76.71,17.51,70.02,6.24,727.67,4.03,16426.41
65.95,36.01,70.68,15.07,64.92,6.49,722.97,3.97,9314.2
57.76,36.44,76.08,16.12,68.29,5.85,721.69,3.82,14559.11
60.93,34.85,73.42,15.58,69.95,6.0,691.66,3.71,16792.57
64.81,32.23,75.83,17.88,65.82,5.48,682.11,3.71,10378.08
55.37,33.2,78.38,15.58,70.95,6.4,760.68,4.0,10340.23
62.73,35.12,80.93,15.03,67.69,6.26,715.79,3.84,11658.03
61.1,36.87,71.26,16.65,73.52,5.54,671.12,4.15,12842.5
56.22,37.37,77.14,16.68,68.11,5.75,731.37,4.01,13592.56
63.18,34.94,78.43,18.61,72.07,5.73,725.07,4.39,11872.36
57.06,35.77,73.99,18.24,66.88,5.51,720.77,4.19,12350.28
58.1,34.23,70.73,16.0,72.95,6.18,701.11,4.24,14373.67
61.4,37.44,84.03,16.82,70.37,6.19,696.54,3.91,14072.15
58.62,34.62,71.4,18.05,72.02,5.85,727.83,4.09,14801.48
61.29,34.93,75.83,15.76,72.88,6.37,650.36,4.05,14060.06
56.98,33.89,65.14,16.26,71.84,6.06,658.92,4.01,11898.15
63.54,37.54,68.65,18.39,69.34,6.26,722.82,3.78,10886.6
57.42,34.15,76.64,16.69,62.62,5.61,679.03,3.79,13105.49
59.84,33.76,71.67,16.7,67.72,6.41,687.13,4.4,14514.68
61.11,32.6,80.46,16.0,70.58,5.84,685.11,3.65,12650.06
66.29,34.61,74.34,16.66,70.39,6.29,607.74,3.9,11153.53
55.07,34.69,68.3,16.91,73.17,5.58,677.53,4.06,12154.5
62.41,33.86,70.43,17.06,67.62,6.44,743.24,4.02,13588.48
58.29,32.58,76.66,17.83,68.34,6.28,665.16,3.83,12903.1
64.12,35.37,69.99,18.39,72.53,5.82,719.5,3.92,12253.56
58.5,35.35,82.55,16.99,65.61,6.22,728.89,3.97,13881.5
57.91,35.27,73.99,18.05,70.19,6.03,794.11,4.21,12840.22
60.0,33.39,76.27,17.11,66.03,6.18,676.31,4.05,16597.45
56.53,35.07,74.24,16.93,66.04,5.63,704.72,4.13,15320.17
60.14,35.72,71.94,15.88,64.64,5.95,689.21,3.71,15287.31
60.15,35.9,75.2,17.06,71.99,5.81,760.63,4.25,15995.56
56.43,31.84,74.96,17.61,66.03,6.12,699.37,4.0,14205.86
58.5,32.2,74.14,18.69,65.48,5.83,674.22,3.59,11224.7
58.56,36.61,78.36,17.29,67.58,6.05,749.5,3.62,13686.89
56.05,31.59,78.7,17.0,70.91,5.97,661.76,3.83,13066.03
60.96,34.09,74.32,17.32,73.7,5.81,643.92,4.28,14450.93
57.07,35.1,78.79,18.07,72.32,6.16,671.73,3.89,13777.4
60.64,36.28,76.12,16.05,70.09,5.62,742.27,4.23,14167.18
57.36,36.45,75.28,17.35,68.48,5.52,682.44,3.88,14186.89
57.04,35.69,74.14,18.27,70.65,5.84,714.7,3.93,14947.83
62.65,37.93,75.77,17.91,70.03,6.02,694.76,4.05,15331.99
61.27,35.42,73.91,17.82,63.09,6.45,703.56,3.97,14528.63
58.88,33.32,73.64,16.95,70.85,6.32,714.05,3.89,16748.45
58.64,33.9,76.03,17.64,74.69,5.76,724.56,3.99,15377.46
62.63,35.08,80.36,17.97,71.17,6.1,677.24,3.77,13597.23
59.54,35.71,80.09,16.91,67.59,6.31,753.89,3.74,13683.94
61.73,33.27,73.74,17.77,71.98,6.48,643.86,4.16,12417.17
56.86,33.73,70.78,17.27,71.46,6.39,680.36,4.03,13882.85
55.84,37.26,80.72,18.24,72.08,5.77,653.22,3.59,9895.86
58.15,31.37,68.6,17.36,68.45,6.47,753.75,4.76,9188.83
63.48,37.64,74.9,17.01,73.76,6.33,688.24,3.91,13478.43
65.15,31.27,77.82,17.59,67.38,6.24,669.5,3.91,11009.93
60.23,33.14,77.2,16.35,75.66,6.03,665.09,4.23,13818.1
61.23,32.36,72.63,16.89,70.25,5.94,710.85,3.64,16001.62
63.44,33.8,71.54,16.15,69.96,6.92,772.8,4.02,10257.7
62.71,34.15,76.95,15.65,75.89,5.94,698.16,4.01,14851.36
61.05,33.43,73.24,17.67,70.55,5.84,599.86,4.13,12533.36
64.69,33.03,73.14,17.37,77.08,6.1,733.92,3.74,11548.47
62.23,30.99,70.75,18.0,69.93,6.0,764.13,3.97,11011.72
60.0,36.66,74.18,14.86,69.56,5.9,716.33,4.01,14736.66
58.37,35.96,76.14,17.22,69.02,6.17,691.85,3.55,16493.46
60.79,36.54,74.62,17.86,72.52,5.96,681.54,3.76,15774.26
67.47,34.17,74.68,17.56,68.33,6.73,655.09,3.77,9990.9
64.18,34.84,68.06,18.74,72.68,5.75,729.74,4.06,10783.19
58.02,35.88,74.32,15.63,68.24,5.77,735.71,4.56,12414.89
58.03,35.94,77.37,15.81,69.79,6.24,679.47,4.29,13962.58
60.26,33.57,74.35,16.01,66.27,5.72,741.4,4.2,13570.09
60.07,34.99,75.26,17.34,72.0,5.58,714.3,3.69,17369.95
62.64,34.1,74.12,16.6,69.19,6.1,708.86,3.92,17137.83
63.73,36.54,69.11,17.22,68.8,6.13,710.89,4.0,14805.63
62.28,33.69,77.62,16.6,71.28,5.38,687.88,4.12,13797.35
56.35,34.01,77.53,16.53,64.16,5.38,639.54,4.29,10392.49
62.74,34.86,71.39,16.1,64.84,5.73,697.46,3.49,12799.56
66.08,36.66,71.7,16.11,69.27,5.73,759.25,4.13,10360.28
60.26,32.76,70.03,19.14,66.15,5.94,671.25,4.13,11471.96
61.37,36.5,69.2,16.88,62.2,6.23,722.71,4.0,13161.42
62.73,38.03,79.02,16.8,70.28,5.87,641.3,4.26,12026.19
66.44,31.99,71.22,15.95,69.13,5.52,752.27,4.05,9341.83
54.55,35.53,72.9,17.25,64.26,6.28,715.2,4.39,12067.85
66.51,34.26,72.38,17.19,79.11,5.97,727.52,3.95,11794.69
56.49,34.97,72.31,16.7,75.6,6.13,681.53,4.43,13379.0
60.77,36.44,76.21,17.96,71.71,5.79,696.15,3.91,15844.48
57.84,32.73,70.55,15.3,69.16,5.45,695.47,3.87,10903.47
58.81,34.47,72.02,17.29,72.32,6.2,701.1,4.16,17193.16
52.74,34.51,74.82,17.41,69.42,6.0,683.0,4.07,14590.51
62.64,35.26,70.47,17.0,77.89,6.04,684.9,4.06,14909.58
56.89,30.52,76.32,17.55,69.13,6.27,681.99,4.31,11783.0
60.73,36.84,75.53,15.82,68.72,6.46,647.13,4.25,12311.34
60.83,33.9,71.46,17.45,70.11,5.89,745.75,3.94,15549.31
61.41,32.3,71.79,17.35,74.41,6.12,806.19,4.05,10981.63
60.58,35.19,80.75,15.69,70.24,6.42,679.74,4.06,13439.94
61.57,32.8,74.57,17.11,70.73,5.89,663.98,3.87,15799.19
59.35,34.94,78.36,16.3,73.4,6.3,751.65,4.44,12988.47
57.06,35.84,74.64,16.95,70.83,5.58,670.22,3.89,15455.7
58.1,33.24,72.72,15.95,68.18,6.25,705.48,4.23,14010.76
58.63,34.65,72.55,17.01,73.73,6.03,735.87,3.75,16044.06
64.5,36.14,69.81,17.42,71.47,6.38,728.81,3.95,12390.85
54.8,36.26,73.89,16.14,67.09,6.07,644.2,3.97,11979.13
60.05,33.74,77.01,19.91,61.35,5.84,715.61,4.19,11462.7
58.01,32.68,70.73,16.0,80.28,6.4,685.26,4.29,10327.32
59.82,37.97,76.19,15.31,78.0,6.2,639.99,4.25,10134.07
60.22,33.27,76.41,17.85,64.51,6.65,676.83,4.11,12265.34
57.58,32.95,76.31,16.1,65.22,7.04,707.66,4.02,10888.32
62.46,35.89,71.84,16.98,73.12,6.05,707.86,4.19,16443.93
61.77,34.76,76.18,17.17,62.61,5.69,760.66,3.99,13506.47
58.41,32.8,79.82,18.47,72.82,5.79,680.03,3.78,12024.85
68.57,36.42,80.78,16.47,70.12,5.92,709.35,4.15,11983.35
58.64,34.29,76.78,15.66,78.5,6.12,675.72,4.03,13851.77
61.65,33.08,79.31,17.16,70.16,5.83,755.33,3.64,12975.12
58.66,33.98,73.13,18.3,68.81,6.55,720.09,3.7,12676.87
57.63,33.24,78.33,16.89,70.0,6.05,758.35,4.13,14330.59
62.75,36.25,72.07,16.76,66.78,6.44,713.01,3.83,13895.4
62.88,35.34,75.74,16.76,72.03,6.17,711.28,3.92,17282.07
59.88,31.72,76.57,18.11,67.17,5.77,714.54,3.73,12836.21
59.62,32.79,72.15,16.78,74.25,6.0,655.55,3.77,13735.83
57.25,35.54,67.6,17.31,69.65,5.58,745.92,3.92,12660.49
64.03,35.22,75.34,16.72,70.45,5.67,710.12,3.89,15701.86
59.08,36.2,71.45,15.79,65.39,6.08,687.9,4.11,14602.57
58.86,34.4,70.52,17.92,73.44,5.8,724.57,4.09,14325.73
62.49,31.81,71.6,17.32,70.64,5.88,643.56,3.87,12404.83
59.28,36.53,73.91,16.66,70.3,6.07,718.67,3.71,16868.37
63.01,36.85,76.01,17.94,70.99,6.36,668.36,4.42,11940.56
57.62,36.61,80.7,18.81,74.65,6.41,715.25,4.34,10041.55
58.25,33.72,74.29,16.77,69.94,6.05,700.54,4.29,18451.53
63.05,33.61,78.4,17.08,73.56,5.86,758.77,3.89,13181.6
59.19,33.74,73.83,17.91,69.64,5.69,624.9,4.19,12871.11
61.32,33.14,72.89,16.56,65.3,5.36,731.6,3.94,12420.34
56.38,35.49,77.75,15.81,68.7,6.03,746.86,3.57,11964.29
58.04,35.23,71.15,16.76,70.93,5.71,643.59,4.13,14070.21
59.82,35.03,74.02,15.9,67.61,5.36,638.74,3.7,13035.59
60.29,34.3,84.05,16.06,73.16,5.88,722.58,4.06,13450.56
59.3,36.3,80.55,16.61,71.69,6.83,669.37,4.01,12125.24
62.02,36.67,76.71,15.66,64.36,6.21,717.49,4.11,12862.01
58.65,36.67,79.76,15.98,77.55,6.45,712.57,3.85,11539.79
62.4,36.42,72.6,16.51,62.92,5.79,668.9,4.05,13370.21
60.56,35.7,80.37,16.78,68.25,5.46,683.45,4.0,14692.56
58.82,30.73,71.0,17.17,68.94,6.19,712.46,4.04,14131.85
58.63,33.92,70.57,17.12,71.99,5.89,678.79,4.09,16050.91
61.67,39.09,71.02,16.66,77.01,6.36,671.16,4.09,10713.42
57.59,34.5,74.91,17.08,69.64,6.02,664.8,3.94,17625.16
61.61,34.88,74.01,16.89,70.99,6.61,647.41,4.33,14062.95
65.53,33.12,79.33,18.04,71.23,6.69,695.35,4.06,10298.32
69.56,33.49,76.09,18.21,72.77,5.68,742.14,3.89,9369.32
63.7,35.87,75.21,17.95,71.57,5.82,759.28,3.92,12448.52
59.87,35.23,79.15,16.54,67.44,5.38,725.78,4.09,14417.27
60.52,38.74,74.12,16.95,69.63,5.81,669.34,3.88,15077.12
65.04,33.73,78.36,17.3,74.79,6.29,747.85,4.07,11387.55
59.2,36.93,75.63,17.56,67.89,5.9,665.19,4.13,15133.34
58.48,36.85,70.93,15.93,68.09,6.2,733.48,4.02,13148.27
60.9,33.84,74.4,15.95,70.7,6.2,709.5,3.99,16424.86
58.5,34.39,71.64,18.04,69.24,5.58,675.16,3.78,13334.21
58.71,33.52,75.94,17.73,71.45,6.42,756.79,3.76,12858.39
63.99,35.35,73.78,17.11,70.21,6.29,701.45,3.84,16172.39
57.48,32.75,78.35,17.35,70.36,6.45,698.96,4.15,13725.3
58.8,34.79,75.86,17.19,71.03,5.56,706.54,4.06,17951.06
64.01,34.12,72.38,17.48,74.23,5.81,732.35,4.19,13055.28
58.44,35.21,78.3,17.98,74.88,6.0,727.38,3.73,14360.74
55.24,35.82,70.53,15.84,69.86,5.92,716.77,4.09,13007.59
57.89,33.61,75.68,16.76,73.84,6.06,734.76,4.02,15491.21
60.49,33.58,80.72,16.79,71.94,5.75,678.04,4.04,15216.42
59.85,33.32,72.52,17.62,63.67,6.1,706.39,3.87,15373.03
57.16,35.59,73.44,17.36,71.07,5.71,649.96,3.85,14115.4
61.93,36.67,70.86,14.84,64.39,6.38,683.61,4.22,10413.43
61.46,35.06,79.68,16.05,76.71,6.0,742.33,4.12,13195.55
