N,P,K,temperature,humidity,ph,rainfall,pesticide,yield
25.32,35.73,43.32,14.09,73.03,6.57,512.3,1.58,3333.39
23.69,38.8,40.03,14.42,68.05,6.37,498.82,1.48,3344.3
24.98,35.15,42.7,15.22,66.94,6.58,500.38,1.54,4290.19
22.18,35.95,38.03,14.99,72.37,6.7,512.76,1.48,3150.73
24.91,37.54,38.69,14.75,69.29,6.56,511.5,1.51,3967.3
24.39,37.06,37.98,14.86,67.96,6.69,488.94,1.57,3582.69
27.0,38.47,39.81,15.55,68.2,6.6,508.73,1.59,3072.99
24.7,39.35,41.56,15.64,66.74,6.94,463.03,1.41,2524.56
26.37,35.74,40.38,13.75,74.21,6.51,512.81,1.56,3341.36
25.88,32.15,39.11,16.25,69.45,6.64,491.2,1.5,3295.77
23.82,34.14,37.27,15.32,71.61,6.8,545.37,1.53,2972.87
25.38,36.72,41.46,14.93,69.89,6.27,509.01,1.48,4089.61
24.63,35.04,42.87,14.93,66.85,6.68,549.13,1.54,3270.45
25.38,35.03,40.83,15.46,73.63,6.88,448.95,1.42,3329.41
24.27,32.02,40.93,14.84,65.73,6.59,493.0,1.38,3433.5
25.97,34.63,40.17,15.06,71.82,6.64,495.81,1.41,4320.69
24.21,34.91,34.51,15.07,69.21,6.2,504.52,1.54,3422.87
25.94,30.77,40.81,15.93,71.86,6.52,510.07,1.42,3025.23
25.36,34.02,38.81,15.44,66.02,6.32,477.95,1.46,3670.81
25.51,32.05,35.9,16.2,74.34,6.11,490.72,1.6,2414.16
23.17,35.82,39.21,15.23,73.31,6.46,541.77,1.61,3050.05
23.97,31.65,41.2,14.02,70.7,6.63,489.12,1.57,3094.73
23.8,36.09,40.34,13.83,71.97,6.71,523.47,1.53,3246.1
23.04,32.82,38.83,15.38,73.66,6.55,484.28,1.39,3044.51
27.29,33.9,42.38,15.67,68.39,6.66,527.01,1.53,2822.92
26.94,37.47,44.59,15.59,69.31,6.5,469.27,1.5,2722.52
22.92,36.79,39.31,15.94,73.92,6.89,549.66,1.49,2446.37
25.24,36.65,43.63,14.97,72.6,6.85,474.3,1.55,3227.63
24.87,38.43,40.98,15.87,68.38,6.08,533.82,1.54,2826.28
23.92,37.46,41.06,15.81,71.72,6.36,575.4,1.54,2545.29
22.76,34.77,37.76,14.61,74.33,6.92,548.56,1.49,2571.84
23.27,34.73,40.93,14.91,66.17,6.24,519.79,1.47,3417.03
26.44,33.85,40.43,14.84,69.57,6.39,471.5,1.45,3584.05
25.16,35.52,41.83,14.91,68.85,6.45,552.12,1.45,3690.89
24.18,36.05,37.21,14.6,74.62,6.57,489.53,1.53,3577.51
25.9,35.97,47.59,15.35,73.28,6.93,508.01,1.4,2599.75
23.14,35.65,38.06,14.1,73.96,6.48,483.25,1.42,2979.19
22.97,34.35,42.24,15.68,64.73,6.81,497.73,1.63,2764.58
25.05,35.98,41.33,13.78,71.1,6.78,478.8,1.5,3516.6
24.82,34.52,37.06,15.22,67.99,6.92,460.55,1.48,3384.98
24.57,37.29,38.04,15.14,67.86,6.76,479.99,1.38,3308.71
26.28,37.36,37.02,15.41,70.85,6.62,435.19,1.51,2665.54
24.68,38.49,43.86,15.81,66.93,6.2,479.34,1.52,2732.11
25.63,36.48,43.29,14.29,64.71,6.56,523.58,1.51,3067.3
27.18,36.03,40.62,14.13,74.02,6.45,441.62,1.67,2388.87
26.06,36.72,37.89,13.61,66.44,6.0,505.85,1.43,2718.67
26.68,34.52,40.97,15.73,73.56,6.49,516.63,1.4,3238.76
24.01,35.39,36.87,14.46,70.45,6.2,533.06,1.46,3136.01
24.81,35.16,40.17,14.33,72.73,6.56,540.27,1.6,3805.43
25.7,35.7,41.13,14.25,68.38,6.26,486.26,1.54,3753.89
25.79,33.04,42.71,15.98,70.76,6.99,506.1,1.4,2862.31
24.53,32.74,39.31,14.48,71.96,6.66,475.59,1.58,3434.38
26.11,38.46,40.87,14.47,64.29,6.91,496.58,1.46,2850.71
25.61,36.38,36.04,15.05,66.6,6.28,494.55,1.56,3413.76
25.29,30.76,41.16,15.25,71.12,6.66,496.4,1.41,3460.13
24.66,36.03,38.99,14.26,72.74,6.11,519.2,1.49,3622.29
25.01,36.37,39.66,14.13,69.33,6.19,508.19,1.32,3478.91
26.13,37.04,37.16,15.98,68.63,6.12,500.87,1.53,3028.53
22.06,34.78,39.18,14.6,65.8,6.88,517.17,1.4,2752.23
24.48,36.18,41.43,15.99,64.82,7.32,524.33,1.47,2750.36
24.62,33.93,37.23,14.09,66.43,6.73,531.19,1.45,3007.44
25.63,34.44,40.03,15.07,69.63,6.15,526.13,1.44,4018.3
27.13,35.29,41.57,15.11,66.58,6.35,527.98,1.34,2969.64
26.38,35.12,42.12,14.93,68.56,6.25,520.66,1.58,3507.66
25.5,33.34,39.63,14.24,64.53,6.8,462.33,1.48,3077.92
27.88,35.79,39.39,14.36,71.6,6.78,523.29,1.57,2844.8
24.98,35.18,41.31,15.98,73.07,6.56,512.84,1.48,4095.62
25.39,36.75,39.85,15.75,67.0,6.87,527.35,1.6,3202.21
23.55,36.1,43.09,16.57,72.2,6.68,506.39,1.45,2864.25
24.59,35.14,39.25,14.76,63.2,5.54,464.17,1.43,2914.4
26.17,35.44,39.46,15.56,66.45,6.59,459.69,1.48,3355.91
26.02,34.41,39.89,15.15,80.26,6.97,512.62,1.62,3046.16
24.68,37.42,41.78,15.9,64.26,7.02,474.16,1.48,2724.32
27.39,35.84,42.81,15.27,68.95,6.4,513.92,1.5,3329.75
25.15,34.53,41.3,15.07,66.04,6.81,501.56,1.38,3981.87
25.77,34.29,38.37,15.65,64.94,6.59,468.73,1.47,3297.63
23.47,35.1,40.12,14.55,71.55,6.25,489.29,1.45,3772.22
26.04,34.59,39.32,14.59,64.33,6.17,496.23,1.49,3678.23
24.91,32.75,39.81,15.39,65.05,5.67,509.88,1.44,3041.28
23.19,37.11,40.66,14.46,76.22,6.52,485.6,1.37,2948.99
24.32,34.94,37.96,14.07,67.49,6.81,475.41,1.53,3327.58
25.58,33.17,39.12,15.04,73.91,6.75,527.18,1.47,3552.7
25.92,33.57,37.86,14.83,73.13,6.45,491.65,1.54,3837.48
22.96,36.35,39.41,14.4,70.17,6.26,506.71,1.59,3227.6
23.91,31.95,41.64,15.41,65.07,6.28,519.81,1.59,2882.86
25.77,34.16,36.18,13.95,69.74,6.48,526.66,1.51,3187.46
27.21,35.38,39.22,14.95,68.51,6.11,475.14,1.51,3377.2
26.24,34.56,43.54,14.63,68.9,6.34,531.19,1.52,3179.84
23.09,35.85,38.72,13.86,77.67,6.36,498.11,1.56,2910.38
25.95,35.84,37.96,15.71,66.08,5.93,466.67,1.56,2819.88
25.14,35.11,37.98,14.76,64.96,6.86,503.84,1.46,3769.25
24.19,35.51,39.99,15.95,74.53,5.79,483.13,1.55,3017.92
25.43,32.79,42.12,16.12,63.91,6.34,514.78,1.41,2930.6
22.86,35.04,43.19,15.74,71.16,6.77,465.44,1.54,2681.59
27.44,33.72,41.34,15.61,69.31,6.51,509.83,1.51,3333.89
23.53,35.32,36.8,14.29,71.57,6.72,482.64,1.43,3075.03
24.48,35.39,38.31,16.43,67.63,6.18,519.09,1.45,3246.83
24.15,33.74,37.67,15.32,71.39,6.4,449.69,1.49,3238.6
22.42,32.89,39.15,14.42,75.5,6.83,513.28,1.49,2683.86
24.35,32.14,39.03,15.47,71.0,7.37,498.82,1.49,3004.74
24.36,33.97,39.52,15.6,69.83,6.76,536.11,1.42,3480.11
25.97,32.18,41.78,15.09,70.24,6.7,533.95,1.5,3348.5
26.16,33.04,41.71,15.93,82.43,6.35,515.53,1.48,2712.76
24.02,36.57,41.91,14.87,70.66,6.22,524.1,1.37,3424.53
26.59,35.97,40.29,14.71,70.93,6.24,490.58,1.49,3806.37
23.25,35.79,42.07,15.45,69.99,6.63,539.92,1.56,3016.16
24.0,34.03,38.96,15.61,63.94,6.53,474.23,1.56,3250.6
24.21,33.08,43.83,15.96,64.89,6.46,479.65,1.51,2895.21
23.72,37.51,40.36,14.39,66.0,6.64,523.94,1.47,3068.87
25.1,33.96,41.19,14.65,72.05,7.01,440.52,1.6,3008.11
27.45,34.51,41.66,14.08,67.61,6.86,469.27,1.41,2572.66
24.47,36.7,38.38,15.68,69.9,6.89,492.18,1.51,3564.11
26.42,35.08,39.48,15.53,66.21,6.46,453.69,1.59,3077.9
23.13,34.99,36.38,13.32,62.73,6.78,529.3,1.4,2221.67
23.87,36.05,38.11,14.66,68.41,6.7,527.14,1.42,3335.31
24.85,37.19,43.1,14.68,69.72,6.9,464.2,1.61,2928.87
23.81,32.87,42.31,15.8,66.46,6.7,495.58,1.43,3171.25
25.07,32.86,40.01,14.76,66.28,6.74,484.31,1.42,3721.33
23.14,35.47,40.46,16.7,67.59,7.12,492.23,1.56,2622.42
25.74,33.54,39.72,13.86,73.14,6.73,489.65,1.54,3433.26
23.96,31.22,40.4,14.5,71.1,6.16,448.79,1.42,2548.1
26.05,34.94,40.71,15.14,67.92,6.61,511.09,1.57,4099.89
24.34,30.42,41.91,15.79,66.95,6.01,508.84,1.47,2578.37
24.9,33.91,40.97,15.62,72.81,6.04,507.73,1.53,3699.35
26.23,35.21,42.44,14.3,75.54,5.93,478.43,1.56,2741.3
22.36,36.38,39.59,14.4,64.68,6.77,503.19,1.54,2878.0
24.17,34.48,37.84,15.01,65.36,6.69,516.58,1.45,3662.39
26.86,36.24,39.51,14.82,65.85,7.14,546.22,1.39,2529.07
23.82,33.11,37.0,15.26,65.79,6.47,476.84,1.52,3203.87
24.21,36.65,38.76,15.04,68.7,6.02,545.05,1.69,2981.21
23.64,33.74,35.69,15.42,69.53,6.55,501.97,1.51,3543.08
26.92,35.09,37.14,15.85,70.56,6.93,499.88,1.51,3070.13
23.57,38.15,39.47,16.13,75.54,6.67,505.81,1.54,2842.16
24.86,34.27,34.72,16.17,70.95,6.92,527.12,1.62,2601.46
26.63,32.6,44.63,14.51,66.07,6.62,501.52,1.53,2945.23
24.63,35.56,41.22,15.9,73.64,5.86,464.07,1.5,3108.89
24.62,35.73,37.0,15.29,72.23,7.0,483.12,1.56,3324.87
22.3,30.69,41.39,16.47,67.97,6.42,490.32,1.56,2431.33
28.09,32.28,36.33,14.79,69.61,6.43,478.91,1.45,2688.34
25.91,35.48,40.37,13.68,70.7,6.21,501.96,1.49,3649.83
26.05,36.08,37.89,14.1,75.73,5.95,508.56,1.41,2796.58
24.96,36.01,39.44,14.36,71.75,6.87,456.73,1.37,3195.88
25.19,38.66,40.86,15.51,69.37,6.76,538.55,1.44,2933.31
26.12,35.46,38.59,15.21,70.79,6.21,486.15,1.61,3699.59
25.16,33.56,38.42,15.3,69.58,6.57,498.75,1.51,4449.71
22.76,39.63,36.42,15.32,71.41,5.98,473.44,1.52,2308.52
25.09,35.91,41.29,15.18,65.42,6.08,491.07,1.44,3649.52
21.36,36.52,41.04,14.04,72.74,6.32,500.22,1.62,2576.88
25.57,33.51,36.82,16.12,66.08,6.11,533.67,1.5,2758.87
26.33,38.1,43.94,14.56,69.18,6.15,488.92,1.6,2728.43
27.27,34.58,38.9,13.97,75.72,6.3,496.85,1.46,2963.95
24.42,36.68,40.21,15.24,64.69,6.1,503.82,1.52,3603.27
23.55,32.45,40.83,14.32,70.87,6.68,483.54,1.5,3318.53
25.29,33.36,39.43,15.57,61.71,6.12,506.09,1.44,3223.89
27.83,34.98,39.74,13.6,75.02,6.6,512.67,1.49,2887.89
25.91,32.95,40.64,15.34,72.94,6.68,528.54,1.51,3441.48
25.82,34.75,40.78,15.53,70.95,6.63,529.72,1.54,3772.07
26.43,36.28,41.75,14.41,70.76,6.49,493.99,1.49,3817.13
24.66,34.59,41.17,14.7,68.31,6.2,476.07,1.59,3843.83
24.47,36.65,44.41,15.62,66.08,6.8,466.08,1.41,2627.23
24.05,36.47,42.27,15.33,70.07,6.48,487.38,1.45,3787.47
26.91,36.62,38.96,17.08,67.54,6.37,509.28,1.54,2739.33
27.33,36.08,39.64,15.51,65.46,6.49,504.5,1.74,3008.79
23.76,35.63,40.06,13.13,65.46,6.02,496.93,1.53,2883.08
26.54,30.22,42.29,14.89,73.05,6.57,532.39,1.47,2644.92
24.78,34.75,41.68,12.77,65.69,6.67,440.74,1.5,2616.51
26.08,33.97,40.13,15.35,72.7,6.28,516.01,1.54,3720.08
26.38,31.36,44.67,14.52,68.28,6.74,475.68,1.51,2640.96
25.61,34.3,40.17,14.85,70.13,6.69,530.96,1.51,4143.1
26.48,36.25,41.45,15.57,71.09,6.61,570.26,1.45,2745.53
23.82,34.78,39.89,14.3,68.88,6.87,517.89,1.56,3492.7
25.68,37.06,39.29,15.02,70.28,6.66,471.22,1.47,3777.28
25.17,32.76,41.36,15.3,69.86,7.06,502.07,1.52,3606.43
26.68,36.02,42.13,14.64,66.16,6.53,535.21,1.48,3068.66
23.56,33.43,42.77,16.54,69.51,6.64,485.7,1.52,2963.22
23.14,36.46,40.95,14.86,78.83,6.65,496.27,1.55,3164.82
26.73,36.21,37.29,13.56,67.41,6.32,512.08,1.42,2763.79
22.39,34.71,39.99,15.29,68.45,5.94,519.91,1.54,3072.82
23.6,30.53,41.21,15.68,74.31,7.02,484.94,1.55,2467.54
24.66,33.02,43.74,14.08,68.11,6.42,504.04,1.64,3077.57
26.3,35.74,43.17,15.15,65.4,6.02,495.53,1.56,3059.33
26.0,35.15,36.62,15.07,63.69,6.34,503.89,1.59,3410.02
26.88,34.85,36.87,15.09,71.74,7.03,469.52,1.55,2858.35
26.04,34.82,39.35,14.8,62.5,6.4,509.48,1.43,3648.84
26.13,36.78,38.98,14.3,71.36,6.2,528.81,1.44,3115.75
23.48,36.83,40.12,15.54,75.51,6.39,521.57,1.58,3071.04
24.67,36.82,37.82,13.25,66.96,6.85,494.8,1.67,2678.67
27.98,37.03,39.87,14.99,75.61,6.27,511.42,1.51,2983.24
24.09,33.44,39.49,15.2,72.85,6.2,461.43,1.45,3314.34
23.97,36.2,38.57,16.75,60.65,6.31,491.81,1.48,2831.73
26.2,35.32,42.19,15.02,72.49,6.45,476.81,1.52,3730.9
25.8,35.28,42.56,14.62,64.97,5.98,517.39,1.49,3180.11
26.33,34.69,38.15,14.84,65.97,6.34,461.96,1.59,3098.34
25.49,37.04,41.36,15.5,72.79,6.33,477.41,1.51,3508.95
27.43,34.28,42.05,15.27,71.47,5.89,477.79,1.44,2766.27
24.76,34.32,38.4,14.41,72.65,6.8,497.66,1.55,3832.68
24.01,36.34,40.9,14.56,69.25,6.18,517.85,1.42,3541.32
27.5,33.26,40.43,15.59,67.85,6.8,545.71,1.7,2378.65
24.24,38.89,40.68,15.59,70.83,6.1,421.33,1.4,2297.02
23.56,35.23,36.46,15.21,72.11,6.47,491.46,1.51,3673.29
24.95,36.24,40.32,15.21,73.22,5.9,435.55,1.5,3184.89
23.86,36.01,38.77,16.86,76.09,6.53,449.97,1.41,2424.46
24.9,31.79,35.05,16.26,63.46,6.92,507.26,1.45,2347.72
24.08,31.84,40.31,15.2,71.71,6.98,490.9,1.41,3122.14
24.76,36.26,39.94,14.29,69.06,6.71,490.04,1.55,3958.04
26.01,37.39,37.4,14.74,75.07,6.11,536.22,1.52,2758.93
26.48,34.96,39.63,15.68,72.51,6.21,483.15,1.61,3382.37
23.26,33.72,40.03,15.19,69.36,6.51,463.23,1.66,3217.31
23.97,35.12,40.92,14.29,68.44,6.45,518.26,1.28,3367.21
25.26,33.84,39.88,15.61,68.56,6.3,482.17,1.49,4076.4
26.41,31.77,43.0,14.78,75.71,6.59,489.2,1.44,2931.09
25.16,33.51,42.4,15.0,68.8,6.73,484.95,1.44,3834.29
23.22,34.79,39.35,14.64,69.26,6.72,505.14,1.5,3860.25
26.16,32.71,41.31,15.3,67.96,6.3,474.66,1.55,3278.58
24.95,34.6,41.31,14.92,72.31,6.49,506.52,1.45,4729.88
23.97,32.99,41.62,15.02,70.44,6.42,500.51,1.54,4187.67
24.82,34.43,42.0,15.3,70.79,6.76,508.16,1.45,4020.33
