N,P,K,temperature,humidity,ph,rainfall,pesticide,yield
62.72,34.62,85.37,18.14,57.49,5.52,818.21,3.68,9707.77
65.97,32.94,82.86,17.88,62.71,5.86,863.99,3.26,10652.56
64.43,34.29,79.11,17.31,63.21,5.47,817.07,3.24,11931.14
64.54,34.63,85.11,19.18,66.19,6.2,838.01,3.39,11582.37
63.06,37.71,78.75,17.91,61.55,6.23,749.96,3.5,10912.9
67.18,35.81,83.28,16.17,67.26,6.22,815.11,3.29,10331.61
65.9,35.41,81.31,16.98,64.69,6.22,787.54,3.51,14248.12
66.36,34.37,80.69,20.37,68.56,5.89,854.24,3.35,9837.24
62.65,32.89,82.51,18.52,65.56,5.94,799.83,3.63,13164.43
65.31,34.92,80.42,18.73,64.67,6.27,822.2,3.46,14736.16
66.85,35.89,79.36,17.25,65.71,5.89,812.83,3.17,13120.48
58.94,35.7,73.88,17.81,67.44,5.8,768.5,3.58,10060.34
64.32,38.52,78.54,19.95,65.22,6.18,793.72,3.67,10072.34
64.63,33.73,78.79,17.7,66.25,6.68,827.17,3.52,11836.97
68.35,30.64,81.35,17.33,67.41,6.49,807.78,3.47,9261.85
63.21,36.69,83.07,17.96,64.83,6.01,809.92,3.57,14504.89
65.16,34.65,83.7,16.35,61.8,5.8,789.1,3.7,11575.31
60.48,35.41,84.58,17.94,67.28,6.17,791.76,3.44,11994.46
67.97,38.73,80.32,16.13,65.37,6.05,754.86,3.59,8961.41
65.74,30.16,77.95,16.34,61.31,5.36,828.79,3.67,7489.68
65.82,32.56,84.0,20.19,66.43,6.18,730.74,3.6,8511.9
69.62,34.12,81.01,18.32,66.0,6.0,804.12,3.63,13360.45
62.8,35.73,74.1,17.84,66.79,6.01,852.85,3.48,11707.91
69.17,36.52,83.17,17.77,66.79,5.85,837.05,3.54,11167.79
64.35,34.54,83.26,18.89,64.98,6.1,760.83,3.34,12571.72
66.8,35.54,81.09,17.21,60.16,6.25,804.15,3.47,12572.94
65.1,34.7,77.35,17.77,62.81,6.4,845.38,3.4,12891.69
63.96,34.72,83.75,19.38,67.95,5.85,792.81,3.72,11859.21
61.12,34.71,72.86,18.97,58.32,5.49,790.81,3.59,8564.27
64.54,31.23,79.05,19.86,67.41,6.37,863.71,3.55,8408.18
71.07,35.57,73.06,17.55,62.08,5.69,814.19,3.57,9609.0
63.58,33.94,80.66,18.93,65.37,5.89,736.87,3.39,11822.82
66.34,35.39,80.82,17.21,61.17,6.17,761.54,3.24,12139.1
65.15,37.64,77.9,17.33,70.28,5.63,759.89,3.43,10019.52
59.61,34.87,74.34,17.33,67.35,6.19,784.23,3.64,10428.93
64.87,34.36,79.16,15.67,68.16,6.11,782.77,3.46,12256.06
62.79,33.98,79.3,17.55,64.46,6.43,801.23,3.47,13112.83
62.7,33.02,85.58,17.47,64.0,6.27,802.38,3.53,11493.84
68.47,35.74,80.46,17.73,63.15,5.85,851.49,3.18,11102.71
65.92,35.82,81.03,17.03,63.84,6.14,813.83,3.46,13999.37
69.09,34.35,81.61,17.33,65.97,5.81,794.22,3.42,12481.34
62.81,32.73,84.92,17.47,65.46,6.39,754.72,3.21,9738.94
64.95,35.39,80.8,18.27,69.27,6.27,750.22,3.89,11953.96
72.18,34.8,81.29,16.29,59.84,5.9,822.3,3.55,9314.12
62.42,37.82,79.35,17.0,61.18,6.06,803.86,3.66,11115.04
58.76,35.27,80.12,18.12,59.07,5.57,733.54,3.56,9173.09
59.18,33.59,78.42,18.29,66.42,6.35,765.67,3.48,10382.87
63.89,35.64,86.28,20.25,69.83,6.07,830.97,3.41,9450.89
61.9,35.8,79.38,17.7,72.43,5.87,866.6,3.44,10140.32
65.66,36.39,81.63,18.34,57.82,6.24,765.8,3.41,11529.57
68.01,33.35,81.12,18.97,69.15,6.28,727.81,3.8,8714.35
66.86,37.53,80.96,18.32,65.74,5.37,739.48,3.52,10213.97
65.55,33.72,80.85,18.01,64.63,6.19,831.82,3.96,13045.9
68.92,33.99,83.88,19.65,63.2,6.09,821.01,3.65,10249.37
63.51,32.65,78.23,17.66,70.09,6.2,822.71,3.68,11240.85
67.94,35.7,81.76,18.12,67.56,5.64,813.78,3.39,12183.54
62.22,31.93,86.79,18.07,66.33,6.45,812.76,3.34,9636.17
66.18,35.89,82.53,17.91,67.32,5.57,820.31,3.46,12830.04
65.76,36.21,76.88,17.6,71.98,5.77,829.64,3.64,11317.9
68.18,34.2,80.18,19.32,65.5,6.26,861.52,3.51,10478.41
63.3,33.61,75.56,16.49,61.78,6.44,790.77,3.44,10038.3
60.44,35.52,82.81,17.39,71.2,5.62,820.87,3.26,9281.07
62.19,39.87,83.47,18.29,61.42,6.29,758.41,3.72,8497.93
60.0,33.01,83.46,16.39,60.78,5.82,872.7,3.06,7037.13
61.15,31.25,79.24,18.2,61.45,5.9,780.87,3.31,10203.86
67.4,34.2,79.93,16.06,64.44,5.78,773.13,3.28,10745.83
61.87,35.57,84.53,19.18,63.13,6.18,761.55,3.24,9887.61
62.24,35.77,78.54,18.3,65.84,5.88,794.68,3.45,14048.33
63.36,35.72,82.32,17.8,64.85,6.26,752.42,3.63,12800.41
69.08,35.65,84.17,18.13,69.83,6.6,847.05,3.77,8773.91
65.51,34.44,83.82,17.15,68.0,6.2,688.43,3.48,9878.85
70.82,33.38,77.37,16.87,62.77,6.44,725.57,3.57,7875.21
67.19,34.55,75.43,18.0,76.32,5.61,797.24,3.33,10006.92
64.9,35.18,81.68,18.16,61.89,6.0,828.26,3.65,14654.88
72.36,35.67,75.54,19.25,61.46,6.01,805.03,3.22,9343.04
62.05,36.56,81.95,17.6,66.79,6.5,764.09,3.71,10318.61
62.27,37.03,80.65,17.0,65.48,6.12,752.5,3.6,10627.07
62.58,33.28,78.96,16.94,59.86,6.17,923.14,3.33,8237.76
61.24,33.42,75.95,18.71,64.33,6.07,754.16,3.44,10771.92
66.6,35.55,70.05,17.37,68.99,6.2,821.91,3.37,10292.48
66.44,36.18,77.39,19.55,56.22,6.27,746.35,3.37,9149.23
58.62,36.67,79.47,17.2,61.38,6.19,815.19,3.61,10003.77
65.45,36.7,83.12,18.74,67.9,5.85,798.89,3.56,12778.48
63.97,32.78,80.01,17.97,65.08,6.36,907.63,3.65,10434.29
62.19,31.79,80.63,17.52,64.35,5.8,763.63,3.47,10870.91
60.52,36.3,73.39,16.41,63.01,5.75,829.97,3.51,9154.02
68.5,33.64,82.49,18.97,72.04,5.91,749.67,3.62,9532.8
69.6,34.18,81.79,18.69,55.81,5.93,814.78,3.87,9692.78
61.44,36.21,88.17,16.65,68.7,5.69,749.94,3.27,7905.63
60.9,40.42,71.06,17.79,63.52,6.04,839.55,3.38,8352.04
