N,P,K,temperature,humidity,ph,rainfall,pesticide,yield
94.8,38.24,182.08,26.22,77.61,5.41,1188.28,3.88,41105.95
102.39,40.23,159.93,25.81,83.29,5.54,1201.04,3.91,33102.04
100.98,40.81,190.84,22.41,81.43,5.56,1181.46,4.14,31141.24
94.85,41.75,168.38,25.08,82.77,5.51,1283.31,4.37,33703.74
95.34,38.53,179.34,25.62,88.95,5.01,1190.57,4.21,32631.95
87.16,36.78,171.5,26.02,78.33,5.29,1198.46,3.99,30875.9
103.84,41.41,191.69,27.27,80.99,5.36,1222.12,3.78,27033.17
94.61,40.79,173.7,26.32,70.2,5.18,1247.3,4.27,31062.0
101.77,40.42,178.34,26.4,79.69,5.44,1253.29,4.07,34255.59
95.95,38.45,194.92,26.59,79.96,5.39,1266.34,3.99,32601.81
92.34,38.68,173.79,24.95,84.51,5.36,1270.3,4.14,35386.32
93.95,35.77,167.81,23.42,85.7,5.23,1182.29,3.39,23927.79
91.91,39.5,168.19,25.85,81.17,5.93,1139.25,3.94,32560.99
95.74,34.56,173.31,24.11,82.79,5.27,1140.07,4.09,28804.67
92.98,40.85,170.49,23.55,83.51,5.77,1090.45,3.93,29617.15
94.69,42.85,162.39,26.06,72.81,5.37,1084.68,4.0,25397.94
90.04,43.06,177.63,23.83,89.66,5.62,1249.6,4.09,27978.51
94.16,39.87,190.0,26.38,84.73,5.83,1122.31,4.08,32538.79
103.24,44.05,174.44,23.83,80.2,5.6,1141.98,4.29,26247.45
96.09,42.15,165.37,26.39,82.98,5.54,1220.58,4.13,33393.04
98.3,44.9,181.37,26.47,79.18,5.39,1210.04,3.93,32368.4
94.61,40.11,175.34,24.47,76.97,5.56,1065.37,4.05,37096.08
91.29,40.62,176.8,25.92,83.48,5.74,1176.9,4.25,36035.53
97.99,40.74,185.23,26.47,83.35,5.6,1230.39,4.0,38271.82
93.48,40.84,185.88,25.6,84.53,5.93,1242.35,3.93,35510.43
89.92,44.92,173.14,22.89,81.4,5.74,1217.52,3.93,26070.94
97.97,41.06,185.72,25.37,78.63,5.41,1225.72,3.94,42819.81
102.24,37.85,186.35,24.12,77.98,5.58,1160.27,4.3,30359.46
99.7,42.04,177.08,24.2,76.38,5.56,1232.22,3.59,33079.43
88.84,38.31,187.24,22.4,86.3,5.21,1257.1,3.88,25639.18
87.91,36.6,183.87,23.07,86.48,5.61,1192.61,3.84,27570.68
100.49,43.55,184.5,24.05,79.69,5.23,1159.69,4.05,30776.27
96.35,41.71,175.69,26.08,85.43,5.78,1211.66,4.16,35081.29
98.32,37.48,188.68,25.51,78.76,5.23,1191.33,3.87,35497.92
81.74,41.19,169.62,25.55,80.78,5.28,1190.34,4.1,29452.34
100.31,41.28,172.59,22.81,80.72,5.74,1238.4,4.34,29003.54
103.29,40.46,160.29,24.88,77.67,5.66,1240.21,3.75,29636.64
97.44,39.47,164.49,25.81,72.6,5.95,1181.67,3.93,29886.24
100.87,41.47,174.83,25.85,82.94,5.34,1085.95,3.73,28192.44
91.55,38.58,191.63,25.45,78.13,5.49,1127.39,4.17,33956.42
94.5,39.93,189.23,27.49,83.37,5.4,1160.77,3.91,34631.46
94.8,39.2,177.54,27.99,79.41,5.71,1166.8,3.77,34951.72
96.66,43.82,179.74,24.72,75.91,5.74,1263.91,4.16,32102.28
88.83,45.65,175.87,25.6,79.57,5.84,1227.19,4.01,28081.59
90.62,39.85,181.99,25.31,78.91,5.63,1162.63,3.91,41384.77
100.86,38.18,182.58,25.86,84.21,5.72,1165.56,4.62,29213.68
99.62,40.1,171.07,24.84,72.93,5.92,1133.47,4.0,31118.65
94.83,39.37,192.13,22.55,78.16,5.26,1111.47,3.84,28772.82
105.49,41.96,188.84,24.6,79.24,5.96,1229.1,3.89,27769.99
96.52,43.29,175.12,25.93,85.96,5.6,1216.14,3.79,33177.03
87.23,42.02,179.53,27.03,82.96,5.66,1245.87,3.88,28744.47
97.37,41.83,185.94,24.41,84.86,5.0,1184.58,4.4,30670.99
95.22,38.8,173.21,25.5,84.17,5.8,1326.12,4.04,31980.01
92.69,39.29,181.21,24.66,74.7,5.63,1241.29,4.03,39967.76
88.67,40.78,187.05,23.67,78.83,5.44,1106.8,4.06,30795.32
94.24,37.63,177.87,25.51,83.3,5.47,1275.66,4.4,34292.7
90.39,40.57,184.61,24.99,79.61,5.81,1136.75,4.18,37070.09
92.17,39.05,179.97,24.07,77.23,5.33,1237.05,4.46,35531.81
103.55,37.1,171.82,25.13,81.89,5.78,1204.0,3.74,30524.4
94.81,40.6,176.58,26.2,78.86,5.63,1227.46,4.15,42463.63
100.86,41.97,176.04,25.64,83.38,5.49,1219.19,4.11,36345.67
93.45,42.09,185.59,24.47,75.58,5.32,1152.31,3.92,35188.33
93.48,37.01,160.68,24.04,83.88,5.32,1249.67,4.26,27458.39
99.87,39.58,182.45,24.34,83.28,5.63,1303.14,4.28,31917.42
92.75,41.45,175.25,22.22,83.51,5.16,1194.77,3.87,30499.09
90.74,38.82,183.51,24.74,79.13,5.36,1234.8,3.79,39240.53
101.79,40.68,180.29,25.22,69.58,5.32,1208.5,3.69,31246.7
90.34,40.05,191.7,24.11,83.81,5.28,1177.48,4.27,33166.4
96.72,39.21,185.78,25.94,74.62,5.61,1217.23,3.99,40787.94
94.7,38.92,190.9,24.56,81.89,5.39,1165.87,4.24,38744.4
99.68,39.12,180.55,26.79,79.1,5.53,1263.29,4.05,34329.28
92.85,40.22,175.02,26.95,79.71,5.7,1241.35,4.06,37452.44
94.76,39.23,183.41,25.8,81.43,5.81,1182.65,3.9,41332.54
97.24,37.0,175.16,25.17,88.65,5.48,1332.47,4.01,28694.55
94.7,38.37,179.5,25.22,83.16,5.1,1166.12,4.06,38930.09
95.02,39.67,184.01,28.01,85.74,5.73,1126.36,4.13,31477.96
95.24,40.48,172.87,26.27,74.99,5.51,1210.71,3.72,40018.66
102.64,35.76,178.93,22.96,82.1,5.44,1066.37,3.94,22931.42
95.97,37.02,184.72,25.33,81.45,5.25,1148.01,4.38,33808.19
95.21,38.82,172.9,25.29,82.19,5.16,1234.81,4.2,37504.88
90.48,40.38,181.3,24.67,89.96,5.77,1313.59,4.09,29096.92
96.82,41.34,180.33,25.78,79.82,5.42,1210.04,4.13,43652.04
92.04,39.14,173.17,25.52,79.68,5.5,1209.79,3.97,44510.29
100.03,37.34,171.77,23.93,82.35,5.24,1148.72,4.16,29922.44
96.37,39.85,178.65,26.18,80.11,5.56,1017.88,4.03,34667.48
93.35,43.98,192.18,26.76,83.98,5.77,1257.32,4.1,26343.69
100.68,41.37,183.76,22.62,81.29,5.76,1272.02,3.88,27686.73
92.51,42.3,183.03,27.4,84.9,5.83,1186.93,3.85,29708.16
100.12,42.11,176.03,25.95,81.98,5.34,1212.42,4.36,32891.95
88.58,40.68,186.18,25.83,82.45,5.58,1164.86,3.9,35461.69
100.39,37.51,183.14,23.8,84.14,5.24,1304.58,3.62,25629.65
96.57,35.09,165.78,26.58,83.12,5.74,1238.4,4.31,24843.17
91.73,41.49,172.77,25.01,76.61,5.68,1109.58,4.14,33397.72
102.37,38.72,197.56,24.37,84.41,5.87,1211.6,3.93,28147.11
99.94,35.16,185.42,24.39,83.94,5.24,1266.63,4.08,26693.86
94.7,39.72,183.64,25.31,82.2,5.36,1206.66,3.61,44701.48
98.31,41.47,183.35,24.78,86.53,5.48,1244.24,4.0,37454.25
91.66,36.21,188.31,25.18,79.45,5.59,1254.59,4.24,33013.89
95.11,39.11,176.6,24.1,80.0,5.08,1115.81,3.56,33871.35
93.42,39.15,201.11,27.12,83.43,5.09,1240.85,4.06,26822.61
97.53,38.07,177.66,26.05,77.59,5.39,1161.31,3.63,34856.88
90.18,37.32,177.03,24.74,77.8,5.53,1197.04,3.62,37207.19
94.0,37.11,185.35,26.21,79.64,5.93,1118.04,4.1,30316.26
99.66,37.77,169.79,26.09,74.36,5.73,1360.97,3.94,25082.82
95.93,40.26,170.55,24.51,83.21,5.66,1183.72,4.23,40021.53
94.54,42.42,172.46,23.88,74.34,5.15,1139.18,4.04,30320.17
99.81,39.39,182.96,23.76,86.45,5.21,1107.16,3.96,30070.42
93.63,39.42,173.0,24.52,78.6,5.32,1217.73,3.86,41741.6
102.08,40.82,194.74,25.94,82.35,5.13,1159.2,4.06,28863.35
92.7,40.65,171.24,24.88,75.82,5.39,1136.07,3.72,35815.11
101.02,41.22,173.37,25.53,80.14,5.35,1163.6,3.68,34755.46
94.92,43.64,175.74,27.09,75.5,5.22,1199.83,3.66,28731.0
96.06,39.76,179.15,25.02,83.4,5.31,1237.85,4.33,42372.97
83.71,42.13,175.56,25.77,80.55,5.52,1210.14,3.96,33167.12
96.66,37.33,194.2,24.82,87.79,5.93,1322.75,4.12,24645.45
96.8,37.76,179.67,25.46,76.64,5.67,1277.08,3.93,34807.55
93.19,40.19,172.62,23.69,81.89,5.18,1246.49,3.96,36283.15
98.3,40.06,188.39,27.38,85.47,5.73,1233.32,3.75,29843.23
100.72,42.29,169.46,26.67,85.54,5.36,1296.52,3.99,26525.42
90.78,39.22,187.61,27.2,78.53,5.9,1261.0,3.78,28203.17
81.76,38.38,165.01,24.84,80.35,5.53,1285.8,3.97,27373.59
95.04,40.18,175.05,23.59,72.51,5.25,1293.18,3.91,33267.13
93.38,37.84,178.08,25.12,76.35,5.5,1246.04,4.01,39768.84
94.78,38.51,197.45,24.62,77.68,5.68,1196.38,4.03,37634.96
100.3,40.43,191.65,22.73,77.36,5.92,1285.75,4.03,25858.83
90.7,40.04,189.1,24.8,80.85,4.91,1273.7,4.3,30530.47
95.75,39.55,200.15,24.44,75.71,5.68,1138.78,4.02,32794.59
94.57,36.84,188.71,25.65,82.4,6.07,1164.7,4.1,29707.36
82.88,38.5,173.01,25.2,74.93,5.61,1182.58,3.92,30241.68
80.95,41.25,185.49,27.45,87.64,5.23,1177.43,4.14,22322.48
103.2,41.06,181.65,25.34,76.34,5.61,1210.95,4.13,35348.8
96.06,40.3,191.83,26.49,82.91,5.32,1214.77,3.96,36737.0
99.44,39.97,164.59,25.77,79.39,5.2,1173.14,3.98,33925.42
104.07,39.24,188.82,24.45,76.38,5.44,1285.36,4.16,28257.09
95.49,40.58,175.04,25.85,77.01,5.65,1200.64,4.02,43571.46
95.59,38.55,169.99,25.84,79.98,5.27,1245.6,3.67,34570.01
99.98,41.35,181.25,26.33,76.5,5.4,1183.37,4.2,35266.51
87.63,41.22,192.26,25.95,78.57,5.64,1170.11,4.09,32093.79
97.88,40.49,181.39,24.12,82.32,5.34,1217.51,4.23,40514.29
96.47,40.97,193.45,25.04,71.37,5.14,1261.35,4.04,31518.37
93.47,35.49,181.34,24.22,80.54,5.06,1283.35,3.96,29531.99
98.31,40.18,173.35,25.79,87.73,5.46,1218.31,4.54,34151.78
98.59,39.35,185.0,26.07,84.65,5.63,1254.72,3.99,35606.03
96.92,45.38,188.11,25.41,80.53,6.06,1172.59,4.34,26034.2
93.47,40.94,189.34,25.17,79.84,5.68,1059.21,3.87,33405.24
100.28,38.97,175.26,23.68,81.14,5.59,1235.05,3.85,35157.6
96.28,41.72,194.13,25.51,80.94,5.45,1233.6,4.25,35550.51
88.28,38.7,184.6,25.2,85.23,5.69,1192.11,3.76,33367.52
89.69,42.71,185.47,24.62,75.93,5.38,1106.04,3.78,28786.05
98.95,41.29,202.03,27.27,77.36,6.04,1282.93,4.14,22055.14
93.63,40.42,198.17,27.6,77.64,5.42,1131.83,3.97,29035.76
92.52,42.32,198.29,23.64,86.1,5.45,1149.7,4.2,28137.18
100.55,41.02,188.5,21.97,77.2,5.51,1317.69,4.12,24759.09
100.3,42.66,170.54,25.95,77.22,5.13,1147.48,4.22,27817.38
92.13,34.83,174.53,25.41,85.73,5.02,1191.31,3.9,26931.3
91.74,40.69,171.08,25.09,75.16,5.31,1218.41,3.73,35836.71
99.87,38.48,189.46,26.1,85.34,5.53,1196.65,4.12,35479.97
91.9,40.89,170.85,25.12,85.72,5.34,1265.21,3.97,34307.74
93.34,38.29,182.47,26.03,84.6,5.24,1170.66,3.66,34140.94
99.78,37.45,166.31,25.98,71.05,5.77,1237.2,4.07,26920.56
97.86,37.19,179.89,24.13,82.11,5.49,1155.21,3.93,35948.86
97.8,42.23,180.9,24.15,87.74,5.42,1143.61,3.8,31734.99
89.51,40.5,173.3,22.81,77.74,5.64,1209.08,3.8,32403.24
94.07,38.83,178.08,25.23,78.91,5.55,1229.01,3.97,46629.83
101.34,38.65,150.27,26.91,74.04,5.69,1219.76,3.97,24506.92
95.54,42.03,191.03,23.72,81.05,5.67,1177.8,3.78,33927.37
96.63,40.71,171.74,22.37,79.44,5.39,1170.27,4.08,35635.14
97.27,38.14,180.05,24.1,80.34,5.62,1193.21,4.21,40781.97
95.36,36.93,175.73,24.18,82.51,5.53,1217.4,4.05,38679.77
102.05,36.84,175.05,24.16,79.47,5.56,1183.79,4.23,33347.81
98.7,39.58,163.09,22.86,84.41,5.42,1136.94,3.94,28311.71
93.89,41.11,180.92,26.27,78.1,5.57,1236.97,3.85,40203.64
102.34,36.85,157.5,24.69,80.71,5.47,1208.51,4.24,30650.31
93.86,38.56,176.39,24.67,82.4,5.56,1214.52,3.89,44196.0
97.17,37.42,172.95,23.21,77.23,5.7,1245.58,3.81,30321.13
96.79,37.0,175.08,23.86,79.15,5.64,1095.93,4.14,30419.71
96.6,39.64,178.33,22.8,70.45,5.39,1193.71,3.68,34781.93
92.35,40.3,173.14,24.14,76.87,5.1,1240.93,3.95,34895.2
94.76,40.98,170.99,26.6,88.37,5.72,1317.38,3.55,26253.38
95.67,41.3,183.31,24.2,86.48,5.38,1231.05,3.86,37691.71
89.29,34.97,181.95,22.98,82.03,5.58,1209.34,3.92,29225.07
98.7,38.63,194.37,25.94,78.47,5.82,1196.91,3.98,33892.08
102.11,41.99,168.83,23.32,82.28,5.16,1294.78,4.28,23701.81
100.14,40.39,189.23,25.83,81.98,5.5,1262.11,3.81,34155.81
98.97,40.83,181.87,23.57,81.98,5.67,1235.0,3.61,34024.25
97.5,40.79,191.36,24.39,79.0,6.25,1152.07,3.61,28051.42
90.65,40.51,176.85,24.9,86.06,5.28,1255.24,4.12,35312.63
97.42,41.88,189.28,25.76,74.66,5.52,1213.49,4.31,35024.74
100.89,35.71,181.94,23.54,80.98,5.85,1209.05,3.94,28675.02
94.06,40.17,180.9,24.2,83.55,5.62,1205.51,4.09,46726.94
85.32,42.26,184.04,24.27,83.0,4.91,1135.64,3.76,24308.42
97.38,39.0,180.46,25.19,79.47,6.21,1033.94,4.04,31350.71
101.99,42.69,182.87,23.56,77.65,5.56,1188.83,3.98,32989.02
96.96,41.44,178.05,23.83,75.91,5.7,1114.0,4.4,31404.87
97.58,39.34,192.17,24.18,81.36,5.55,1131.18,3.6,32529.91
96.75,41.88,177.14,24.0,68.64,4.9,1236.49,4.44,25619.96
92.51,41.27,191.56,26.08,83.32,5.7,1258.67,3.91,32605.58
91.42,35.54,183.54,25.7,79.85,5.52,1256.51,4.16,32134.84
95.15,38.49,191.16,24.79,74.8,5.41,1232.16,3.94,37209.0
85.46,41.03,170.86,23.63,78.29,5.6,1222.02,3.77,29960.3
90.93,38.69,182.15,24.76,78.65,5.3,1291.81,3.95,36103.81
93.37,37.39,174.55,24.86,78.98,5.17,1139.62,4.13,34653.88
91.44,40.74,169.27,23.22,81.22,5.53,1184.25,4.15,35787.16
98.22,38.3,182.93,24.26,81.91,5.76,1169.06,4.14,36669.04
96.4,42.47,179.08,25.72,75.2,5.43,1229.18,4.39,35508.76
98.32,38.28,172.51,24.26,83.52,5.75,1341.86,3.82,28029.22
93.96,38.2,181.13,25.09,79.57,5.58,1168.43,3.9,44535.08
91.43,40.37,166.71,24.3,77.01,5.14,1325.1,4.45,25889.43
97.56,39.57,169.27,24.4,77.96,5.28,1198.72,3.87,38240.24
91.33,41.57,191.87,24.59,82.84,5.54,1279.34,4.13,33076.42
90.48,40.84,190.42,25.38,76.67,5.41,1168.53,3.98,37525.78
89.51,41.94,186.0,24.9,80.42,5.7,1116.69,3.98,34589.96
94.53,42.44,187.95,26.08,75.82,5.02,1065.14,3.89,26638.71
87.29,38.96,182.05,24.53,79.52,5.57,1242.3,3.83,35052.15
98.63,36.99,176.9,24.24,85.24,5.79,1186.31,3.81,30815.43
90.01,39.95,196.48,23.61,75.52,5.06,1171.67,3.95,28128.05
88.34,39.59,186.02,25.44,77.95,5.39,1314.67,3.94,31443.91
92.89,40.76,184.07,23.48,82.14,5.81,1130.97,3.94,35062.34
104.19,39.09,171.82,25.47,83.45,5.06,1326.87,3.98,25235.54
85.25,41.61,189.74,22.18,78.64,5.48,1202.66,3.8,28211.79
100.6,42.15,175.28,24.41,87.6,5.97,1183.94,4.11,28365.37
98.25,40.99,168.82,25.08,83.08,5.49,1101.16,4.11,33983.88
97.51,40.84,172.58,23.44,76.14,5.66,1190.83,3.84,35557.41
92.1,45.53,183.03,25.57,77.54,5.42,1256.72,3.44,27562.76
90.97,40.78,177.84,24.95,79.52,5.53,1250.93,4.0,42978.1
88.12,38.11,180.73,21.79,76.92,5.67,1188.88,3.99,28799.22
92.28,41.48,185.25,25.33,85.16,5.67,1233.23,4.13,37226.4
96.51,39.64,196.97,26.08,74.95,5.13,1211.05,3.77,30838.12
96.17,39.29,177.89,25.37,76.2,5.15,1228.11,3.73,38028.33
102.36,37.11,158.4,25.27,79.32,5.93,1271.56,3.82,25097.58
97.85,42.5,186.09,26.65,79.09,5.47,1131.13,3.67,30737.43
95.43,42.36,177.75,25.44,81.52,5.93,1135.58,3.97,35345.95
95.91,41.1,169.35,25.39,81.7,5.84,1245.07,4.0,37303.46
87.35,43.73,175.98,26.73,83.42,5.4,1229.16,3.83,27303.78
94.1,40.92,172.8,24.37,81.84,5.4,1259.96,4.03,39957.36
95.59,42.58,178.2,24.79,75.98,5.98,1136.59,4.34,31336.46
95.2,43.27,186.82,26.01,81.79,5.59,1216.37,4.05,36517.57
90.61,35.65,171.9,23.17,79.09,5.48,1252.69,4.03,28522.49
