N,P,K,temperature,humidity,ph,rainfall,pesticide,yield
69.37,35.02,82.92,23.03,65.92,5.87,1035.77,3.95,24724.38
68.62,36.14,82.06,20.76,64.5,6.23,1110.33,4.19,15392.78
66.73,36.48,77.94,23.26,64.68,6.05,898.45,4.08,17654.43
72.34,33.58,79.2,23.65,66.38,5.69,1069.11,3.93,19024.56
71.2,36.93,86.74,22.1,70.31,6.19,1006.61,3.87,20131.48
69.01,34.42,86.0,26.71,77.64,6.05,938.95,4.31,13816.82
65.34,32.53,76.1,22.67,68.33,5.89,976.51,3.85,19412.42
72.9,35.13,83.83,22.48,71.06,6.01,975.22,3.85,23043.79
70.98,36.26,80.77,23.58,76.25,5.6,1055.81,4.03,19513.74
64.75,35.1,78.88,24.1,70.53,5.92,965.25,3.84,20366.21
71.98,35.6,75.87,24.89,68.05,6.16,1041.28,3.72,18442.22
69.32,34.18,79.08,23.42,71.48,6.45,1053.44,4.21,21876.88
68.75,36.18,83.01,22.98,67.48,5.78,1014.72,3.63,22026.94
71.46,36.51,71.71,22.68,71.3,5.83,1021.64,4.17,20204.94
68.77,36.14,81.02,23.9,70.85,6.07,1056.13,3.8,21592.83
68.1,34.35,83.77,21.71,73.77,5.7,1062.04,3.87,18006.28
72.15,35.98,86.73,24.48,72.81,5.93,1078.14,3.98,17207.66
70.62,33.62,73.0,24.48,68.42,6.04,1056.69,4.07,18363.66
73.25,35.73,86.44,22.51,72.66,6.16,1011.65,3.92,20717.87
71.15,30.2,86.0,23.78,75.16,5.62,967.87,4.03,14906.1
68.42,34.62,77.8,22.38,68.31,6.05,1029.71,3.84,24352.66
67.49,36.5,82.68,22.86,73.6,6.04,1035.08,4.23,21253.42
75.43,36.66,77.64,23.66,64.67,5.82,1058.36,4.25,16063.63
61.75,33.83,87.72,22.97,76.11,6.13,1022.64,4.03,16036.18
69.02,32.7,76.97,21.79,70.39,6.1,1012.94,4.06,21733.46
74.36,35.95,73.69,23.69,63.98,5.99,994.42,3.95,19688.24
68.53,33.2,75.15,22.14,75.88,6.04,959.23,4.08,18903.37
65.7,38.49,81.48,22.41,69.16,6.22,914.46,4.21,15941.14
64.85,35.24,82.33,24.48,73.5,6.23,1059.18,3.92,17055.32
73.19,36.46,79.25,22.29,65.38,6.11,1077.83,4.19,17845.98
70.57,33.51,77.91,25.52,70.43,6.18,918.3,4.08,17537.09
71.37,36.24,90.72,22.41,75.6,5.97,1042.39,4.22,16846.74
69.54,34.59,87.43,21.41,66.81,5.98,1011.09,3.97,21296.21
65.49,33.61,72.45,22.96,64.03,5.79,915.25,3.83,15166.96
73.54,34.18,78.29,23.74,64.31,6.51,975.99,4.1,17713.93
68.03,33.13,77.92,22.75,64.38,5.91,950.0,3.85,19617.36
66.88,32.84,71.38,23.26,65.87,6.41,1066.9,4.04,15345.56
68.35,37.37,81.04,24.88,63.48,5.75,954.94,3.67,15837.47
65.95,37.13,81.44,22.05,78.55,6.01,958.78,3.99,17446.36
65.87,34.37,80.13,23.52,67.31,6.72,1046.45,4.25,17267.28
70.9,34.54,76.82,25.49,69.78,5.84,888.51,3.97,17549.49
74.46,32.5,72.19,23.5,68.19,5.81,1042.25,4.37,16202.44
66.86,33.85,78.49,24.34,75.85,6.0,976.62,3.69,19184.39
74.41,34.73,80.83,22.41,71.65,5.49,1055.97,3.88,18834.63
68.67,33.57,84.58,24.05,72.38,6.02,1014.96,3.77,21267.71
66.29,34.97,77.36,24.93,72.48,6.25,1019.42,3.94,19078.22
76.61,35.39,81.33,24.01,69.34,5.68,1024.61,3.9,18346.66
65.01,37.96,79.35,23.64,64.25,5.98,1002.93,4.3,18168.01
71.23,36.94,75.99,21.18,69.41,5.71,1055.86,4.14,17356.02
73.09,33.21,77.97,23.53,70.22,6.36,968.84,4.1,20396.35
77.43,36.43,87.15,23.2,70.55,6.12,1116.71,4.11,14696.6
79.87,34.91,81.65,22.39,75.29,5.94,987.42,4.06,18268.49
72.44,36.21,79.65,23.32,72.47,6.03,1004.39,3.77,25058.96
74.32,35.0,86.43,22.04,62.87,5.94,1028.84,3.88,17896.09
66.53,36.16,79.77,24.56,66.04,6.36,974.08,4.03,18425.02
69.66,34.55,82.1,22.38,69.83,5.61,1074.32,4.14,21411.75
66.64,33.5,76.68,22.27,64.24,5.91,995.87,4.08,20494.88
69.47,30.58,76.53,22.05,68.46,5.55,999.8,3.99,17474.76
70.26,33.07,81.1,22.91,72.05,5.64,909.38,4.03,20289.5
72.06,36.53,73.66,23.29,69.7,6.07,1058.43,3.96,20436.45
64.47,33.84,80.38,22.17,72.54,6.41,945.14,4.16,16849.55
71.74,38.2,77.87,24.2,67.07,6.44,940.83,3.72,15429.45
64.54,35.37,76.14,25.19,69.06,6.24,1081.48,3.98,15407.9
71.55,37.24,79.16,21.18,65.91,5.71,1054.09,4.04,17265.21
67.56,34.7,75.42,23.72,68.59,5.68,952.15,3.98,20381.36
61.43,34.95,81.54,19.48,68.84,6.25,1046.47,4.0,14076.09
75.28,36.91,75.78,24.04,69.21,5.73,918.75,3.96,15704.5
69.56,37.69,84.25,21.89,72.55,6.78,1061.49,4.19,14758.28
68.32,35.9,77.58,22.82,71.52,6.34,1007.86,4.02,23961.06
66.34,33.54,76.44,22.77,63.83,6.18,1069.88,4.0,17936.39
69.57,33.45,81.0,23.8,71.22,6.09,1025.28,3.88,23526.2
68.1,33.32,79.6,22.83,67.94,5.95,963.12,3.81,22887.66
72.99,35.82,80.94,23.68,65.19,5.65,1068.07,3.97,18583.04
74.85,36.88,74.58,23.85,67.14,6.52,977.06,4.12,16094.34
76.81,34.96,78.39,22.21,67.59,6.4,919.83,3.85,16173.13
74.13,36.22,81.86,22.86,68.34,5.98,1029.55,4.18,22063.87
76.46,31.47,79.44,22.13,69.25,6.51,1050.11,4.03,15120.4
70.38,32.59,74.8,24.52,65.96,6.04,1053.1,3.92,17567.52
77.55,38.3,81.0,21.3,75.9,5.45,998.26,3.75,12523.1
78.41,33.56,84.99,24.24,71.31,5.57,1001.08,4.41,13946.71
74.98,34.09,83.64,25.4,66.36,6.16,976.61,3.81,16520.36
73.0,34.39,84.82,23.61,67.08,5.85,1012.26,4.1,21651.21
69.94,34.39,82.14,22.85,71.53,5.92,1055.67,4.06,24623.29
69.41,36.44,84.46,21.48,67.44,6.07,1010.86,4.08,21052.96
70.01,34.4,80.84,22.78,71.98,5.47,1031.39,4.15,22856.2
62.69,34.66,77.77,23.69,75.12,5.78,1021.48,3.74,16942.22
72.48,33.45,75.29,22.53,72.45,6.36,1032.09,4.07,19833.71
73.89,32.56,83.07,22.67,72.63,6.31,989.22,4.42,17926.7
66.16,34.42,82.67,23.92,75.42,6.24,918.84,3.57,15912.28
74.95,32.02,75.08,22.86,73.37,5.72,1036.3,3.85,16969.28
70.75,37.16,76.47,23.32,70.74,6.04,1059.05,4.08,20910.75
69.97,35.87,81.76,20.74,74.36,5.89,1009.48,3.87,21338.38
65.99,34.59,86.67,22.77,68.08,5.94,1038.31,3.71,19289.61
68.54,34.66,79.04,21.96,73.92,5.38,1026.8,4.01,20204.1
69.34,39.92,76.5,21.76,73.96,5.75,1030.77,3.9,15758.03
70.65,35.76,75.65,24.53,70.2,5.82,935.33,4.01,19994.82
74.45,35.4,81.34,21.76,69.1,5.99,982.26,4.06,21935.05
66.32,33.23,81.49,23.39,64.95,5.58,1010.66,3.91,18836.82
65.81,33.28,84.91,24.95,62.29,5.92,1034.97,3.96,16101.41
69.84,36.15,80.77,24.65,66.81,5.81,971.63,3.88,21301.82
62.35,34.07,77.12,21.89,74.98,6.14,1038.46,3.78,15673.99
67.6,34.63,78.63,23.13,69.99,5.55,1043.34,4.05,23105.68
70.66,36.2,79.1,22.66,72.17,6.06,1042.86,3.78,23564.96
65.6,34.12,82.75,22.67,71.51,5.53,968.51,3.96,19125.17
64.37,37.17,78.79,22.99,66.24,5.93,997.7,3.81,20503.94
62.69,35.83,75.93,23.61,70.97,6.5,953.49,4.29,15138.64
65.61,33.37,83.83,25.1,74.33,6.32,1000.04,3.8,15893.52
66.58,34.22,76.5,22.53,72.78,5.85,993.05,3.64,20918.03
71.28,34.9,81.93,23.45,69.3,6.07,929.68,4.09,23388.53
74.46,32.71,78.83,22.11,70.24,6.1,1024.12,4.43,18407.28
73.84,34.96,83.49,25.44,67.83,6.01,1019.94,4.05,19296.43
70.44,35.42,84.43,21.95,73.1,5.99,1014.19,4.1,23778.74
72.02,31.61,74.89,23.4,68.01,5.78,946.13,4.1,17487.02
76.31,33.1,80.06,23.75,70.95,6.62,1095.38,3.8,14500.41
69.63,36.15,78.33,22.92,70.66,6.25,1028.14,4.1,25354.05
73.76,35.9,83.48,21.42,71.56,5.8,1032.99,3.78,18365.9
73.99,34.22,84.96,24.58,72.59,6.18,1045.88,3.97,17345.84
62.53,35.2,81.98,22.76,69.24,6.06,1041.65,3.88,20234.1
73.27,34.97,79.48,22.68,76.0,5.88,989.39,4.13,22947.28
60.74,35.63,83.74,23.13,70.74,6.27,939.85,3.88,16811.88
69.77,37.83,82.74,23.07,63.11,6.05,963.37,3.95,19552.68
71.27,35.53,78.57,23.07,66.46,6.39,895.83,3.71,18963.74
73.54,35.84,84.38,23.8,73.7,6.32,1119.06,4.28,15027.31
72.28,36.53,78.89,22.32,72.99,5.97,1014.81,4.35,21669.33
70.53,33.55,80.05,23.5,62.14,5.59,913.12,3.6,16583.71
69.37,36.8,84.3,22.26,71.7,5.72,994.07,3.74,20114.4
67.98,36.41,80.65,22.3,66.62,5.67,1081.57,4.13,18676.67
72.47,35.4,81.06,22.09,72.87,6.06,1012.98,3.95,24313.65
70.26,34.73,87.2,22.02,68.64,5.95,951.54,3.95,20816.33
74.64,33.93,87.13,23.14,66.21,6.13,1005.17,4.18,19399.39
69.86,34.52,73.64,23.89,70.73,5.79,1074.71,3.94,19792.75
69.71,34.58,76.88,23.53,73.28,5.92,1051.46,4.01,23449.78
70.2,36.96,79.59,22.8,67.18,5.96,984.02,4.38,23393.93
71.03,34.25,86.29,22.05,75.06,5.67,1027.8,3.88,18503.64
71.19,36.02,79.43,23.78,68.42,5.6,975.05,4.03,22752.3
69.78,34.9,84.37,24.93,72.65,5.97,1046.36,4.21,19856.36
65.96,34.67,79.68,23.94,68.22,6.22,1013.96,4.17,21524.47
79.02,37.38,78.76,24.75,63.51,5.99,1004.24,4.18,15122.97
75.29,33.98,75.55,22.22,69.83,5.67,886.34,4.26,14955.51
63.72,35.93,82.64,23.26,71.27,5.99,1114.39,3.99,17294.7
64.89,34.59,77.55,23.88,69.3,6.17,931.53,4.13,18125.36
64.59,34.66,82.61,23.08,67.69,5.87,982.83,3.95,21995.59
70.41,34.75,79.4,22.85,73.0,5.49,1063.41,4.23,21914.01
73.41,37.4,84.45,22.35,73.9,5.69,981.78,4.17,17463.36
71.19,35.43,83.86,23.31,64.99,6.23,1017.04,3.97,22421.06
78.03,35.25,77.74,24.78,68.23,6.06,1158.81,3.97,13127.99
65.85,33.56,73.72,24.41,62.34,5.66,949.59,4.19,14629.94
68.93,38.47,74.77,23.19,71.56,5.59,956.44,3.74,17016.0
67.81,30.78,83.8,24.95,78.89,5.93,935.05,4.01,13543.2
70.15,33.91,90.8,22.08,70.15,6.11,927.32,3.66,16604.6
67.81,32.18,79.03,24.14,71.87,5.95,1077.52,3.88,17644.31
67.85,39.39,76.27,23.44,77.9,5.58,992.67,4.04,15569.51
71.3,36.49,81.93,21.35,64.68,5.16,964.99,4.16,15640.26
77.47,34.31,71.6,23.65,70.82,5.36,966.52,4.14,14142.11
68.3,35.39,88.25,23.42,65.81,5.68,1022.69,3.88,18814.08
72.0,34.67,83.43,24.24,73.94,5.95,999.56,3.95,23303.42
71.84,34.19,79.47,21.6,72.33,5.84,983.76,4.18,22397.86
66.76,33.71,87.14,23.85,69.26,5.89,951.24,3.94,18562.43
73.69,33.61,82.0,21.27,67.41,6.4,913.38,4.01,15992.14
69.68,33.73,74.66,22.41,71.47,6.14,1043.73,4.19,20408.78
70.1,34.95,80.2,23.84,71.0,6.24,1036.83,3.98,26640.61
74.81,30.44,83.46,22.86,68.06,5.95,1051.22,4.11,16874.16
66.21,34.15,80.51,22.57,69.27,6.0,987.14,3.93,24529.5
69.26,35.81,80.54,23.02,71.63,6.31,1015.58,4.05,25957.65
69.31,33.72,84.38,22.16,75.89,5.85,1027.83,3.93,20356.06
74.41,35.03,81.17,22.9,66.5,6.27,960.75,4.07,21072.37
71.26,32.79,75.91,23.27,76.46,5.97,961.93,3.99,19885.61
71.09,36.26,82.43,22.93,69.54,6.22,1029.87,3.91,24430.71
63.56,35.72,74.11,21.74,69.0,5.75,1003.92,3.73,16561.41
70.71,33.8,79.37,23.08,71.39,6.28,896.18,4.16,20636.54
