N,P,K,temperature,humidity,ph,rainfall,pesticide,yield
147.41,61.22,204.74,17.29,74.06,5.42,713.64,4.64,16022.65
133.3,60.4,220.15,17.31,74.34,5.29,695.16,4.66,15745.02
131.82,55.99,214.53,16.92,75.45,5.37,755.61,5.06,17758.49
135.17,55.81,238.81,17.07,75.12,5.2,738.55,4.81,15376.9
142.05,56.62,216.19,17.47,75.12,5.7,688.95,5.06,20939.32
131.37,54.56,197.32,17.3,76.36,5.81,652.05,4.85,15415.91
139.47,55.32,219.09,16.53,73.56,5.35,748.22,5.48,18107.88
126.2,52.39,224.18,16.36,69.76,5.42,698.38,5.16,14655.72
147.66,55.74,225.79,15.65,79.95,4.72,661.82,5.01,11558.69
128.08,51.4,215.99,17.13,75.05,5.79,720.45,4.99,16137.29
144.68,53.59,196.18,18.29,70.84,6.44,709.26,5.13,12324.04
147.01,52.13,218.15,15.85,73.72,5.1,684.32,5.2,14760.56
145.43,53.83,197.37,16.31,66.98,5.55,702.51,4.97,17721.87
135.92,59.62,212.48,16.99,72.01,5.58,679.45,5.25,17832.03
139.99,55.55,207.05,16.52,74.91,5.26,712.0,5.41,21247.01
144.64,53.0,226.07,16.21,72.52,5.73,670.52,5.05,16046.57
148.01,56.29,203.16,16.06,74.88,5.35,706.9,5.09,18288.54
153.29,55.36,216.34,16.76,61.64,5.34,646.27,5.55,11303.12
129.85,52.54,196.87,15.47,72.51,5.75,668.11,5.02,13392.06
150.49,55.85,210.98,16.22,73.37,5.59,678.75,4.94,17716.13
132.76,53.56,206.5,16.9,78.13,5.03,669.7,4.95,16520.34
144.8,58.53,196.03,18.13,75.64,5.46,701.36,4.97,17363.91
136.95,52.06,203.94,17.1,74.33,5.59,654.44,5.2,18605.71
136.08,53.0,191.13,17.61,76.92,5.12,735.47,5.39,14384.91
138.79,56.87,220.09,17.38,79.36,5.11,696.24,4.84,17540.04
135.3,54.2,196.08,16.91,77.79,5.39,684.94,5.3,18956.75
153.35,56.48,213.33,18.19,75.15,5.24,733.84,5.11,14212.26
138.56,51.27,198.02,17.77,70.28,5.39,665.07,4.72,14834.06
149.64,52.91,225.08,17.11,73.48,5.49,693.75,5.08,18537.97
149.4,58.1,216.43,17.18,74.46,5.77,628.3,5.32,13961.49
135.78,51.12,211.57,16.52,69.66,5.43,702.11,4.61,17377.6
130.1,50.7,208.12,16.71,77.53,5.62,725.96,4.95,16683.67
135.24,50.57,209.84,16.23,71.92,4.94,657.61,4.79,13632.21
138.59,57.12,213.66,17.99,74.89,5.51,748.26,4.68,17462.8
144.06,55.63,203.32,18.19,73.95,5.71,709.52,5.17,18236.4
151.0,58.06,205.29,17.03,80.29,5.03,739.5,5.06,13678.08
146.82,59.3,202.69,17.11,74.98,6.01,721.26,5.09,15649.36
154.64,59.46,203.34,17.06,76.02,5.35,668.2,4.97,14977.37
148.26,51.03,206.79,16.7,73.33,5.17,679.16,4.53,14985.07
138.8,59.31,203.33,18.34,80.1,5.61,762.32,4.6,12789.74
135.77,55.22,216.82,17.0,72.83,5.52,693.82,5.07,23250.86
142.32,54.07,209.24,15.58,73.07,5.56,758.52,5.11,16884.07
133.39,52.57,206.72,17.55,73.55,5.51,718.02,4.43,17454.01
