N,P,K,temperature,humidity,ph,rainfall,pesticide,yield
92.2,50.86,107.98,21.53,65.2,5.85,555.71,3.65,14285.8
89.28,51.35,113.83,21.82,71.84,6.32,584.37,3.58,16772.08
80.46,51.01,104.47,20.85,76.07,6.1,593.81,3.45,12340.4
90.25,51.45,113.18,21.51,69.9,5.7,627.21,3.61,16243.86
93.03,45.42,122.05,22.71,70.83,5.86,603.43,3.34,12873.47
94.82,49.41,118.4,20.62,70.47,6.12,577.25,3.63,13108.9
92.55,51.12,108.83,21.38,68.74,5.86,573.08,3.22,15776.16
93.22,51.73,108.02,23.6,66.76,5.89,628.27,3.56,13961.91
85.06,53.43,107.96,22.35,72.65,6.14,599.3,3.72,14714.85
78.16,51.46,106.08,22.66,70.65,6.31,590.27,3.41,12179.81
89.37,49.09,107.07,21.51,71.69,6.14,587.39,4.07,16284.41
83.32,51.53,107.96,21.27,67.51,6.35,604.14,3.6,13378.69
91.52,51.42,113.04,23.71,69.77,5.88,610.09,3.26,15541.42
83.61,44.8,114.92,22.16,68.81,5.46,560.39,3.57,11043.25
96.23,52.4,104.84,20.05,72.72,6.0,596.24,3.38,13083.02
90.1,52.5,115.15,21.94,64.7,6.5,662.72,3.43,12047.85
90.96,49.93,112.83,22.37,70.88,6.03,591.62,3.65,19607.49
82.65,48.9,107.31,23.13,62.76,6.01,593.99,3.52,13898.37
91.95,50.99,111.06,20.73,78.13,5.65,574.09,3.59,13366.04
86.23,50.68,102.54,21.91,74.95,6.06,555.28,3.5,13529.57
91.52,49.4,111.32,21.2,73.46,6.29,566.75,3.78,14900.94
99.03,48.62,106.41,19.66,68.35,6.6,533.65,3.52,8791.17
93.21,50.39,115.54,21.72,71.58,6.28,579.75,3.54,15838.57
86.81,46.36,105.27,21.45,70.12,6.43,651.44,3.43,12270.73
100.82,48.43,114.81,22.19,67.0,6.64,638.42,3.62,10121.12
95.32,52.56,103.6,21.78,65.93,5.94,658.53,3.48,12026.69
87.41,54.41,112.39,22.46,72.96,6.46,578.94,3.81,12014.17
83.01,46.56,107.17,21.18,78.44,5.4,608.8,3.71,9848.1
87.49,48.14,109.13,19.71,73.16,6.08,602.15,3.48,15153.43
89.9,50.79,113.61,23.01,71.02,5.62,569.88,3.24,14786.7
94.26,50.63,105.72,21.99,70.66,5.97,596.7,3.46,18670.03
90.14,51.21,105.15,22.99,68.38,6.31,628.52,3.47,15321.76
