N,P,K,temperature,humidity,ph,rainfall,pesticide,yield
32.97,15.88,25.68,26.05,66.04,6.81,482.42,1.85,445.19
33.95,14.83,24.03,26.94,59.36,7.18,479.51,1.78,496.04
33.97,14.56,25.31,30.01,64.1,6.81,504.92,1.84,461.06
33.18,14.63,24.0,28.13,64.45,7.08,510.85,1.74,489.74
35.1,14.52,25.01,26.79,63.57,7.16,508.49,1.75,621.45
30.39,14.38,23.75,25.93,66.28,7.37,493.0,1.94,350.93
34.5,14.43,24.05,27.46,63.06,7.27,463.91,1.69,454.5
37.11,15.97,25.89,26.34,66.95,6.97,481.25,1.65,426.11
34.24,15.19,26.12,25.88,65.56,7.22,510.61,1.73,517.66
34.91,13.65,26.0,25.68,64.48,6.73,527.56,1.77,415.84
34.62,14.48,25.93,28.16,62.46,7.17,476.21,1.87,470.64
33.93,16.23,21.69,25.2,64.96,6.94,533.34,1.64,324.06
36.54,15.43,24.93,27.23,61.82,7.25,516.88,1.87,490.88
33.27,14.52,24.13,27.3,60.55,7.04,519.11,1.79,482.18
34.32,13.6,24.32,29.11,62.47,7.08,543.06,1.84,356.49
33.5,12.44,25.99,24.94,66.4,6.77,482.22,1.76,332.57
33.53,14.29,25.71,26.61,58.35,6.91,513.96,1.81,467.12
38.65,15.48,26.36,28.15,64.6,7.05,502.65,1.94,420.26
37.62,14.98,26.43,27.91,66.95,7.3,510.62,1.85,431.97
36.53,15.07,24.22,28.02,66.59,6.94,492.73,1.87,526.02
37.13,14.57,23.16,27.65,62.32,6.87,528.5,1.83,421.34
36.48,15.52,26.51,26.92,62.93,6.83,470.07,1.75,456.91
33.8,15.8,24.23,28.85,66.86,7.28,499.37,2.02,407.8
33.96,14.41,24.43,30.34,63.14,7.01,551.68,1.75,362.11
38.41,16.2,23.03,27.45,64.58,7.63,519.75,1.84,342.13
35.08,16.06,25.01,27.8,60.53,6.85,542.7,1.74,430.73
34.57,14.8,23.41,26.38,63.17,6.99,490.95,1.83,565.92
36.65,16.68,26.42,25.83,64.01,6.85,502.24,1.71,407.69
38.63,15.08,24.09,28.84,63.56,7.05,480.48,1.72,392.83
33.91,14.14,24.09,29.49,62.11,7.35,470.89,1.85,373.73
35.02,13.79,23.98,25.73,67.35,7.54,496.73,1.98,381.45
34.53,14.87,26.2,24.86,64.44,7.08,516.24,1.9,476.48
38.18,15.36,22.39,27.34,64.23,7.66,522.59,1.86,355.7
34.35,14.9,25.78,27.52,64.09,6.43,522.96,1.72,492.15
34.65,14.41,24.69,27.37,59.23,7.53,495.48,1.85,466.33
