N,P,K,temperature,humidity,ph,rainfall,pesticide,yield
74.44,38.22,70.15,26.67,59.48,6.75,436.31,2.38,1517.57
77.04,33.94,62.73,25.85,55.2,7.11,447.98,2.23,1712.9
76.04,36.17,67.13,23.89,59.43,6.17,472.43,2.11,1625.4
72.38,32.22,63.92,25.95,58.79,6.57,469.79,2.2,1845.79
74.58,35.85,67.37,27.75,67.19,6.4,427.65,2.19,1671.51
67.78,34.87,70.88,27.05,62.77,6.56,463.85,2.13,1487.66
80.23,35.42,65.38,26.11,61.29,6.76,450.93,2.11,1938.31
72.53,34.57,65.42,26.76,64.08,6.1,466.41,2.26,1786.2
77.65,35.99,62.53,21.82,59.76,6.62,429.63,2.36,1386.68
77.89,35.95,63.65,27.07,61.96,6.65,440.48,2.36,1815.01
70.25,32.04,64.11,28.88,63.39,6.84,458.31,2.39,1222.38
72.49,34.56,62.53,25.36,58.97,6.56,475.8,2.25,1869.51
74.88,32.09,70.94,25.09,58.73,6.67,446.37,2.3,1626.47
80.59,34.7,68.02,28.19,58.35,6.27,423.12,2.23,1397.17
70.82,35.34,63.01,26.03,56.71,6.32,432.68,2.18,1808.34
78.11,36.14,70.14,23.69,61.01,6.17,475.27,2.14,1379.17
77.98,36.5,68.56,26.74,60.75,6.61,444.76,2.1,1880.02
75.8,36.27,58.83,26.19,58.31,6.51,444.73,2.2,1970.08
72.48,33.42,66.39,25.81,58.55,6.89,391.69,1.92,1398.41
78.48,38.09,71.12,24.71,60.62,6.44,428.39,2.08,1380.03
70.94,31.73,69.24,24.89,57.66,5.96,458.52,2.21,1337.7
80.76,35.42,66.68,28.12,63.8,6.23,450.24,2.25,1500.7
80.68,33.15,67.49,24.13,60.64,7.09,471.17,2.26,1279.46
75.59,31.81,65.29,25.91,58.99,6.67,467.22,2.28,1849.93
77.31,36.74,63.59,23.94,60.96,6.37,481.52,2.01,1472.07
75.15,34.82,63.19,26.08,58.62,6.41,420.21,2.15,2115.61
66.32,35.45,68.32,26.28,58.67,6.09,440.09,2.29,1486.13
79.66,35.81,71.19,23.75,53.47,6.58,437.61,2.19,1366.05
71.5,35.33,64.58,25.42,60.52,6.2,427.74,2.13,1884.57
73.83,33.1,71.3,25.14,61.27,6.95,473.37,1.93,1328.51
73.03,35.05,64.85,26.13,59.35,6.33,462.0,2.19,2366.03
70.67,37.27,67.58,24.95,60.9,6.75,430.37,2.13,1570.5
74.52,35.33,66.7,27.52,60.55,6.7,467.62,2.03,1877.05
72.58,32.1,66.6,25.63,57.47,6.54,415.91,2.13,1561.1
76.02,34.51,63.71,26.93,57.56,6.86,432.17,2.13,1926.45
75.89,35.5,67.51,26.58,61.32,7.05,449.63,2.26,1899.47
71.9,34.06,61.4,27.77,63.09,6.63,456.61,2.26,1674.43
75.17,29.76,66.13,24.25,62.57,6.57,450.45,2.13,1567.91
73.07,35.33,64.98,27.47,55.71,6.68,465.77,2.31,1809.79
75.02,36.69,64.53,25.14,56.1,6.72,439.52,2.07,1851.66
82.91,33.06,65.63,25.19,58.28,6.34,471.91,2.21,1502.81
78.78,30.57,66.97,26.04,59.78,6.38,449.36,2.28,1748.86
69.13,35.33,62.16,24.7,61.66,6.6,414.91,2.31,1441.34
77.25,34.87,63.93,26.95,59.74,6.69,463.65,2.29,2013.89
79.34,32.9,64.87,24.66,59.14,5.85,470.95,2.34,1346.25
73.74,34.97,65.84,26.42,62.04,6.45,466.6,2.28,2187.46
81.03,34.66,61.8,24.3,53.95,6.61,497.15,2.23,1240.67
79.89,35.45,63.21,26.62,63.33,5.94,490.97,2.4,1322.24
84.03,33.45,70.51,26.71,59.44,6.87,403.61,2.09,1141.71
70.14,34.81,67.27,25.46,63.28,7.15,444.16,2.09,1500.64
73.46,35.66,62.13,26.68,58.48,6.28,446.51,2.21,2078.96
73.2,32.98,64.94,26.67,64.61,6.48,414.62,2.1,1616.42
73.09,36.36,56.6,24.84,63.95,6.83,455.14,2.24,1461.95
72.91,32.8,69.19,26.84,55.23,6.55,457.82,2.25,1678.73
77.93,34.29,66.02,24.51,68.27,6.46,434.84,2.41,1548.9
74.17,33.61,67.5,22.71,65.87,6.32,448.01,2.07,1477.72
73.04,38.21,60.75,26.56,64.34,6.52,448.42,2.28,1660.78
73.6,33.69,57.75,24.63,60.38,6.66,420.86,2.12,1439.18
78.31,35.0,64.33,26.03,59.07,6.61,472.16,2.23,2052.51
74.46,32.46,65.99,24.65,61.25,6.48,434.56,2.02,1735.15
68.17,36.68,64.34,27.17,59.87,7.1,445.07,2.23,1438.91
72.58,35.65,63.99,25.81,64.13,6.16,449.73,2.42,1805.59
79.38,33.45,66.26,25.81,59.62,6.29,466.96,2.33,1797.16
76.79,34.11,62.72,24.03,54.16,6.48,466.3,2.0,1561.65
76.43,33.07,64.47,24.37,53.71,6.24,440.81,2.08,1583.36
75.43,36.68,66.61,24.84,57.36,6.88,445.27,2.25,1771.16
77.26,36.12,64.03,26.94,59.2,6.06,485.02,1.96,1530.53
72.3,35.9,64.95,28.08,58.13,6.49,443.85,2.22,1920.33
77.2,34.74,61.76,25.52,60.71,6.75,459.24,2.33,1928.07
73.92,34.11,63.58,25.56,61.93,6.17,444.08,2.22,2102.46
74.18,34.69,59.73,26.14,55.65,5.98,458.04,2.2,1706.12
74.08,35.36,66.76,25.68,61.43,6.74,411.16,2.11,1840.49
72.38,33.88,66.83,26.3,59.71,6.82,457.56,2.13,1951.44
74.16,37.53,64.19,26.5,61.95,6.83,427.56,2.07,1703.49
71.33,35.63,66.63,28.89,62.68,6.32,421.71,2.1,1394.08
78.09,32.82,62.6,28.13,63.35,7.05,467.1,2.24,1309.77
72.02,33.18,63.97,26.08,58.09,6.71,468.24,2.1,1774.54
66.96,33.93,66.39,22.87,60.05,5.9,427.29,2.23,1168.49
72.22,32.83,60.55,25.13,60.67,6.07,440.86,2.27,1545.63
76.15,33.14,67.34,26.88,62.93,5.46,446.69,2.12,1431.81
79.88,33.21,64.75,25.16,59.0,6.71,459.2,2.0,1640.91
75.83,35.71,63.32,25.65,65.82,5.82,458.89,2.0,1596.86
74.48,34.09,69.61,26.51,57.39,6.19,416.98,2.36,1542.74
76.21,36.09,68.41,25.72,59.2,6.46,441.79,2.24,2124.01
80.46,37.48,63.83,24.69,55.41,6.19,462.53,2.15,1417.98
73.31,34.24,67.96,25.52,56.15,6.22,450.17,2.13,1883.78
75.4,33.72,72.17,26.75,59.44,6.51,470.83,2.12,1701.26
71.15,37.07,58.63,24.69,60.09,6.32,456.82,2.27,1561.05
78.48,34.83,61.81,25.65,60.71,6.52,487.61,2.0,1638.65
74.56,35.01,60.82,26.35,60.82,6.58,455.36,2.36,2132.32
69.15,36.08,61.09,26.59,57.73,6.5,448.72,2.09,1777.86
69.1,36.2,67.06,26.34,64.6,6.06,413.39,2.24,1337.99
78.86,36.87,69.77,24.44,62.23,6.73,451.74,2.2,1589.79
79.26,33.77,66.52,26.02,60.9,6.21,446.22,2.01,1790.06
79.81,34.42,68.21,25.39,57.62,6.95,458.59,2.0,1497.95
82.04,37.42,68.83,25.58,56.31,6.66,463.09,2.2,1487.59
83.61,37.63,61.57,28.09,58.64,6.32,459.48,2.21,1288.53
79.28,37.82,62.31,25.22,52.87,6.9,451.72,2.19,1366.91
74.43,34.57,62.4,27.19,60.45,6.7,439.91,2.33,1977.85
75.03,34.96,68.1,27.65,60.56,6.79,442.87,2.35,1863.1
75.04,37.47,64.96,27.38,57.88,7.11,441.26,2.34,1566.57
76.09,34.87,66.04,26.43,59.35,6.85,415.82,2.39,1825.17
82.17,32.71,68.24,26.56,57.98,6.56,418.62,2.09,1345.96
78.75,32.59,64.68,26.16,54.87,6.43,415.19,2.0,1431.61
75.07,34.73,63.72,27.77,58.94,6.42,448.48,2.24,2202.73
73.99,35.0,70.07,25.41,60.8,6.78,440.35,2.25,1912.32
74.29,36.1,62.71,25.55,57.71,6.64,448.92,2.34,2044.68
75.92,34.23,60.34,29.58,58.68,6.74,447.22,1.97,1411.86
77.98,32.76,63.8,26.08,60.84,6.21,438.69,2.17,1884.73
78.13,35.86,63.39,25.09,64.2,7.03,473.25,2.33,1511.34
74.04,35.67,62.86,25.61,55.5,6.91,457.81,2.2,1860.42
70.93,33.67,60.2,26.25,59.09,6.65,462.57,2.03,1710.95
69.11,33.99,57.27,26.02,62.27,6.85,433.03,2.3,1413.34
72.35,37.5,69.48,23.45,58.63,6.65,473.63,2.23,1351.71
74.68,37.16,60.04,26.82,57.39,6.71,421.88,2.17,1535.03
71.38,38.49,64.47,27.47,59.58,6.51,430.77,2.26,1536.74
73.49,36.64,60.44,26.05,63.62,6.29,451.54,2.18,1834.84
69.05,34.23,72.88,25.88,61.0,6.15,441.64,2.16,1517.03
77.41,35.04,67.41,23.49,59.01,7.02,435.77,2.11,1519.15
80.08,31.62,57.71,24.85,57.2,6.53,444.11,2.55,1250.41
77.41,35.81,60.51,26.05,60.86,6.54,439.98,2.2,2058.7
67.85,36.42,66.12,26.78,58.67,7.0,447.18,2.4,1397.79
80.24,33.52,68.56,26.82,63.87,6.21,444.74,2.27,1522.13
77.51,35.02,63.2,24.06,59.31,6.68,475.67,2.26,1680.63
75.16,33.55,63.03,23.24,59.5,6.39,433.94,2.21,1731.65
78.68,35.62,61.41,24.53,59.92,6.93,415.82,2.06,1393.07
76.93,35.83,69.19,26.39,60.99,6.88,401.03,2.23,1567.2
77.05,34.87,69.84,24.13,62.77,6.97,474.42,2.25,1449.23
73.55,33.23,67.58,27.23,61.73,6.78,444.47,2.01,1648.11
79.78,33.99,62.4,24.45,52.82,7.12,404.02,2.12,1131.78
79.1,36.77,60.65,26.06,53.73,6.92,467.23,2.1,1392.42
75.34,35.2,65.18,25.99,60.5,6.31,429.91,2.22,2445.5
65.72,36.85,66.58,27.82,63.66,6.34,454.62,1.99,1259.72
81.27,35.28,62.48,27.92,60.79,6.46,457.13,2.33,1578.47
70.39,32.8,68.3,26.76,58.32,6.3,445.69,2.08,1637.6
68.86,35.0,68.67,27.16,59.93,6.65,461.66,2.26,1647.11
73.8,35.38,64.8,27.7,58.79,6.55,473.14,2.14,1936.98
73.8,38.18,61.54,26.86,57.95,6.82,438.58,2.2,1614.08
75.24,37.96,64.34,25.27,57.39,6.75,451.45,2.14,1815.35
76.83,34.54,59.29,26.22,55.94,6.53,440.89,2.46,1674.08
76.02,32.17,66.56,25.82,57.19,6.93,453.21,2.08,1651.5
76.05,35.1,71.37,27.39,63.35,6.07,478.95,2.31,1412.1
75.8,34.22,64.05,25.6,56.46,6.22,473.67,2.19,1972.02
84.34,34.32,63.07,25.2,60.62,5.81,426.85,2.3,1277.24
76.46,35.03,63.8,24.44,56.14,6.71,426.46,2.28,1744.16
73.57,32.02,63.09,26.09,55.28,6.49,447.27,2.28,1833.06
71.55,36.76,62.35,26.43,63.94,6.58,483.8,2.15,1557.36
66.72,34.02,62.19,27.68,62.96,5.9,451.79,2.07,1200.4
73.61,35.45,61.0,26.63,59.09,6.6,441.71,2.16,2067.42
76.68,36.03,56.78,23.57,58.82,6.4,463.37,2.35,1404.75
73.37,33.64,65.71,27.21,58.98,6.04,413.22,2.2,1625.34
74.27,35.08,62.71,25.64,60.73,6.74,460.74,2.47,2014.55
74.92,29.98,65.51,25.83,57.87,6.25,406.95,2.24,1417.43
84.77,35.08,64.38,24.8,59.88,6.48,490.73,2.05,1333.63
77.45,31.18,63.96,26.67,58.49,6.92,423.44,2.36,1383.77
79.62,31.86,66.49,26.63,56.48,5.91,476.93,2.23,1297.43
76.21,35.78,66.38,25.8,58.68,6.09,457.26,2.15,2033.63
74.85,34.7,65.43,23.97,58.3,6.59,404.48,2.22,1747.68
72.28,32.74,66.77,25.34,60.57,6.84,410.86,2.24,1542.91
71.18,33.46,72.05,25.01,61.8,6.79,435.92,2.22,1472.06
77.85,35.07,66.07,26.03,59.39,6.47,433.36,2.06,2111.57
69.99,36.05,62.01,25.34,59.49,6.82,482.85,2.13,1503.53
78.4,34.94,65.39,25.24,59.65,6.66,479.0,2.21,1930.11
75.83,34.78,62.24,25.46,55.93,6.43,449.93,2.26,2120.34
77.79,35.47,64.19,25.75,59.73,6.54,446.57,2.29,2303.28
77.54,34.4,64.95,25.97,62.19,5.97,415.33,2.32,1688.45
73.22,32.22,65.08,24.42,53.43,6.66,434.25,2.13,1493.18
81.11,39.55,60.65,27.1,63.31,6.09,475.62,2.21,1141.25
78.6,34.32,71.9,24.35,55.96,6.24,449.89,2.11,1459.26
72.36,36.3,65.95,26.5,59.83,6.04,453.5,2.04,1825.82
79.03,34.93,63.87,27.85,56.69,5.85,443.16,2.05,1436.59
74.32,33.94,65.11,25.26,57.73,6.37,439.56,2.15,2159.27
73.58,33.71,65.56,25.56,56.93,6.64,476.53,2.24,1850.86
78.32,35.44,65.18,26.35,64.63,6.81,457.9,2.12,1820.81
73.36,38.21,59.96,26.98,63.14,6.72,407.67,2.25,1281.33
76.53,35.57,62.83,26.34,53.03,6.52,468.47,2.15,1817.64
77.55,33.21,66.45,28.19,64.86,6.68,492.25,2.18,1367.63
75.05,34.16,61.4,24.29,57.81,6.81,438.55,2.03,1649.92
