N,P,K,temperature,humidity,ph,rainfall,pesticide,yield
23.08,35.35,39.8,25.22,75.31,6.74,631.89,2.59,1158.1
25.6,34.43,38.36,21.77,69.13,6.57,620.18,2.47,1971.06
24.05,34.96,40.31,20.89,73.15,6.7,592.37,2.49,1851.67
24.64,32.38,38.9,23.48,69.16,6.74,605.32,2.31,1490.88
22.48,33.54,40.19,23.46,72.39,6.51,596.22,2.45,1528.95
24.12,39.38,43.53,20.11,70.67,6.63,591.02,2.34,1197.45
27.58,37.68,40.37,21.92,79.95,6.31,559.1,2.36,1096.46
25.52,38.54,38.93,24.27,73.04,6.38,565.95,2.29,1166.06
24.8,35.73,38.99,23.17,68.37,6.93,591.36,2.35,1697.97
27.89,32.8,39.42,21.13,72.96,6.51,576.43,2.58,1314.11
26.78,39.15,40.59,23.36,62.46,6.08,607.93,2.34,1072.37
23.87,34.41,43.3,21.8,70.89,6.31,560.84,2.7,1458.76
26.48,32.58,38.68,21.65,69.31,6.27,592.73,2.41,1631.67
25.94,33.88,41.41,22.12,68.89,6.89,577.2,2.62,1676.0
22.83,37.38,35.0,22.49,70.67,6.5,616.34,2.52,1399.0
24.17,36.36,38.31,22.0,70.95,6.68,607.91,2.39,1906.18
24.09,36.28,41.43,21.49,68.56,6.58,594.36,2.55,1947.08
24.63,35.2,42.15,21.57,70.78,6.53,566.05,2.39,1825.08
23.93,35.38,38.17,20.97,69.58,6.08,666.62,2.7,1280.15
25.69,38.05,41.13,22.73,65.97,6.31,622.44,2.37,1437.53
24.9,34.49,38.68,22.63,68.18,6.57,575.79,2.67,1837.1
25.1,35.56,38.92,20.37,67.58,6.24,552.76,2.62,1523.98
24.97,33.15,39.4,21.79,69.78,6.84,539.91,2.63,1581.97
22.69,35.77,40.21,23.41,70.02,6.21,592.57,2.4,1460.34
24.88,36.6,39.14,22.25,71.26,6.42,578.57,2.61,1928.88
27.19,36.43,39.99,24.32,75.56,6.06,588.19,2.71,1095.13
25.84,34.84,38.05,21.51,69.84,6.48,594.99,2.39,2007.61
24.07,34.29,39.21,22.49,68.02,6.6,642.6,2.44,1714.22
22.58,33.45,42.04,22.56,67.9,7.01,594.01,2.2,1230.32
26.8,35.99,38.99,23.15,73.3,6.52,576.1,2.52,1528.11
25.81,33.63,38.62,21.94,74.7,6.9,600.55,2.48,1693.09
26.71,38.12,40.91,22.28,73.59,6.73,655.44,2.36,1196.3
24.95,36.51,40.67,21.65,77.96,6.67,641.04,2.38,1500.37
24.85,36.62,39.03,22.68,73.05,6.64,617.27,2.42,1812.12
27.59,33.7,41.49,23.67,74.49,6.4,642.55,2.71,1089.22
24.27,34.46,42.1,21.37,67.71,5.81,587.8,2.51,1542.04
25.77,38.61,40.64,20.01,72.65,6.1,592.61,2.53,1286.14
24.84,36.38,41.25,21.35,71.53,5.98,616.28,2.57,1655.09
26.16,31.46,38.64,23.33,69.75,6.54,616.89,2.42,1438.87
26.55,35.43,40.27,21.81,68.02,7.03,674.72,2.53,1384.41
26.15,34.18,40.02,23.68,69.04,6.49,595.36,2.38,1743.94
24.0,35.11,38.94,22.98,75.53,6.56,568.02,2.53,1611.56
25.51,35.17,37.45,22.64,71.8,6.25,563.71,2.26,1516.4
25.56,34.15,40.41,21.26,69.77,6.3,614.72,2.47,1951.7
23.07,35.75,39.23,22.89,74.67,6.74,634.45,2.78,1275.32
25.19,34.11,44.76,23.93,71.96,7.23,570.52,2.5,1160.8
24.1,36.71,37.2,21.62,66.57,7.07,604.08,2.37,1409.95
23.78,33.97,39.96,22.13,69.58,6.18,564.06,2.46,1751.65
26.45,35.13,43.31,22.2,72.61,6.59,598.04,2.54,1726.05
24.03,33.95,41.37,21.69,67.5,6.61,635.35,2.38,1657.06
26.59,33.77,38.95,24.18,69.24,5.89,603.22,2.61,1266.05
26.33,34.87,40.29,20.68,70.45,6.24,667.44,2.52,1438.48
25.45,32.8,38.19,21.67,65.36,6.43,613.94,2.61,1617.91
25.22,34.69,35.73,22.44,68.32,6.64,649.99,2.52,1565.68
23.11,36.66,38.82,21.35,69.09,6.4,594.92,2.52,1692.98
23.32,34.97,40.54,21.06,69.61,6.61,583.97,2.45,1742.22
24.2,38.57,39.28,21.14,69.58,6.12,581.44,2.33,1361.7
24.26,32.81,36.95,22.76,69.23,6.59,636.15,2.53,1496.31
25.37,35.29,37.75,20.35,65.54,6.64,547.83,2.33,1367.35
25.66,35.81,39.32,20.89,70.07,6.43,567.47,2.73,1662.77
26.13,38.94,40.65,22.31,63.62,6.5,606.23,2.38,1451.02
25.12,35.77,39.54,23.29,67.03,5.88,584.11,2.66,1529.68
25.1,36.4,40.36,23.77,67.37,6.45,606.31,2.57,1831.37
26.43,34.78,38.77,21.75,68.62,7.22,560.7,2.44,1466.55
27.02,35.31,40.14,22.86,70.71,6.76,603.62,2.31,1599.79
25.39,33.5,38.89,22.7,73.02,5.81,629.45,2.45,1467.09
24.94,36.23,40.34,22.07,70.32,6.51,560.37,2.26,1876.22
25.25,37.69,41.93,21.76,73.22,6.68,609.09,2.66,1612.47
24.7,34.91,39.5,22.07,68.54,6.86,645.2,2.41,1863.19
26.38,32.58,37.07,21.64,77.34,6.45,595.62,2.54,1519.65
25.75,33.1,41.13,21.99,71.49,6.42,579.71,2.35,1756.11
25.14,32.75,45.05,21.06,71.02,6.16,560.66,2.21,1153.61
24.81,37.43,40.89,22.64,69.12,6.54,632.82,2.56,1704.14
25.55,37.73,37.35,20.78,75.03,6.47,548.2,2.26,1163.31
25.26,34.88,40.7,22.06,65.69,6.86,637.97,2.52,1814.57
24.03,34.7,38.63,20.94,66.54,6.29,620.63,2.31,1553.23
23.99,35.29,41.74,21.29,70.84,6.24,663.87,2.61,1424.23
22.98,32.45,39.29,21.81,73.81,6.74,572.9,2.5,1429.38
24.69,37.95,40.15,23.86,71.8,5.99,584.48,2.5,1406.72
26.64,35.46,38.91,22.09,65.65,6.97,629.38,2.66,1407.66
23.83,33.72,41.12,23.75,70.42,6.71,589.11,2.59,1561.87
24.99,33.96,39.14,22.44,71.04,6.63,582.56,2.7,1901.03
23.04,34.7,40.78,21.96,71.98,6.15,614.41,2.31,1556.75
24.46,35.12,38.47,22.33,71.37,6.32,577.42,2.53,1961.85
26.26,35.17,39.69,21.17,67.68,6.48,603.8,2.5,2011.48
22.39,36.85,41.56,22.21,71.63,6.21,601.73,2.45,1469.04
25.45,34.83,41.45,22.32,71.77,6.29,597.44,2.48,2051.04
24.69,38.33,43.82,21.96,70.81,6.37,612.02,2.63,1586.19
25.27,34.38,38.96,21.71,66.42,6.45,561.6,2.38,1778.14
24.49,35.43,41.43,22.97,73.53,6.39,494.51,2.38,1317.98
24.0,33.94,40.81,22.18,69.2,6.59,557.23,2.53,1753.08
25.31,36.92,39.44,20.37,72.86,6.59,555.32,2.67,1404.7
26.14,34.38,39.63,20.42,68.81,6.75,606.63,2.55,1670.44
24.3,33.68,40.74,22.55,66.73,6.45,595.39,2.71,1832.65
24.09,34.81,40.21,22.99,69.95,6.2,627.04,2.37,1710.4
24.7,34.6,39.31,21.66,65.43,6.77,649.46,2.6,1669.09
22.9,34.82,42.28,20.72,66.67,6.81,641.3,2.41,1231.74
23.83,37.86,43.21,21.88,69.58,6.75,559.7,2.44,1391.66
24.78,34.45,41.32,22.21,69.37,6.19,609.25,2.65,1929.85
26.73,32.86,36.88,23.69,73.26,6.38,608.13,2.26,1269.51
26.65,35.47,41.88,22.26,64.33,6.6,575.9,2.5,1529.21
27.47,35.75,38.68,21.12,63.07,6.84,614.07,2.5,1308.54
24.15,34.19,39.76,24.12,68.98,6.77,580.38,2.42,1571.54
25.09,36.1,40.26,24.61,70.47,6.71,626.38,2.36,1559.16
24.15,31.31,40.86,21.58,74.25,6.65,597.97,2.61,1510.32
24.98,34.5,42.99,20.96,73.52,6.21,578.6,2.61,1581.45
26.24,36.37,39.65,20.85,67.96,5.78,599.02,2.78,1319.1
25.38,35.51,41.19,21.91,77.01,6.95,564.08,2.6,1547.01
25.06,33.44,40.69,21.45,65.7,6.18,563.25,2.68,1522.56
25.23,37.07,39.03,21.31,67.49,6.35,636.5,2.47,1641.68
25.31,35.4,41.74,23.5,68.94,6.73,585.22,2.54,1768.62
21.8,36.88,37.6,20.19,70.02,6.3,609.03,2.45,1211.53
24.99,35.4,42.45,20.36,69.94,6.52,598.73,2.65,1850.11
24.45,34.94,44.99,21.31,69.79,6.08,626.02,2.32,1386.61
25.07,35.75,40.91,22.06,73.79,6.81,563.6,2.62,1737.87
24.38,38.52,41.58,21.42,71.73,6.24,583.36,2.59,1507.67
24.99,36.16,38.88,21.72,72.51,6.52,590.64,2.49,2129.37
23.0,36.22,40.11,21.14,76.43,7.1,643.81,2.44,1175.57
23.29,34.57,39.7,22.08,71.96,6.13,584.43,2.53,1728.98
24.15,33.59,39.1,22.31,72.43,6.49,594.77,2.54,1960.39
26.53,34.16,41.27,21.18,69.35,5.92,593.05,2.53,1499.89
24.26,34.4,40.35,23.28,72.52,6.34,586.47,2.75,1671.09
25.46,36.15,39.85,21.66,63.65,6.53,626.49,2.54,1784.02
22.2,33.26,40.61,24.44,74.33,6.7,575.45,2.42,1117.07
23.67,31.42,37.72,20.24,72.62,7.28,635.77,2.48,1030.63
23.0,35.98,35.76,24.0,67.62,6.88,567.05,2.23,1017.15
23.96,34.12,38.69,21.97,72.22,6.44,616.02,2.52,1891.09
24.52,35.63,35.97,23.31,67.6,6.1,612.18,2.35,1397.85
25.19,31.78,44.23,22.76,64.93,6.52,621.95,2.48,1359.86
24.89,36.98,42.83,20.97,76.69,5.98,593.73,2.44,1334.04
26.03,33.99,40.83,22.33,74.11,6.72,593.06,2.52,1808.5
24.94,31.6,43.72,21.28,74.49,6.32,615.6,2.4,1361.33
24.66,36.35,40.38,22.08,74.85,6.97,638.81,2.57,1598.97
23.72,36.38,39.29,21.88,70.63,5.95,618.06,2.58,1598.24
25.84,36.0,42.54,22.73,73.41,6.34,600.4,2.43,1700.55
25.82,39.32,36.65,22.03,74.62,6.69,609.21,2.36,1323.04
25.1,37.31,42.77,20.4,67.5,6.5,547.48,2.41,1291.04
24.96,37.81,39.0,23.95,69.34,6.89,632.78,2.28,1285.9
24.41,35.97,38.17,22.91,80.53,6.27,611.58,2.49,1515.31
26.59,37.23,42.31,21.31,69.16,6.21,561.73,2.42,1368.72
24.02,36.77,39.62,20.49,75.59,6.81,585.42,2.37,1411.26
