N,P,K,temperature,humidity,ph,rainfall,pesticide,yield
92.99,41.19,118.56,15.11,79.84,6.74,516.08,2.06,10274.86
100.02,45.51,128.99,13.85,71.01,6.4,465.29,1.79,9541.99
98.27,45.75,115.1,15.5,74.46,6.58,506.26,1.82,13602.95
102.83,40.99,121.93,14.22,76.44,7.06,500.99,1.93,9911.38
90.68,44.72,125.62,15.42,78.2,6.42,512.45,2.09,10757.03
96.52,45.26,109.91,14.28,73.43,6.06,485.39,1.97,10670.23
95.12,41.92,119.32,15.04,71.53,6.33,496.01,1.98,12530.42
96.99,45.27,128.26,14.24,67.54,6.48,532.87,1.97,10349.8
104.53,47.14,117.06,16.25,70.85,6.2,554.47,2.08,8428.56
96.55,49.86,110.85,14.53,70.43,6.46,462.01,1.86,8295.24
106.7,42.8,121.76,16.2,74.41,6.05,501.77,2.14,9483.96
98.96,43.46,118.61,14.59,69.56,6.76,506.22,2.25,11733.63
98.35,42.34,122.28,15.24,68.35,6.7,517.65,2.0,11776.97
107.19,46.53,112.35,15.49,80.35,6.58,493.81,2.07,10826.6
99.34,47.28,121.18,13.93,78.5,6.19,474.65,2.17,10270.06
93.16,47.71,116.35,13.93,75.78,6.1,501.48,1.9,9600.23
109.0,46.79,111.34,14.72,69.25,6.71,537.9,2.05,8506.79
99.74,43.39,124.37,15.53,81.12,6.13,486.0,1.88,11003.05
90.55,41.96,122.95,15.04,77.64,6.04,511.88,2.09,9496.64
99.47,44.74,119.78,13.89,73.3,6.36,538.69,2.01,12802.65
105.0,46.44,123.13,15.01,71.17,6.72,477.03,1.95,11737.98
105.39,46.96,124.43,14.15,80.19,6.24,484.96,1.96,10121.49
94.74,45.01,125.72,15.35,72.69,6.35,494.3,1.93,12729.9
105.27,43.05,120.48,15.56,74.39,6.45,521.31,1.98,12267.57
108.05,44.41,120.66,14.76,76.73,7.19,484.97,1.93,10279.61
105.37,42.6,107.57,13.82,79.17,6.59,507.66,2.09,9238.42
108.19,46.37,123.57,14.94,85.32,7.13,565.75,2.15,6939.15
88.08,42.27,109.06,15.05,72.79,6.38,544.32,1.98,8424.81
93.76,42.03,120.69,14.29,74.09,6.74,467.22,1.93,9918.02
113.29,44.04,125.52,14.26,75.85,6.15,506.68,2.06,9202.32
100.78,42.93,120.04,15.52,76.94,6.7,506.86,1.94,13332.17
98.85,46.56,108.21,15.81,72.8,6.75,489.55,2.06,10803.83
104.78,46.22,118.3,15.5,69.74,7.02,467.16,2.02,9984.36
98.83,50.04,111.91,15.41,71.2,6.37,552.4,2.02,8706.02
92.24,47.5,122.56,14.97,76.99,6.55,485.66,2.03,11928.43
109.08,40.57,129.3,15.05,74.99,6.33,524.85,2.03,9669.69
102.33,46.42,120.34,14.64,72.86,6.78,459.86,2.04,11850.68
97.59,43.22,122.41,14.99,76.39,6.23,499.08,1.91,13579.66
100.12,44.29,118.36,13.55,80.69,6.34,475.47,2.0,11655.03
106.14,43.63,130.87,14.55,82.21,6.6,519.94,1.98,9770.94
99.88,41.36,113.15,16.63,73.58,6.3,518.09,1.93,9463.41
96.46,42.4,120.68,15.24,79.01,6.76,502.55,1.88,11631.14
116.6,46.38,111.78,13.68,66.66,6.5,537.98,2.25,5945.05
90.01,47.21,120.41,15.76,77.52,6.74,492.93,1.98,10115.43
97.81,44.02,114.47,15.04,79.16,6.44,488.18,1.98,13469.32
102.21,46.71,116.06,15.19,74.34,6.84,481.67,2.05,12738.53
102.73,43.25,127.93,15.43,77.33,6.19,483.51,1.91,11021.8
93.44,45.0,128.82,15.41,77.69,6.42,489.51,1.79,10918.46
105.72,44.85,117.4,14.25,76.9,6.95,538.17,2.2,9285.21
101.38,44.44,118.18,12.99,77.44,6.17,481.96,1.86,10322.23
99.27,48.02,115.92,16.14,74.23,6.41,526.34,1.91,10484.96
101.95,42.27,114.25,14.99,78.92,6.1,479.77,2.09,10710.61
97.7,49.66,127.67,16.24,79.39,6.88,494.18,1.98,8689.05
104.03,44.62,120.58,14.72,71.89,6.67,514.74,1.96,13359.71
93.8,44.03,131.25,14.52,80.04,7.08,525.33,1.98,8713.27
95.71,43.28,128.28,14.47,78.58,6.76,490.1,1.82,10246.74
105.23,43.6,122.26,14.43,79.1,6.22,473.21,1.93,10659.04
95.46,43.42,116.84,15.11,77.45,6.4,476.87,1.93,12216.11
91.41,41.14,116.04,15.45,76.03,6.83,522.31,1.9,9144.39
103.53,42.2,118.5,15.14,79.99,6.75,522.64,2.05,11114.73
102.55,43.48,122.07,13.92,77.6,6.46,499.11,2.08,12795.83
101.82,44.18,114.76,14.7,76.41,6.72,496.96,2.18,13130.44
89.49,45.66,117.88,16.2,74.05,6.44,521.09,2.0,9972.09
101.41,46.29,133.71,15.22,67.44,6.29,448.52,1.91,8679.19
108.13,45.66,118.94,15.16,74.28,6.89,524.71,1.96,11419.52
101.11,47.6,125.74,13.71,75.17,6.2,549.78,1.92,8892.54
97.31,43.79,114.03,14.32,78.14,6.1,507.54,2.01,11379.03
106.1,41.16,120.04,17.06,81.61,6.16,479.69,1.97,7827.07
98.92,50.11,116.07,16.2,75.54,6.41,502.95,1.99,10931.2
107.05,43.42,113.79,15.9,80.22,6.19,481.69,1.92,9354.84
100.8,45.03,128.88,13.92,78.67,6.21,495.74,1.98,11619.79
105.26,47.97,115.25,13.92,72.68,6.17,510.57,1.97,9920.25
109.89,41.1,133.53,15.2,79.26,6.78,576.44,1.93,6530.76
108.65,43.43,118.02,13.99,76.54,6.15,483.54,1.86,9326.69
93.57,46.63,116.5,15.22,76.0,6.66,497.24,1.97,12908.21
100.2,40.18,121.24,15.23,77.12,6.61,516.49,1.84,11305.24
100.42,45.74,119.56,13.89,78.39,5.85,478.42,1.91,10825.76
90.85,44.69,113.78,14.75,72.01,6.89,504.41,2.12,10182.05
104.79,45.63,125.83,15.37,69.87,6.36,506.84,1.97,11967.43
106.24,48.29,126.23,14.27,84.73,6.22,494.94,2.02,9056.85
95.99,46.52,117.29,15.64,69.9,6.58,498.73,2.0,12923.76
101.68,52.09,122.06,14.48,78.4,6.12,515.52,2.25,8595.68
109.26,43.45,122.97,15.83,74.75,6.45,477.48,2.21,9594.61
102.42,46.52,117.15,15.53,71.08,6.77,503.95,1.97,12650.91
95.54,44.98,109.91,14.92,70.8,6.24,485.02,2.06,11326.99
94.98,47.69,121.18,14.97,73.03,6.7,449.89,1.96,10571.52
97.16,48.92,118.37,14.7,74.84,6.38,493.17,2.0,12839.79
107.72,47.55,109.57,13.77,68.3,5.78,475.12,2.16,6677.52
104.12,43.1,119.39,15.29,75.61,6.07,510.18,1.94,12196.78
109.15,43.77,119.39,13.8,73.04,6.31,454.57,2.0,8987.91
97.54,46.18,119.94,14.1,72.81,6.07,522.5,1.93,11469.12
99.3,46.26,125.18,14.28,82.25,6.74,500.99,1.95,11766.78
99.31,44.81,112.77,14.49,66.29,6.58,485.91,1.79,11109.74
105.57,43.19,118.94,14.96,78.49,6.6,463.03,2.01,11482.21
96.32,48.6,114.06,14.46,77.09,6.48,483.14,2.08,10965.67
101.01,45.64,123.47,14.51,74.35,6.23,510.8,1.89,13300.14
95.9,46.72,120.92,14.05,75.07,6.4,517.95,1.97,12033.83
109.3,44.88,121.36,13.4,80.27,6.69,519.47,1.82,8681.75
90.99,45.2,120.6,14.56,76.69,6.17,466.2,2.23,9649.79
90.01,42.85,122.0,14.86,73.63,6.36,498.01,2.09,11324.45
98.11,45.19,118.38,14.93,77.31,6.72,488.84,2.03,15149.53
101.79,48.1,113.96,14.69,73.26,6.67,509.09,1.88,11942.19
95.7,49.25,120.71,15.72,74.81,6.09,517.05,2.19,9242.88
101.56,46.32,119.76,15.1,72.07,6.58,513.34,1.95,14339.84
97.54,46.7,117.73,14.83,76.81,6.47,486.8,2.04,14253.94
103.58,47.99,115.37,14.11,80.07,6.36,472.99,2.1,9525.47
98.46,46.36,113.24,15.12,82.21,6.68,535.43,1.95,10716.89
93.93,43.85,117.78,15.13,79.26,6.08,445.14,2.14,9169.08
93.2,47.89,125.69,15.19,73.93,6.44,486.89,1.95,11641.94
98.62,43.7,123.26,15.59,72.08,6.65,513.7,1.79,12221.0
96.65,49.48,132.4,15.46,84.2,6.29,439.33,2.07,6819.98
96.38,46.66,114.99,14.7,75.23,6.52,528.07,2.16,11951.39
107.2,42.71,119.76,14.16,80.45,6.46,499.12,1.92,11012.43
92.61,43.21,137.61,14.98,68.81,6.36,490.88,1.98,9543.86
103.24,42.44,122.8,14.6,77.17,6.72,520.79,1.99,11824.9
107.84,46.11,126.37,14.38,74.28,6.0,512.77,2.18,9333.26
103.43,47.85,127.74,14.83,67.3,6.29,508.73,1.97,10567.34
102.24,44.8,116.85,16.26,76.14,6.75,467.46,1.92,10967.54
94.88,44.45,112.61,16.37,71.71,6.16,487.33,1.91,9491.81
103.25,43.29,119.23,15.21,77.19,6.3,514.25,2.12,12751.59
91.41,47.64,132.65,13.7,69.79,6.51,470.98,1.88,7537.67
97.36,46.27,105.79,14.91,76.02,6.16,530.27,2.09,10282.02
93.04,45.1,123.87,14.08,70.64,6.86,511.92,2.1,9991.37
94.14,43.66,111.87,14.41,75.08,6.78,447.54,1.87,9030.74
98.19,41.31,116.37,14.94,76.2,6.54,473.29,2.02,12149.65
104.68,47.63,129.49,12.88,75.22,6.72,524.32,1.84,7937.04
100.45,43.27,117.11,15.65,77.72,6.17,477.65,1.74,10727.71
96.41,45.9,123.18,14.14,67.66,6.8,520.01,1.99,10936.04
107.43,45.22,125.44,14.7,73.22,6.93,510.75,2.14,10588.87
103.54,46.3,113.72,14.94,79.59,6.69,507.58,1.98,12722.94
101.55,47.83,114.95,15.65,78.06,6.36,473.06,1.76,9804.8
90.35,48.27,123.96,16.62,70.48,6.76,540.72,2.04,7226.98
92.52,47.59,116.37,14.94,70.82,6.86,500.54,1.86,10341.35
100.22,43.13,123.86,16.66,75.45,6.13,520.56,2.21,9737.97
95.94,45.82,113.9,15.63,70.42,6.22,481.63,2.13,10588.0
100.17,42.97,120.75,15.02,75.16,6.42,500.53,1.94,16264.32
100.42,39.74,118.92,13.84,80.22,6.47,490.61,2.05,10427.78
96.35,46.96,115.01,15.06,86.47,6.31,520.33,2.1,10007.7
102.55,45.91,122.23,16.02,78.14,6.54,538.69,2.05,11096.25
97.99,46.42,113.57,15.55,78.56,6.25,498.76,1.8,11358.98
91.85,43.43,120.35,15.47,69.09,6.65,513.66,1.94,10457.49
101.85,43.71,125.83,13.56,79.47,6.74,515.67,1.85,10048.94
98.07,45.34,124.24,14.75,74.62,6.13,481.29,1.84,12501.88
102.05,47.18,122.85,15.98,75.08,6.35,492.52,1.89,12013.49
97.27,43.04,117.08,13.91,71.57,6.61,480.81,2.08,10934.41
107.6,44.15,125.11,15.01,77.92,6.59,507.63,2.03,12531.6
109.02,45.24,123.11,14.84,74.25,6.61,490.83,1.92,12406.77
107.3,42.12,124.48,14.38,79.45,6.29,514.7,1.91,9897.61
101.64,49.09,110.67,15.21,72.03,7.21,516.03,2.04,9106.24
102.84,42.77,128.71,14.97,69.45,7.12,520.44,2.03,9635.42
107.51,46.01,119.84,15.36,72.56,6.53,517.45,2.06,11917.81
97.45,45.82,120.6,14.97,70.66,6.86,522.63,2.1,12474.54
100.68,47.94,119.92,15.48,74.05,7.05,530.6,2.01,11243.51
