N,P,K,temperature,humidity,ph,rainfall,pesticide,yield
85.09,47.14,100.87,18.97,79.71,5.9,549.53,2.9,16307.21
68.7,45.18,106.28,18.73,77.6,5.79,628.97,3.07,15311.42
75.7,46.6,102.03,16.59,71.85,6.27,668.69,3.41,13449.1
77.57,47.8,104.02,18.38,72.76,5.64,650.94,3.13,17241.13
73.01,50.01,100.28,18.2,71.42,5.82,567.85,2.75,15517.74
78.38,44.98,107.16,16.49,67.25,6.04,636.43,3.29,16087.9
82.38,44.06,102.91,18.35,68.09,6.23,585.88,3.01,21405.55
79.14,44.18,100.75,16.7,80.55,4.99,608.57,3.14,16550.32
78.45,46.09,103.36,17.15,74.3,6.07,593.12,2.9,24252.31
70.71,47.11,95.74,19.25,72.21,5.86,581.1,3.11,15610.4
82.1,46.1,113.2,17.9,79.53,5.26,612.53,3.2,15100.82
82.33,44.84,92.47,20.18,77.07,5.81,561.57,2.99,16549.08
80.76,43.32,98.05,17.43,71.46,6.29,610.35,2.98,22573.51
79.35,46.91,102.45,18.46,74.04,6.38,555.22,3.14,19786.11
85.04,49.42,103.76,20.34,79.14,5.62,611.19,2.89,13155.01
77.39,47.86,105.37,17.54,81.44,5.57,626.21,2.81,15948.16
83.29,43.46,103.91,17.46,75.99,6.3,609.87,3.03,21209.71
73.81,45.38,95.93,16.48,80.06,6.13,618.52,3.03,17312.58
78.39,44.8,103.38,17.86,74.28,6.22,595.41,3.3,24126.22
90.52,42.78,105.77,17.0,72.9,5.83,628.33,3.09,14501.29
84.07,44.0,110.41,18.12,78.9,6.08,579.91,2.88,18445.39
81.81,44.49,97.39,18.91,72.44,6.34,573.67,2.99,21500.62
83.48,46.62,92.29,19.49,72.2,6.22,585.87,3.01,17512.42
75.58,45.65,105.79,17.55,78.69,5.86,629.44,2.91,19011.7
79.02,51.1,109.51,18.28,78.59,5.71,597.05,2.94,16196.91
80.31,43.39,93.58,17.14,73.68,6.1,627.02,3.37,18388.78
79.21,44.08,90.81,18.71,73.12,5.77,617.01,3.0,20555.78
77.76,45.06,93.72,15.91,77.12,5.9,603.79,2.9,19674.53
84.32,43.21,102.23,17.2,75.09,5.33,602.41,2.88,17552.6
84.73,44.0,102.85,18.11,69.71,5.9,579.03,2.9,20264.54
75.45,43.83,103.08,19.23,73.68,5.96,602.49,2.81,20434.95
76.03,44.64,93.48,17.92,70.81,5.6,601.28,2.91,19616.78
84.13,42.77,96.25,18.08,74.61,6.0,628.26,3.27,20734.12
83.33,44.46,103.81,17.3,78.1,6.15,618.16,2.79,20594.57
73.81,44.93,107.34,18.71,70.21,5.82,568.11,3.06,16875.93
76.34,48.12,104.28,16.96,74.07,5.81,599.25,2.71,18255.23
81.56,44.93,105.31,17.78,75.82,5.9,573.0,3.23,22557.05
84.08,49.39,105.31,18.1,75.99,5.57,572.13,2.96,17496.04
86.11,45.27,96.85,18.18,75.1,5.89,569.04,3.0,21144.72
80.69,41.44,107.17,19.23,76.03,6.21,625.23,3.18,16542.57
80.55,42.8,84.48,17.85,70.5,6.48,592.85,3.1,16045.89
73.71,47.94,98.47,17.43,78.3,5.95,592.78,3.04,19863.57
77.23,43.5,97.27,17.99,75.69,5.86,619.67,3.01,24264.57
85.31,45.68,104.75,19.69,70.49,5.84,620.36,2.98,16808.87
78.7,43.56,102.31,18.23,75.14,5.71,584.86,3.06,24275.42
78.17,47.77,98.65,19.14,68.2,6.2,630.51,2.9,17382.11
69.2,47.38,100.87,17.6,75.73,6.39,585.06,3.09,16371.25
85.26,47.18,99.36,18.2,74.65,5.83,572.69,2.8,19588.61
77.3,44.56,99.72,18.34,69.41,6.0,603.28,2.59,22796.27
83.93,42.58,107.24,16.6,76.4,6.23,620.28,3.03,17340.62
81.28,42.98,100.4,17.88,73.92,6.13,620.54,3.06,24482.42
81.24,44.73,94.16,18.25,80.34,5.77,580.27,3.05,21318.16
76.46,46.74,94.43,18.52,73.12,6.27,609.77,2.91,20220.44
69.19,48.16,106.13,19.09,74.53,6.04,544.12,2.97,13231.05
78.96,46.61,96.23,17.89,67.73,5.47,581.13,3.01,18976.07
84.52,43.89,91.83,16.9,73.7,5.94,586.32,3.18,18467.23
79.15,46.82,94.22,17.24,82.25,6.01,620.72,2.79,19022.02
79.71,43.16,97.68,17.88,82.38,5.33,588.75,2.9,18667.68
74.51,49.3,97.25,16.64,78.83,6.07,563.55,2.91,15066.2
83.05,46.05,92.04,18.09,75.29,5.93,614.52,3.01,23091.01
84.76,44.95,103.06,17.96,76.73,6.06,598.01,3.13,24057.05
82.43,47.1,98.7,21.25,80.6,5.51,616.04,3.04,14095.4
83.67,44.57,102.13,19.26,71.02,6.3,565.38,3.03,18408.99
87.01,40.69,101.32,18.01,75.83,5.91,616.23,3.13,18943.84
80.48,40.88,106.55,17.03,77.18,5.9,547.65,3.07,16096.59
77.8,43.76,95.81,17.57,74.95,6.06,591.9,3.33,22683.83
74.2,46.77,98.65,19.01,77.6,6.2,565.91,3.27,16434.42
81.93,48.68,92.9,17.64,80.22,5.72,608.83,2.82,17413.63
72.78,42.64,102.5,17.97,76.68,6.41,594.86,3.22,17431.16
77.82,44.8,100.91,18.44,73.34,6.13,555.42,3.0,22573.96
84.48,39.92,107.33,18.2,75.42,5.84,608.23,2.79,17720.48
79.55,43.25,99.52,15.09,79.8,5.65,599.71,3.14,17182.5
91.93,44.66,99.18,17.25,75.86,5.94,596.63,2.89,18877.41
78.58,46.14,92.81,15.77,77.42,6.49,614.44,2.81,15360.97
82.65,42.52,97.0,17.79,74.86,6.15,551.99,3.04,20327.71
75.66,48.23,95.65,18.48,71.92,5.84,613.78,3.18,18635.26
