N,P,K,temperature,humidity,ph,rainfall,pesticide,yield
115.63,50.32,197.7,16.67,66.7,7.23,557.19,3.43,21835.41
118.74,52.44,186.34,18.35,74.53,6.53,523.22,3.32,29192.38
111.06,52.75,192.2,17.69,65.22,7.03,534.61,3.46,22570.79
118.2,49.79,188.46,16.95,71.01,6.29,542.7,3.53,32346.18
109.93,50.03,171.21,16.56,65.72,6.71,561.74,3.36,23544.84
125.51,51.73,170.51,18.27,65.7,6.67,576.83,3.19,25867.5
128.66,51.09,178.83,16.95,67.43,6.15,544.01,3.45,26936.05
124.5,53.68,189.45,19.1,71.58,6.75,554.53,3.92,24137.97
124.94,52.8,191.89,18.1,72.96,6.75,594.33,3.49,25897.86
128.49,54.11,171.25,17.7,66.16,6.43,528.41,3.35,24609.79
135.82,54.36,193.84,18.45,70.1,6.53,544.06,3.28,23646.76
120.32,48.81,188.52,18.82,72.73,6.59,549.34,3.32,33271.56
137.48,51.15,185.88,18.21,69.67,6.83,556.8,3.66,25140.69
116.73,50.72,180.35,17.28,71.16,6.07,522.94,3.62,30172.58
116.11,47.63,197.36,19.79,73.39,6.47,536.31,3.54,24373.44
118.96,53.82,178.52,17.78,71.13,6.72,543.91,3.45,33362.0
129.04,50.97,186.9,20.07,67.17,6.83,530.46,3.37,21646.43
104.92,54.32,181.85,16.99,72.75,6.99,528.47,3.43,19661.31
125.17,47.28,188.62,17.39,65.58,6.29,538.31,3.12,25380.23
117.46,51.48,174.22,17.59,69.9,6.75,572.73,3.43,32778.06
116.2,46.61,185.47,17.8,71.03,6.25,558.81,3.61,30766.09
122.18,45.34,192.26,18.51,66.49,6.06,505.99,3.51,22334.48
122.01,48.28,193.82,17.17,69.47,6.53,561.32,3.51,31355.84
128.1,51.29,179.24,18.54,66.89,6.43,548.13,3.7,31111.98
131.99,52.6,166.12,16.72,65.71,6.86,544.55,3.61,20728.63
120.42,48.7,195.86,18.19,71.34,6.77,491.61,3.57,26385.81
115.71,49.44,184.93,16.99,69.67,6.43,589.04,3.64,28856.19
126.08,51.88,192.51,18.13,66.32,6.76,565.67,3.57,28164.11
121.54,53.99,195.45,18.33,72.49,6.71,542.59,3.88,25625.78
123.21,45.71,188.94,17.36,70.57,6.77,564.19,3.34,26613.76
114.99,50.71,186.12,17.28,71.99,6.67,514.24,3.57,28280.0
126.17,52.21,185.57,17.84,66.57,6.28,506.8,3.27,25016.92
122.83,54.07,186.16,17.48,66.13,5.95,558.62,3.68,24867.03
