N,P,K,temperature,humidity,ph,rainfall,pesticide,yield
176.65,58.02,248.44,25.46,75.82,6.43,1477.08,5.77,49170.3
170.96,61.62,243.27,27.46,71.34,6.22,1651.89,6.11,37926.78
167.44,61.32,241.67,23.85,76.8,5.67,1551.61,6.17,39535.22
184.71,54.4,233.26,26.33,81.83,6.37,1339.67,6.29,32700.69
181.2,58.06,215.71,24.91,82.81,5.84,1381.4,5.73,35527.99
188.83,58.68,224.38,27.63,78.08,6.2,1531.76,5.5,40981.93
191.86,55.84,244.42,27.53,80.87,5.85,1455.95,6.57,36336.61
193.58,54.99,270.41,25.97,78.45,6.01,1509.2,5.96,41391.91
158.93,60.12,236.29,25.69,75.64,6.13,1654.02,5.91,39901.35
189.92,61.18,236.12,25.49,75.9,6.63,1498.3,6.01,47155.48
188.6,62.13,228.37,25.31,68.52,6.44,1444.98,6.19,38868.65
174.81,59.29,222.99,23.94,73.99,5.96,1420.08,5.74,42154.53
187.54,59.2,238.69,26.64,74.68,6.05,1586.65,6.05,52344.54
181.17,61.16,234.63,25.01,72.93,6.05,1487.27,6.08,59510.41
160.16,65.25,234.02,27.85,73.25,5.56,1434.42,5.83,30885.77
171.48,53.98,230.92,26.2,74.97,6.07,1458.84,5.93,47231.17
169.03,57.08,234.16,26.72,75.5,5.86,1453.57,5.91,46794.23
188.39,62.72,227.62,26.27,75.76,6.04,1553.08,5.67,48408.39
172.71,58.57,227.5,27.55,71.01,6.43,1425.91,5.84,39680.15
186.37,52.82,240.2,27.55,74.01,5.91,1620.77,6.0,37709.71
182.99,56.85,229.15,23.99,67.75,6.01,1567.8,6.12,40848.62
167.27,59.35,247.22,26.08,74.37,5.96,1414.91,5.94,48658.45
191.51,57.0,233.04,25.58,75.7,6.44,1564.46,6.38,40901.13
186.99,61.62,240.79,25.88,78.84,6.1,1542.31,5.76,52654.33
184.53,61.59,245.19,24.56,67.94,5.87,1432.12,6.05,46009.95
166.6,55.77,246.99,25.8,72.86,5.76,1549.05,6.75,39157.16
179.61,55.99,262.77,28.79,80.07,6.51,1560.97,5.89,31231.43
168.7,57.41,235.03,25.59,68.74,5.86,1520.18,6.42,43260.99
184.71,58.24,238.55,26.27,71.67,6.26,1573.71,6.39,48651.48
182.89,58.74,233.59,27.23,78.23,6.19,1475.92,6.47,49962.86
173.83,58.94,241.01,29.1,68.36,6.11,1482.48,5.9,44998.02
181.4,57.01,225.06,26.35,75.76,6.01,1417.62,6.08,49273.64
182.87,59.0,247.23,25.85,79.52,5.79,1424.26,6.29,50180.04
187.03,61.37,224.29,25.5,69.81,5.6,1452.45,5.75,41547.68
165.63,54.36,234.98,23.87,79.09,6.08,1389.04,6.26,31657.0
179.17,63.18,247.64,25.95,71.26,5.7,1410.5,6.32,45018.18
181.28,60.06,247.59,26.01,73.03,6.48,1552.96,6.47,51531.16
170.32,61.63,235.97,26.46,80.95,6.04,1484.2,5.88,50866.27
171.63,57.92,254.6,25.0,74.36,5.97,1517.37,6.11,50207.41
184.89,62.29,249.71,27.12,72.96,5.67,1435.63,6.24,44808.01
182.37,58.34,241.27,23.67,77.53,5.91,1417.72,6.4,44143.7
182.35,53.32,242.87,26.15,72.2,6.04,1597.09,6.25,43237.05
179.43,57.96,240.0,26.64,76.86,5.66,1461.09,5.81,53202.35
186.93,65.69,246.31,26.16,73.57,5.83,1436.33,5.54,42279.2
179.07,65.02,241.87,27.37,73.08,6.13,1565.83,6.22,44836.55
175.63,63.69,229.98,25.31,74.44,6.14,1567.0,6.27,46091.77
176.88,59.42,239.51,25.29,77.19,6.88,1497.46,5.81,47325.74
183.68,58.02,253.5,26.31,68.96,5.61,1541.66,5.8,43303.49
194.18,62.8,227.44,27.87,75.25,5.92,1562.06,6.55,37315.25
174.47,60.64,250.74,28.46,75.11,5.88,1581.88,5.77,42914.15
171.04,61.43,220.17,25.06,78.21,5.98,1495.62,5.22,43184.01
175.19,59.53,227.02,26.15,76.26,6.03,1602.02,5.34,46973.73
184.5,59.12,241.9,26.17,78.97,5.75,1603.55,6.74,45234.6
199.04,63.58,235.76,25.27,74.03,6.52,1459.2,6.05,36765.61
177.44,60.89,237.04,25.76,74.23,6.1,1596.8,5.94,57071.13
173.92,59.42,243.73,25.23,74.33,5.74,1509.33,6.13,54141.79
185.35,53.48,213.34,25.65,73.89,6.02,1379.42,5.27,32986.11
189.45,63.13,240.31,25.17,74.53,6.35,1505.04,5.72,45967.19
177.5,62.12,225.3,25.83,78.62,5.49,1489.39,6.05,45560.44
180.16,58.36,235.4,25.99,71.56,5.62,1384.55,5.88,48897.98
176.25,62.16,273.19,26.4,74.03,6.08,1600.39,5.97,41509.15
167.19,59.82,237.16,26.49,73.98,5.67,1555.48,6.06,48553.55
182.08,59.16,245.81,25.97,74.06,5.88,1533.58,6.43,59439.43
179.63,61.99,254.18,24.76,74.11,6.15,1440.05,5.55,45668.48
186.01,64.42,248.78,24.33,76.55,6.6,1587.93,5.74,35177.98
196.28,62.75,234.61,24.47,77.26,5.65,1481.86,6.38,37382.76
164.37,55.07,227.62,25.7,77.99,5.96,1475.61,6.07,43606.64
186.96,60.14,233.46,23.19,84.18,5.68,1533.56,6.3,37096.29
192.32,60.61,231.8,26.58,71.65,6.07,1366.99,5.69,39927.05
199.26,61.63,240.25,25.99,74.69,6.32,1532.12,6.39,44056.12
173.69,57.1,247.19,25.53,67.51,5.57,1515.96,5.61,40010.38
166.56,52.98,237.92,28.0,76.6,6.23,1374.77,5.78,30852.74
177.67,62.22,239.99,25.38,71.88,5.72,1576.69,5.83,49646.24
165.53,65.49,244.66,26.05,79.04,5.54,1541.72,6.07,37091.33
180.69,62.54,229.67,26.89,69.59,6.02,1587.94,5.27,41505.05
181.43,66.16,226.39,25.61,75.92,5.65,1457.31,6.03,42929.89
188.07,60.3,239.75,25.25,75.87,6.52,1469.12,6.42,47025.46
192.4,57.39,241.52,25.81,76.74,5.98,1505.94,5.83,52798.8
180.52,62.25,242.17,25.81,74.02,6.58,1472.8,6.18,51795.81
174.82,60.38,251.28,26.43,74.41,5.71,1444.23,5.99,52567.58
177.59,57.48,207.87,24.56,70.85,5.22,1415.04,6.17,30647.53
168.66,61.05,224.55,26.47,77.13,6.45,1573.61,6.03,40931.27
192.38,64.37,254.85,27.2,72.91,5.65,1403.36,5.86,35551.45
168.05,56.95,236.0,25.94,77.54,6.23,1490.42,6.04,48243.49
197.87,64.03,237.96,27.47,71.73,5.59,1447.33,5.82,34540.82
182.63,65.85,240.99,26.8,76.77,6.09,1604.27,5.98,43857.26
171.56,59.65,234.79,25.11,72.13,5.71,1481.64,5.74,48526.86
183.67,56.35,248.72,24.21,74.43,6.2,1511.06,5.6,44173.08
176.66,59.67,242.51,26.48,73.09,5.88,1518.84,5.92,62512.95
167.42,57.45,242.82,26.43,76.62,5.87,1344.46,5.65,39409.92
186.41,60.8,244.8,26.63,71.05,5.65,1470.39,5.81,49187.12
186.93,57.24,240.12,26.79,79.95,6.25,1683.8,6.04,38744.51
184.12,59.02,266.36,24.08,72.5,5.8,1425.63,5.9,39347.09
184.52,65.05,230.68,25.31,82.57,6.0,1542.43,5.97,42848.41
176.79,62.44,229.6,26.96,76.95,6.44,1513.15,5.75,45518.42
164.09,62.94,234.33,28.69,74.51,5.88,1599.43,6.45,32500.72
199.44,60.61,244.18,26.56,65.81,6.49,1545.47,5.77,34490.29
197.71,59.77,236.37,26.57,72.25,6.02,1528.48,6.18,48031.98
189.75,65.8,228.24,26.0,77.13,5.9,1494.61,6.04,46950.77
190.49,60.05,253.14,25.06,77.06,5.26,1342.27,6.44,33499.3
180.77,59.23,252.17,27.65,78.04,5.71,1564.49,5.48,43457.74
174.91,62.51,249.28,27.98,70.22,6.26,1476.11,6.11,43618.49
191.62,62.2,231.88,26.0,84.79,6.41,1710.64,5.61,30163.36
185.34,58.6,235.32,24.27,85.29,6.33,1535.02,6.24,40239.75
173.83,63.29,235.91,24.88,73.54,6.15,1415.45,5.68,43632.44
171.25,60.13,224.77,27.51,66.53,6.32,1541.79,6.19,38096.67
