N,P,K,temperature,humidity,ph,rainfall,pesticide,yield
68.82,40.79,114.84,26.32,75.88,5.78,742.51,2.54,10276.74
68.66,38.94,117.1,23.32,77.35,5.05,743.22,2.54,9616.25
69.82,43.31,108.5,23.3,80.91,5.54,745.98,2.68,10562.15
68.72,38.07,110.27,24.28,78.67,5.81,813.81,2.33,14218.13
64.13,40.33,109.48,22.65,80.65,5.87,793.76,2.35,11892.92
76.82,41.31,108.46,24.09,83.84,5.56,777.98,2.35,10435.97
68.09,42.8,119.45,24.66,79.52,5.77,814.41,2.34,11166.29
66.75,42.98,102.98,23.63,77.36,6.03,786.17,2.35,10599.79
68.68,38.07,109.61,22.21,76.96,5.39,741.89,2.64,9666.86
68.54,36.36,107.84,25.28,76.14,6.2,744.29,2.47,9339.75
70.47,41.34,116.26,25.04,75.64,5.46,755.17,2.42,10706.73
70.22,45.57,112.0,23.04,79.45,5.59,866.72,2.6,9067.87
67.95,39.64,101.18,24.33,83.24,5.84,747.35,2.4,11249.71
65.83,40.25,113.18,23.97,82.5,5.82,806.99,2.42,13671.53
64.22,40.56,105.38,24.05,80.07,6.2,782.5,2.43,11124.98
71.05,40.94,98.72,25.3,81.28,5.74,743.12,2.61,10103.83
65.81,43.57,121.0,23.47,76.88,6.04,820.4,2.62,9412.4
69.5,41.61,110.15,24.38,80.16,6.09,828.93,2.69,13075.26
71.8,40.12,108.6,25.72,86.64,5.48,749.92,2.34,10396.12
71.02,40.06,104.77,26.65,73.62,5.49,793.32,2.82,9640.72
73.86,42.24,107.51,23.74,75.08,5.84,863.76,2.69,9774.42
75.53,41.45,100.44,22.69,84.99,5.92,838.59,2.41,8836.47
74.61,40.21,107.19,21.85,79.18,5.3,748.72,2.68,8778.79
67.62,40.11,109.24,24.6,86.71,5.61,746.16,2.73,11002.01
72.37,40.73,107.03,22.45,85.03,5.89,764.82,2.4,11060.92
71.58,39.64,112.83,22.66,83.54,5.64,771.71,2.35,11995.6
65.82,39.9,112.17,24.3,79.08,5.73,887.85,2.44,11262.91
69.65,41.5,110.26,25.74,80.37,6.12,831.58,2.44,11957.44
69.25,41.94,107.0,23.41,75.13,5.82,833.03,2.69,11885.76
68.74,41.11,106.22,21.6,75.57,5.39,823.9,2.61,9976.2
66.99,40.14,102.04,22.3,73.59,6.16,774.26,2.54,9466.94
72.72,42.93,115.02,23.27,84.42,6.2,858.23,2.59,9152.02
72.0,37.08,107.07,24.52,76.08,5.86,735.97,2.32,10096.11
74.47,37.97,109.24,22.17,81.51,5.78,853.19,2.65,9408.41
67.34,43.7,108.91,25.12,78.53,6.25,814.99,2.7,9384.12
70.1,43.96,113.09,24.73,83.96,5.44,769.47,2.56,10122.11
66.01,39.48,118.13,24.07,85.11,4.98,732.23,2.36,7992.56
69.28,40.39,101.87,24.73,80.81,6.14,798.58,2.52,12544.81
72.21,38.51,115.44,24.59,87.62,6.29,733.29,2.54,9199.87
67.21,41.37,103.19,23.49,82.52,5.79,745.94,2.26,10667.94
72.99,37.18,109.02,23.13,74.96,5.58,824.44,2.45,10786.45
67.11,39.2,117.26,23.28,76.15,5.93,819.26,2.32,11378.3
68.76,42.75,110.35,23.68,82.92,5.57,822.42,2.41,12215.34
68.48,40.43,116.34,23.59,75.86,5.69,804.9,2.52,13590.66
68.77,37.01,114.62,20.68,82.41,6.17,838.08,2.55,8531.24
69.44,42.91,109.38,25.14,75.78,6.04,722.94,2.45,9998.61
69.46,38.66,103.27,23.47,78.08,6.0,799.9,2.67,12566.88
66.16,42.26,114.42,25.2,71.11,5.93,825.33,2.58,9664.73
70.64,39.31,111.45,24.1,86.79,5.42,796.18,2.3,12452.08
