N,P,K,temperature,humidity,ph,rainfall,pesticide,yield
135.52,61.28,165.08,21.42,70.13,5.91,604.36,5.27,27627.39
148.17,61.03,194.58,24.57,66.47,5.87,650.1,5.32,31758.44
145.68,58.62,179.42,23.07,66.41,6.16,551.42,5.48,34524.78
150.51,64.73,199.69,24.56,73.99,6.19,578.63,5.76,29118.66
134.33,62.25,184.73,25.58,66.21,6.05,625.25,5.25,27678.17
155.29,63.64,185.67,25.74,76.39,5.98,624.43,5.22,29323.5
148.32,62.24,192.24,22.29,64.2,6.15,541.65,5.46,27114.92
144.45,60.59,166.6,24.71,68.78,6.37,583.72,5.39,34153.03
157.75,59.89,184.47,24.09,70.31,6.1,596.67,5.19,42918.98
158.95,57.18,189.23,24.54,71.87,6.34,562.73,5.67,29786.24
152.63,57.48,167.67,24.43,70.58,6.03,605.11,5.04,38245.61
137.89,54.37,170.44,25.59,65.56,6.51,613.61,5.6,23259.01
156.64,60.32,162.71,23.51,66.22,5.64,639.54,5.37,29294.96
147.97,58.12,180.94,26.43,74.37,7.08,619.74,5.56,26332.35
151.43,59.69,178.71,24.88,79.12,5.88,624.63,5.42,38091.5
153.82,60.12,175.27,24.56,77.16,6.15,631.81,5.89,33359.09
144.88,56.65,186.05,23.8,73.66,6.04,587.13,5.38,37537.37
143.74,66.34,179.15,25.76,73.1,5.39,571.3,5.23,23790.99
151.24,60.52,176.18,24.22,72.49,6.36,573.31,6.01,38124.79
157.85,61.07,191.7,23.55,68.81,6.36,622.92,5.01,31168.16
161.69,55.55,195.48,22.7,72.37,5.71,627.73,5.86,24947.09
158.76,61.69,182.16,22.81,67.25,5.81,546.64,5.65,29287.11
149.64,56.17,177.84,25.63,71.27,6.11,590.22,5.64,36939.0
144.35,61.54,176.91,25.95,70.14,6.16,555.99,5.89,30963.7
149.31,56.84,171.37,22.6,72.45,5.68,577.25,5.79,31235.6
141.9,59.33,181.14,24.27,68.85,6.13,558.96,5.07,35460.27
141.01,67.8,185.92,24.48,70.27,6.31,667.58,5.35,24542.14
154.7,61.99,183.54,23.02,70.39,6.14,609.86,5.46,40137.9
149.27,61.83,180.46,23.72,69.76,5.83,640.49,5.85,39625.49
143.23,61.59,172.75,25.2,64.09,5.98,562.66,5.31,30503.1
146.13,62.91,186.98,26.21,72.23,5.61,637.37,5.14,27474.77
158.13,59.65,178.82,21.21,71.14,6.27,593.74,5.6,32792.34
166.11,61.38,184.02,25.24,72.34,6.21,599.3,5.69,30683.3
152.07,61.02,186.19,25.61,68.76,6.12,576.41,5.42,37308.31
147.23,64.04,192.49,23.28,69.01,6.26,572.36,5.97,30275.26
143.52,59.54,164.91,23.54,70.44,5.83,607.35,5.69,37112.26
143.37,57.76,189.53,25.95,65.6,6.03,590.82,5.34,32616.76
157.61,57.41,174.73,23.65,71.4,6.34,579.13,5.41,34640.18
150.28,62.31,191.5,27.04,72.83,5.9,560.91,5.59,28123.22
148.83,63.82,172.28,25.25,72.7,5.77,605.41,5.96,31965.72
152.93,61.02,185.47,23.86,66.0,6.18,545.3,5.53,35573.94
151.51,56.82,186.32,23.15,67.4,6.21,586.97,5.21,35525.29
141.48,58.9,187.28,24.3,71.25,5.89,617.15,5.37,37572.97
143.85,55.76,186.68,22.55,68.29,5.88,599.68,5.2,32966.56
