N,P,K,temperature,humidity,ph,rainfall,pesticide,yield
64.62,30.78,61.82,16.14,68.69,6.51,486.1,2.05,2421.51
62.85,28.93,57.56,15.13,61.42,6.23,551.11,2.45,1710.11
72.8,27.76,59.51,16.28,66.87,6.25,495.63,2.4,2651.66
74.85,32.33,61.55,14.84,62.52,6.38,466.52,2.23,1987.43
69.45,28.06,63.26,14.86,64.93,6.42,521.03,2.44,2350.33
64.29,31.92,59.39,16.07,65.04,6.16,529.12,2.57,2185.04
73.37,30.83,59.04,15.38,69.64,6.57,500.13,2.19,2784.1
69.82,31.82,56.66,15.97,64.38,7.05,457.97,2.38,2330.75
65.62,30.39,54.87,16.58,65.59,6.43,500.53,2.4,2611.56
69.95,28.55,59.34,16.46,65.52,6.76,465.75,2.36,2772.21
74.45,27.59,58.27,16.38,64.32,6.42,554.43,2.43,2058.01
63.07,31.65,56.44,16.43,67.76,6.36,526.54,2.39,2069.63
68.68,30.62,61.71,15.43,70.59,6.79,486.63,2.27,2769.18
76.17,30.39,57.73,15.57,68.41,6.93,490.84,2.16,2204.28
71.39,28.61,57.52,16.37,61.65,6.64,511.0,2.33,2855.68
65.96,30.03,53.3,15.71,65.77,6.23,507.82,2.54,2312.22
76.42,30.26,56.7,14.3,61.32,6.29,462.23,2.31,1781.36
67.79,30.91,61.44,14.74,61.16,6.15,516.12,2.17,2337.52
73.22,32.63,60.39,15.4,57.72,6.79,540.55,2.3,1968.45
69.42,31.81,63.38,16.7,61.47,6.76,509.93,2.22,2439.2
70.59,30.39,61.04,17.39,66.54,6.58,444.83,2.23,2457.8
64.09,27.57,58.56,15.38,64.0,6.52,521.91,2.23,2260.03
64.08,29.32,58.9,15.05,63.68,6.23,506.17,2.25,2395.81
71.13,29.6,57.51,14.2,61.28,6.48,506.85,2.27,2687.65
62.01,30.4,59.56,16.72,67.03,6.04,533.91,2.29,2054.37
68.83,28.38,57.21,15.75,70.06,6.43,486.88,2.45,2567.26
69.58,29.84,61.1,15.0,62.98,6.64,442.29,2.33,2567.34
74.49,28.06,61.16,14.78,66.81,6.47,498.64,2.3,2545.18
72.28,31.02,62.28,14.96,66.64,6.79,501.75,2.13,2512.95
66.68,27.63,62.99,15.59,66.67,6.44,480.76,2.36,2483.71
70.97,32.68,58.28,16.48,63.04,5.98,532.9,2.27,2233.36
76.81,30.62,62.37,17.0,66.9,6.84,518.53,2.11,1992.34
71.67,31.43,59.23,15.32,67.56,6.46,503.18,2.44,2956.26
70.66,34.17,60.29,15.28,67.67,6.79,543.49,2.28,2009.89
70.7,30.44,64.7,15.69,69.54,6.15,453.88,2.36,2269.91
64.74,28.32,58.56,15.73,69.51,6.34,498.3,2.26,2530.34
68.59,31.03,59.83,16.5,65.96,6.78,488.23,2.38,2982.35
71.12,28.87,64.52,16.98,65.42,6.51,481.21,2.33,2600.57
72.53,28.49,61.79,17.08,64.18,6.09,532.76,2.32,2247.69
63.79,31.13,63.43,15.19,61.56,6.58,502.94,2.34,2388.54
74.88,31.88,64.89,15.15,63.51,6.83,485.94,2.14,2032.26
66.46,29.29,60.23,15.76,61.86,6.45,484.59,2.24,2892.97
72.27,30.08,57.89,17.21,65.77,6.56,493.82,2.31,2970.68
65.09,27.45,62.16,15.65,65.3,6.42,482.54,2.68,2135.92
61.76,29.63,57.31,15.66,66.76,6.21,521.64,2.12,2095.43
62.4,30.78,57.91,15.43,60.71,6.52,498.81,2.31,2472.33
66.76,29.42,58.42,17.2,68.48,6.36,494.73,2.38,2572.76
70.43,30.15,56.62,17.69,61.49,6.54,459.84,2.45,2211.09
65.12,29.55,59.22,18.06,69.98,6.29,474.35,2.27,2022.81
72.48,28.56,55.7,16.0,67.39,6.37,515.93,2.55,2487.27
