N,P,K,temperature,humidity,ph,rainfall,pesticide,yield
80.09,46.85,88.18,25.08,60.53,5.94,548.37,3.12,16792.9
76.85,46.14,102.27,26.18,62.57,6.29,635.83,2.65,18703.19
89.18,46.07,95.86,24.56,62.08,5.75,611.11,3.1,21859.98
84.97,47.8,96.5,25.7,67.13,5.72,577.18,2.68,22530.23
84.54,41.87,105.11,26.98,65.92,6.29,614.2,2.91,22486.49
93.41,44.28,92.34,27.14,67.19,6.31,658.15,3.04,16095.7
82.88,44.06,114.03,26.47,68.85,5.75,598.83,2.98,21549.99
86.74,44.1,106.96,25.25,71.59,5.58,609.61,2.91,20842.7
81.46,42.19,100.58,23.87,65.46,5.46,639.24,3.07,17932.96
82.51,45.74,98.31,24.52,70.79,6.25,582.26,2.84,22430.87
92.58,45.13,95.98,27.47,68.74,5.73,563.56,3.1,17965.64
86.56,42.8,103.99,27.16,66.0,6.38,559.08,2.87,20576.93
80.37,45.44,100.73,25.89,64.47,5.64,575.19,2.89,24782.81
86.81,47.12,112.17,23.4,69.98,6.09,636.02,3.15,15996.87
84.0,48.37,99.4,26.33,61.09,6.09,612.59,3.07,25124.15
89.61,44.99,106.24,25.05,62.04,5.3,632.79,3.23,17559.04
85.71,47.78,104.26,25.85,63.27,6.1,600.57,3.18,26009.18
79.48,44.77,92.61,24.36,55.88,6.19,579.29,2.69,16735.28
85.73,48.82,91.68,25.63,72.86,6.31,648.97,2.79,15840.52
86.78,46.12,102.29,25.55,64.7,5.95,582.56,2.96,29647.07
81.16,46.9,102.42,24.1,68.27,5.97,594.92,2.91,23409.75
80.28,43.36,108.07,27.19,60.66,6.24,610.77,3.01,20178.74
85.01,43.59,102.91,24.91,67.25,6.45,565.37,3.07,22524.14
79.85,41.16,93.54,25.35,65.52,6.03,613.84,2.85,21389.66
88.05,44.48,108.47,25.46,63.37,6.3,651.88,3.17,19531.56
86.18,43.66,93.9,26.37,63.14,5.81,604.05,2.63,23982.94
81.48,47.06,105.52,26.23,67.25,6.33,583.56,3.2,21783.44
91.04,44.34,97.23,27.51,60.49,6.19,614.59,2.92,21157.35
84.79,45.71,94.79,28.02,61.67,6.43,561.31,3.11,19791.2
85.22,40.28,102.48,24.8,66.97,5.94,551.02,3.09,19317.51
78.37,42.23,98.89,24.04,63.85,6.45,575.44,3.01,17792.04
85.78,42.63,101.42,25.11,67.22,5.82,612.52,3.35,23963.14
77.68,45.6,95.94,28.14,60.96,6.16,609.97,3.17,19121.13
82.17,42.92,102.35,25.37,65.45,5.66,657.94,2.96,21661.43
82.04,45.76,95.94,26.55,63.07,5.96,580.73,3.13,25871.22
86.93,48.93,97.74,24.67,61.57,6.3,571.42,2.84,19208.58
79.16,44.23,102.98,27.0,64.3,5.71,624.14,2.92,22079.96
87.94,48.38,96.54,26.9,60.41,6.19,554.76,3.09,19030.44
88.11,45.02,102.34,27.88,66.81,6.12,577.05,2.87,23131.41
87.61,45.83,105.13,23.49,63.74,5.67,601.45,3.3,19869.87
84.51,48.65,105.27,23.91,60.89,5.84,680.9,2.74,14588.44
83.35,40.27,103.66,26.26,63.17,5.86,641.69,3.11,20222.54
86.69,45.31,101.68,24.92,67.99,5.68,643.01,2.94,23172.87
85.19,43.95,101.56,22.1,66.73,5.98,656.5,3.18,19049.35
87.11,45.11,99.48,26.25,74.33,6.12,611.73,2.8,25025.97
78.91,43.56,101.27,26.65,64.76,6.47,579.28,3.1,21307.16
85.44,41.77,104.71,26.37,68.6,5.31,581.2,3.11,19000.96
85.56,49.45,101.93,26.82,69.05,6.2,577.64,3.22,20345.92
82.18,43.49,103.16,25.4,68.83,6.0,567.76,3.01,24575.14
82.55,43.14,111.59,25.37,65.65,6.84,627.39,2.91,17142.36
90.72,47.78,99.84,27.64,68.57,5.92,615.56,2.81,19942.23
89.57,42.52,96.12,27.21,66.42,6.15,613.52,2.97,22468.75
