N,P,K,temperature,humidity,ph,rainfall,pesticide,yield
98.11,37.95,78.96,16.74,61.28,6.99,522.61,2.56,2412.7
102.59,41.77,87.39,14.04,55.23,6.9,516.06,2.52,2295.41
93.34,40.62,80.93,14.99,57.84,6.72,510.03,2.55,3132.17
112.92,42.19,78.77,15.15,59.68,6.35,525.67,2.58,2437.86
99.04,41.06,80.56,14.94,60.33,7.1,487.19,2.61,3269.04
94.08,41.62,80.4,14.21,63.01,6.01,533.18,2.54,2391.35
101.85,38.9,83.61,15.33,60.17,6.27,494.32,2.43,3345.01
93.97,41.37,71.11,15.27,58.5,6.67,538.32,2.35,2294.66
109.02,39.25,74.35,15.1,58.53,7.12,466.08,2.33,2149.0
93.43,38.83,80.34,14.51,58.01,6.84,478.45,2.27,2552.94
105.17,39.99,79.7,14.88,58.06,6.74,499.16,2.56,3461.69
106.97,39.45,81.73,15.5,65.14,8.02,495.43,2.48,1983.95
99.85,42.22,77.7,14.64,64.7,5.99,538.8,2.51,2551.73
98.14,40.91,78.8,14.65,54.41,6.69,499.81,2.49,3419.81
92.92,39.86,78.98,14.9,57.82,7.13,492.38,2.56,2731.45
88.59,39.93,79.65,17.05,58.83,6.48,517.06,2.58,2303.39
98.14,41.82,81.14,14.83,59.83,6.6,469.24,2.48,3280.41
109.78,43.04,78.66,16.22,59.58,6.51,538.85,2.56,2108.01
104.7,39.38,77.13,15.85,59.95,6.54,483.07,2.49,3105.32
113.98,40.9,76.34,15.78,61.67,5.66,474.04,2.47,1823.36
104.97,37.72,81.35,14.65,59.08,6.82,491.29,2.64,2867.21
99.11,40.24,84.08,14.11,56.59,6.61,488.32,2.5,3241.71
96.4,38.07,79.58,15.97,60.13,6.99,531.88,2.65,2499.99
114.03,41.78,85.15,13.82,58.94,7.11,507.18,2.5,1879.69
97.86,40.66,82.63,14.43,56.57,6.69,510.04,2.51,3305.96
98.8,38.94,76.45,13.07,59.78,6.16,486.15,2.38,2566.11
99.59,39.65,88.37,15.09,59.89,6.53,499.85,2.32,3457.65
94.07,42.12,84.05,16.67,60.15,6.51,485.39,2.64,2407.21
101.63,43.92,80.45,13.73,59.14,6.37,468.33,2.52,2447.61
98.57,37.97,78.15,13.31,54.19,6.5,505.82,2.47,2731.59
105.58,39.39,87.13,15.81,58.53,6.53,492.29,2.54,2846.28
101.2,42.42,84.48,15.95,53.18,6.85,566.06,2.49,1966.13
85.78,37.01,69.57,15.58,59.28,6.57,518.55,2.43,1967.38
107.76,41.33,77.52,14.05,58.6,5.96,539.51,2.49,2185.02
98.66,42.65,86.2,15.55,56.75,6.6,494.94,2.49,2932.2
95.33,36.55,74.62,15.47,65.03,5.91,498.85,2.46,2214.9
96.92,38.4,76.08,14.02,59.54,6.72,495.18,2.28,2752.33
102.24,38.01,80.38,15.11,55.27,6.7,499.73,2.46,3256.17
95.01,39.51,81.46,15.53,61.63,5.88,508.78,2.57,2774.91
104.85,39.45,80.92,14.41,60.48,6.47,462.52,2.43,2904.15
95.4,41.24,75.75,15.75,54.91,6.11,478.24,2.55,2470.12
107.15,36.97,87.47,15.1,55.61,6.3,498.91,2.46,2523.94
105.48,39.22,76.93,14.51,62.89,6.46,460.86,2.55,2627.63
91.27,40.92,80.4,14.09,60.06,6.85,550.12,2.91,1950.21
105.06,42.47,78.14,15.47,56.91,6.39,465.72,2.52,2587.45
98.53,41.82,74.95,14.9,56.76,6.3,481.9,2.3,2765.73
97.37,41.59,77.7,16.0,61.02,6.94,476.21,2.32,2579.43
102.04,36.54,86.71,15.12,63.63,6.77,496.5,2.65,2553.84
107.46,40.27,78.44,15.61,63.27,6.36,549.03,2.63,2337.36
104.24,39.63,83.11,16.05,55.54,5.99,558.9,2.56,2127.21
107.78,39.91,88.53,16.2,52.43,6.29,490.4,2.37,2045.56
97.27,40.4,75.79,15.01,61.53,7.16,473.16,2.56,2813.87
100.16,38.82,82.74,14.91,58.36,6.47,462.02,2.46,3229.56
101.29,39.36,78.67,14.58,56.47,6.44,482.71,2.64,3372.02
105.77,42.99,81.97,14.65,59.64,6.36,510.87,2.46,2924.97
92.19,40.5,73.58,15.86,60.02,6.79,466.72,2.67,2214.22
96.65,37.71,85.45,14.96,58.51,6.06,477.83,2.51,2732.08
95.61,39.3,76.11,16.0,57.06,6.26,514.52,2.39,2652.07
95.3,40.82,84.93,15.44,60.56,6.26,488.37,2.46,2966.03
103.49,37.77,76.72,14.62,59.69,6.36,501.36,2.55,3282.55
104.13,41.63,79.39,13.28,63.53,6.02,467.54,2.46,2205.11
99.32,38.67,81.95,15.73,57.4,6.7,514.61,2.28,2982.72
101.2,37.87,74.87,15.09,62.26,6.13,507.9,2.61,2852.39
95.25,44.17,79.96,15.07,57.52,7.05,491.87,2.44,2510.19
100.98,41.41,78.47,15.26,65.43,6.22,512.25,2.52,3099.75
98.18,37.09,82.82,14.89,64.46,6.69,537.79,2.44,2579.18
99.28,35.43,77.21,14.51,59.89,5.95,508.83,2.42,2509.19
97.74,40.59,75.36,13.95,60.34,6.38,488.06,2.49,3068.3
105.23,36.68,76.02,14.78,56.67,6.67,470.61,2.57,2426.61
91.78,37.26,85.49,15.94,61.56,6.98,513.31,2.41,2089.28
97.96,39.11,88.31,15.14,61.33,6.66,481.13,2.35,2849.01
100.31,41.89,77.29,15.23,58.87,5.99,526.23,2.64,2803.01
93.86,41.14,82.62,14.59,58.87,6.74,502.42,2.59,2966.42
97.79,39.87,80.97,15.65,60.48,6.35,518.64,2.56,3451.71
101.84,38.66,81.72,13.93,60.12,7.04,514.13,2.52,2829.29
99.3,40.72,78.46,14.46,66.3,6.51,519.52,2.5,3281.5
93.65,41.39,80.0,14.52,58.86,6.57,569.53,2.33,2287.12
97.89,42.63,78.24,15.09,54.57,6.41,510.4,2.48,3018.67
97.06,37.09,82.41,14.61,60.0,6.65,488.24,2.78,2813.39
98.4,40.4,80.28,14.78,60.5,6.78,505.84,2.55,3763.03
96.44,37.66,72.42,14.42,59.71,6.38,516.16,2.64,2593.96
103.78,41.86,80.16,15.38,62.98,6.58,585.34,2.55,2355.06
103.29,39.3,77.67,15.51,58.3,6.86,476.18,2.55,2996.59
104.74,39.67,74.67,14.53,54.98,6.9,500.51,2.42,2635.64
92.84,40.14,77.74,15.95,55.48,6.35,505.99,2.56,2689.33
102.6,42.36,81.65,15.64,63.0,6.6,510.78,2.49,3037.84
